ticker,price,change,volume
ZYME,24.14,3.79%,292,257
ZWS,48.86,-1.57%,172,134
ZVRA,12.89,1.90%,335,638
ZURA,4.32,2.25%,502,973
ZTO,21.99,-1.10%,472,083
ZLAB,18.70,1.17%,952,403
ZIM,25.58,1.25%,464,863
ZGN,13.34,-1.34%,350,434
ZG,30.62,0.53%,552,150
ZETA,19.91,7.80%,10,119,582
ZD,45.56,0.54%,165,330
ZBIO,20.64,-0.79%,151,444
Z,30.51,0.66%,1,017,278
YUMC,41.01,-1.24%,649,325
YSWY,21.28,2.45%,140,759
YSS,28.14,-2.81%,430,334
YPF,48.03,-2.91%,469,877
YMM,7.59,-3.75%,1,383,037
YEXT,3.96,0.63%,322,707
YETI,48.38,0.92%,395,176
YELP,22.58,0.47%,225,817
XXI,5.78,0.70%,639,564
XRX,3.21,4.95%,5,332,296
XRAY,10.22,0.64%,1,364,077
XPRO,13.78,-0.63%,172,372
XPOF,6.81,3.07%,177,270
XPEV,12.94,-3.07%,4,341,142
XP,15.78,-1.28%,1,641,873
XNDU,12.42,-0.96%,1,895,911
XNCR,14.38,2.65%,314,045
XMAX,8.42,2.93%,272,662
XIFR,11.56,-1.12%,164,219
XHR,20.21,0.55%,167,203
XERS,7.23,4.72%,941,205
XE,21.44,6.38%,1,987,429
WYFI,41.62,-7.04%,2,598,931
WY,24.28,0.12%,1,212,575
WWW,16.72,-3.45%,435,064
WVE,6.16,-0.24%,862,073
WULF,29.14,2.94%,12,544,660
WU,7.01,-1.13%,3,718,547
WTTR,18.52,0.20%,372,847
WTRG,37.12,1.20%,574,766
WTI,3.34,0.91%,1,413,226
WT,18.76,0.53%,798,695
WSR,18.94,-0.08%,105,371
WSE,10.95,1.01%,452,446
WSC,28.60,-1.47%,517,519
WSBC,37.10,1.09%,348,456
WRN,2.22,-4.51%,549,835
WRD,5.81,-3.58%,1,521,628
WRBY,26.47,-1.93%,800,285
WPP,17.26,-4.27%,1,225,303
WOOF,2.50,0.41%,749,873
WNC,12.45,3.27%,256,510
WMG,27.68,0.76%,409,956
WLTH,8.20,-0.18%,850,218
WKC,31.66,-0.06%,108,449
WK,46.57,1.29%,421,097
WIX,41.23,-1.51%,611,294
WIT,2.30,2.46%,5,740,190
WHR,37.37,2.19%,836,656
WHK,27.66,0.47%,41,731
WGO,28.43,0.38%,148,866
WEST,9.25,2.21%,139,424
WES,43.34,0.84%,263,851
WERN,41.01,0.37%,197,161
WEN,6.21,0.65%,3,268,348
WEAV,5.32,3.00%,405,911
WDS,19.85,-2.02%,291,592
WBI,28.67,-4.37%,1,307,344
WBD,26.74,-0.78%,6,311,202
WB,7.31,-0.71%,233,900
WAY,18.31,5.75%,1,145,351
WAFD,37.15,0.95%,114,714
VZLA,3.43,-2.53%,2,468,988
VZ,46.56,2.63%,6,797,550
VYX,7.01,-0.07%,522,899
VVV,38.10,1.51%,277,506
VVR,2.99,0.34%,149,667
VTS,16.06,0.46%,79,039
VTRS,15.74,2.35%,2,154,062
VTEX,3.53,-1.40%,1,540,137
VSTS,13.06,-0.38%,273,251
VSTM,4.30,1.06%,805,594
VSNT,37.60,-2.43%,540,831
VRRM,4.43,-0.78%,1,741,771
VRNS,37.86,15.75%,4,756,169
VRDN,17.57,-0.34%,631,763
VOYG,34.03,-1.55%,599,348
VOR,15.20,1.77%,439,192
VOD,14.05,-0.49%,2,107,084
VNT,30.65,0.61%,513,061
VNOM,43.82,0.60%,570,562
VNO,37.67,0.24%,210,857
VNET,8.44,-1.35%,1,556,795
VNDA,6.03,0.50%,256,108
VLY,14.31,0.52%,1,656,346
VLRS,9.19,1.16%,194,615
VKTX,35.55,9.82%,3,207,075
VIV,13.22,1.71%,395,802
VITL,10.76,6.71%,822,743
VISN,12.55,-2.58%,1,818,002
VIR,10.06,5.12%,830,500
VIPS,13.11,-0.98%,592,658
VICI,26.57,1.83%,3,872,567
VIA,14.99,0.35%,228,400
VGZ,2.14,-6.74%,1,267,905
VGNT,43.48,-4.29%,458,707
VG,11.11,-1.29%,2,532,296
VFS,3.11,1.02%,146,337
VFC,16.78,-1.47%,1,762,326
VET,9.76,-1.17%,473,022
VERX,10.68,0.90%,279,825
VERA,37.90,-1.38%,530,193
VELO,21.67,-10.86%,2,410,674
VCEL,40.57,0.25%,147,164
VALE,15.32,-2.49%,13,110,010
UWMC,2.03,-0.98%,5,737,204
UUUU,16.05,-0.47%,10,827,264
UTZ,7.03,2.70%,750,153
UTI,40.62,1.50%,150,375
USAS,5.07,-4.88%,2,049,854
USAR,23.90,-0.91%,6,600,857
USA,5.68,-0.70%,566,124
UROY,2.98,1.36%,965,713
URGN,35.03,0.11%,175,150
URG,1.44,0.70%,4,978,332
UPWK,7.98,1.84%,807,124
UPST,32.08,2.43%,1,499,676
UPBD,18.83,2.81%,217,989
UPB,6.36,1.02%,177,791
UNIT,11.43,2.05%,329,712
UMH,15.14,1.14%,128,619
UMC,26.60,-3.27%,10,038,066
UMAC,22.16,-1.84%,1,483,662
ULCC,7.45,4.29%,1,315,590
UGP,4.88,-0.20%,904,412
UGI,34.60,2.40%,497,006
UEC,11.73,2.23%,4,901,005
UE,22.79,1.97%,322,309
UDR,38.19,1.19%,656,382
UCB,33.87,1.47%,256,032
UBSI,45.23,0.63%,321,602
UAMY,7.55,-3.27%,1,917,006
UAA,5.84,-1.15%,1,697,672
UA,5.66,-1.22%,932,080
U,27.65,1.88%,2,673,671
TYRA,30.45,1.02%,293,648
TXG,32.39,-1.67%,1,277,262
TWO,12.31,0.74%,788,441
TWI,7.40,-2.07%,75,378
TV,2.69,-1.28%,577,451
TUYA,1.82,-1.07%,446,932
TU,11.52,1.62%,1,417,548
TTI,10.22,-1.13%,316,350
TTEK,27.93,2.89%,1,661,425
TTD,17.81,-1.19%,9,084,103
TSSI,13.18,-0.87%,300,739
TSLX,16.47,1.35%,326,872
TSHA,6.75,3.41%,657,931
TSCO,30.08,0.89%,4,277,699
TRVI,17.99,1.60%,797,710
TRTX,8.62,1.00%,143,168
TRS,44.27,-0.20%,73,232
TROX,7.11,-3.20%,645,260
TRON,1.52,-5.95%,354,266
TRN,34.98,-0.44%,110,177
TRMD,28.96,-4.33%,3,271,166
TRMB,48.95,-0.58%,596,956
TRLV,8.43,-7.62%,1,313,763
TRIP,12.57,1.71%,1,551,366
TRIN,16.96,0.47%,362,871
TREX,46.13,-0.57%,309,212
TPG,39.96,-2.98%,953,527
TOWN,35.49,1.39%,106,115
TOST,24.59,1.36%,2,471,844
TOI,4.99,-0.50%,432,351
TNGX,28.95,1.58%,1,905,178
TNDM,14.29,-0.32%,1,208,519
TMQ,3.62,-2.03%,725,840
TME,8.24,-1.18%,4,079,126
TMC,4.93,-0.40%,1,722,970
TLS,4.30,0.23%,256,239
TLRY,4.66,1.42%,1,473,897
TLK,14.44,2.23%,406,106
TKC,6.05,-0.41%,323,247
TK,12.41,0.74%,163,631
TILE,32.67,0.97%,72,092
TIGR,4.68,-1.47%,1,735,800
TIC,8.15,0.96%,375,798
THM,2.08,-6.53%,307,535
TH,20.58,2.18%,389,140
TGB,6.75,-3.05%,1,993,083
TFSL,16.72,0.67%,163,310
TFPM,29.05,-2.71%,308,921
TFC,49.13,0.76%,2,490,662
TEVA,33.18,3.04%,1,377,437
TENX,12.84,4.78%,291,429
TENB,27.55,4.59%,453,608
TEM,49.73,3.93%,2,218,313
TE,9.84,-5.34%,16,355,441
TDUP,6.11,3.30%,269,241
TDS,39.04,0.27%,146,448
TDOC,7.72,1.79%,1,509,692
TDC,31.12,4.89%,845,010
TDAY,7.95,2.40%,320,843
TCOM,44.80,-3.49%,1,629,234
TBLA,4.51,1.46%,798,723
TBBB,42.10,0.98%,140,438
TASK,4.88,-2.30%,313,827
TAP,39.76,0.31%,697,310
TALO,14.05,-0.06%,410,013
TALK,5.19,-0.38%,2,326,878
TAL,9.36,-1.17%,1,043,968
TAK,15.78,2.04%,1,015,313
TAC,13.60,-1.77%,223,342
T,22.83,3.28%,27,960,467
SYM,38.99,-3.01%,1,381,460
SXC,8.39,0.26%,318,979
SWMR,42.28,-6.34%,148,615
