ticker,price,change,volume
ZYME,23.44,1.31%,42,426
ZWS,49.93,-0.10%,28,448
ZVRA,12.99,0.70%,176,785
ZURA,3.86,2.93%,79,425
ZTO,22.19,0.86%,123,272
ZLAB,18.35,0.96%,192,016
ZIM,24.95,2.51%,212,791
ZGN,13.79,-0.58%,63,120
ZG,32.50,0.02%,69,726
ZETA,19.11,1.11%,1,403,758
ZD,46.10,0.15%,35,834
ZBIO,20.81,5.19%,55,871
Z,32.15,0.12%,357,804
YUMC,42.03,-2.10%,235,116
YSWY,21.00,2.70%,22,251
YSS,28.48,-7.53%,353,302
YPF,49.42,-2.03%,79,345
YMM,7.86,0.71%,575,130
YICCU,10.05,-0.30%,10,531
YEXT,3.96,4.34%,166,297
YETI,48.65,-0.66%,22,896
YELP,23.00,0.52%,50,130
XXI,5.95,7.79%,248,171
XRX,3.07,1.49%,340,051
XRAY,10.31,-0.17%,658,740
XPRO,13.62,-1.41%,30,917
XPEV,13.19,-0.16%,1,140,957
XP,16.08,5.10%,513,736
XNDU,13.41,0.31%,722,200
XNCR,13.66,8.10%,70,754
XMAX,8.27,0.43%,36,321
XIFR,11.82,0.04%,32,321
XHR,20.11,0.45%,29,908
XERS,7.09,1.94%,175,292
XE,20.80,-3.53%,583,413
WYFI,44.17,14.76%,1,161,412
WY,24.49,0.70%,484,711
WWW,17.41,-1.06%,36,579
WVE,6.20,0.65%,202,410
WULF,29.58,2.07%,3,532,983
WU,7.22,1.33%,671,532
WTTR,17.82,0.65%,74,929
WTRG,36.59,-0.30%,144,691
WTI,3.24,1.09%,596,846
WT,18.88,3.14%,327,777
WSR,18.94,-0.05%,119,775
WSE,11.03,1.75%,386,110
WSC,29.00,0.55%,120,294
WSBC,36.81,1.42%,67,637
WRN,2.33,-1.90%,138,042
WRD,6.18,-2.76%,683,257
WRBY,26.76,3.06%,296,956
WPP,18.27,1.67%,62,515
WOOF,2.62,-0.19%,202,573
WNC,11.95,5.24%,44,131
WMG,27.80,-1.33%,72,424
WLTH,8.48,0.42%,72,236
WKC,31.68,1.80%,104,206
WK,47.34,-0.06%,41,658
WIX,42.55,0.13%,141,767
WIT,2.23,-6.69%,892,795
WHR,38.65,-0.54%,304,830
WHK,27.43,0.22%,3,469
WGO,28.24,-1.49%,28,867
WEST,8.92,-1.22%,88,615
WES,42.90,-0.14%,65,084
WERN,40.99,0.74%,20,650
WEN,6.66,-2.13%,1,211,363
WEAV,5.28,1.63%,83,281
