ticker,price,change,volume
ZYME,24.35,1.97%,234,929
ZVRA,13.03,0.27%,655,666
ZURA,4.21,-2.23%,680,739
ZTO,21.87,-0.49%,960,618
ZLAB,18.33,-0.87%,673,254
ZIM,25.15,-1.12%,636,178
ZGN,13.19,0.57%,737,144
ZG,30.86,0.97%,1,215,991
ZETA,18.61,-4.59%,7,377,291
ZD,48.18,3.84%,508,700
ZBIO,21.63,7.06%,585,065
Z,30.91,1.33%,2,612,042
YUMC,41.06,0.25%,1,133,191
YSWY,20.79,-3.85%,202,269
YSS,25.17,-11.87%,1,120,063
YPF,45.67,-4.94%,1,738,324
YMM,7.81,2.24%,4,863,575
YEXT,4.12,4.96%,741,181
YETI,49.56,3.32%,535,965
YELP,23.34,2.96%,507,019
XXI,5.38,-6.03%,966,059
XRX,3.12,-0.80%,1,747,142
XRAY,10.38,1.76%,2,627,581
XPRO,13.05,-2.61%,1,119,856
XPOF,6.82,0.00%,482,893
XPEV,12.47,-2.31%,3,534,873
XP,15.62,-0.60%,2,574,514
XNDU,11.71,-4.25%,1,512,421
XNCR,14.43,2.49%,491,192
XMAX,8.30,-3.51%,831,594
XIFR,11.55,0.04%,484,702
XHR,20.08,0.23%,463,682
XERS,7.41,2.86%,1,098,499
XE,18.94,-10.17%,3,398,639
WYFI,37.25,-16.78%,3,630,126
WY,25.50,4.34%,4,205,270
WWW,17.35,3.54%,414,888
WVE,6.00,-0.74%,2,504,032
WULF,26.16,-9.12%,24,035,913
WU,7.22,2.65%,4,671,298
WTTR,18.16,-2.11%,950,451
WTRG,37.94,1.76%,1,197,316
WTI,3.09,-7.27%,2,659,888
WT,17.88,-2.43%,2,643,281
WSR,18.94,0.03%,253,326
WSE,10.93,-1.93%,1,287,945
WSC,28.43,2.10%,833,592
WSBC,37.99,1.90%,808,316
WRN,2.05,-6.82%,2,556,387
WRD,5.57,-3.22%,1,693,845
WRBY,26.74,4.27%,2,054,775
WPP,16.58,-2.13%,805,997
WOOF,2.61,3.37%,1,398,989
WOLF,44.06,-9.91%,3,858,125
WNC,13.04,3.49%,1,045,368
WMG,26.99,-2.00%,1,101,778
WLTH,8.07,-1.64%,753,787
WKC,31.77,-0.53%,355,794
WK,48.19,2.57%,430,857
WIX,42.16,4.28%,922,383
WIT,2.23,-2.40%,7,811,688
WHR,37.82,4.50%,1,477,821
WHK,26.98,-2.42%,185,795
WGO,27.22,-3.77%,1,637,034
WEST,9.73,7.10%,562,911
WES,42.65,-1.98%,710,210
WERN,40.95,-0.20%,533,078
WEN,7.84,25.41%,189,347,057
WEAV,5.47,0.48%,642,260
WDS,19.05,-3.57%,853,389
WBI,28.30,-1.03%,1,260,341
WBD,27.22,1.25%,28,006,600
WB,7.29,-0.41%,511,130
WAY,19.00,3.20%,1,408,974
WAFD,37.65,1.06%,324,620
VZLA,3.06,-8.73%,5,222,330
VZ,45.90,-1.77%,15,294,564
VYX,7.55,7.85%,1,608,190
VVV,39.47,3.00%,1,174,307
VVR,3.00,0.67%,313,528
VTS,15.60,-3.33%,338,367
VTRS,15.89,0.89%,4,772,681
VTEX,3.62,3.57%,2,769,555
VSTS,13.42,1.67%,698,487
VSTM,3.91,-7.01%,1,984,829
VSNT,37.92,0.11%,793,856
VRRM,4.43,0.80%,4,122,705
VRNS,36.67,4.68%,2,598,676
VRDN,17.39,0.64%,707,295
VOYG,30.49,-9.26%,1,741,205
VOR,14.49,-2.39%,511,914
VOD,13.84,-1.53%,1,999,733
VNT,30.11,0.13%,863,243
VNOM,43.28,-0.93%,934,012
VNO,37.88,0.60%,954,492
VNET,8.11,-2.93%,1,484,522
VNDA,5.91,-0.62%,537,921
VLY,14.55,1.15%,3,514,949
VLRS,9.15,-0.54%,577,055
VKTX,37.56,7.89%,4,438,262
VIV,13.17,-0.37%,734,612
VITL,11.07,3.65%,1,288,261
VISN,12.53,0.28%,2,260,171
VIR,10.04,-1.14%,1,681,096
VIPS,13.40,1.71%,1,573,409
VICI,27.02,1.50%,16,040,433
VIAV,48.60,-2.74%,5,099,749
VIA,14.97,-0.49%,575,105
VGNT,41.43,-2.97%,1,067,911
VG,10.45,-6.78%,9,422,760
VFS,3.12,-1.11%,353,547
VFC,17.26,2.05%,4,390,975
VET,9.36,-4.83%,1,071,714
VERX,11.23,2.79%,655,579
VERA,39.78,4.14%,1,345,272
VELO,18.05,-12.66%,2,885,774
VCEL,41.81,3.52%,419,706
VALE,14.81,-3.23%,20,028,627
UWMC,2.03,0.00%,20,520,572
UUUU,14.68,-5.14%,8,923,908
UTZ,7.32,3.80%,1,204,567
UTI,39.38,-0.94%,276,102
USAS,4.49,-8.47%,3,769,748
USAR,21.15,-7.60%,10,401,764
USA,5.66,0.09%,1,318,824
UROY,2.74,-5.84%,1,240,559
URGN,34.85,-0.85%,329,095
URG,1.33,-5.67%,7,746,166
UPWK,8.33,1.50%,1,450,862
UPST,32.65,3.77%,3,646,664
UPBD,19.09,2.14%,752,165
UPB,6.35,0.48%,389,099
UNIT,11.37,-1.21%,907,292
UMH,15.43,1.87%,268,594
UMC,27.50,4.98%,18,647,875
UMAC,19.35,-10.04%,3,055,636
ULCC,7.37,1.68%,2,647,906
UGP,4.88,-1.21%,1,504,671
UGI,34.92,0.58%,1,079,222
UEC,10.80,-4.81%,5,152,455
UE,23.46,2.37%,1,097,690
UDR,38.33,0.14%,3,211,569
UCB,34.46,1.22%,507,168
UBSI,45.71,0.93%,763,787
UBS,49.31,-1.96%,1,473,274
UAMY,6.44,-8.13%,6,984,457
UAA,6.07,5.02%,6,163,867
UA,5.87,4.55%,2,268,347
U,27.19,-1.50%,3,646,800
TYRA,30.64,1.93%,313,564
TXG,34.41,7.97%,1,728,067
TWO,12.35,0.28%,430,236
TWI,7.42,1.92%,159,562
TV,2.74,1.29%,463,772
TUYA,1.78,-3.26%,654,123
TU,11.34,-1.35%,3,654,259
TTI,9.89,-2.37%,751,961
TTEK,28.35,1.11%,2,914,161
TTD,17.92,-0.03%,9,433,774
TSSI,11.89,-6.53%,524,552
TSLX,16.69,1.21%,503,532
TSHA,6.88,0.29%,935,550
TSCO,30.08,1.36%,5,917,437
TRVI,17.48,0.59%,1,398,871
TRTX,8.56,-1.05%,291,332
TRS,43.21,0.26%,203,119
TROX,6.73,0.70%,2,221,955
TRON,1.43,-6.24%,560,775
TRN,35.17,0.28%,210,276
TRMD,28.68,-1.58%,1,260,638
TRLV,8.39,-1.64%,2,138,305
TRIP,12.84,3.65%,2,344,576
TRIN,16.81,-0.50%,683,159
TREX,48.94,7.94%,1,338,699
TPG,38.81,-1.93%,2,847,277
TOWN,36.07,1.49%,236,247
TOST,26.15,6.67%,10,704,348
TOI,5.12,1.89%,1,042,069
TNGX,29.32,3.28%,3,389,588
TNDM,15.16,5.20%,1,360,829
TMQ,3.29,-7.67%,1,583,358
TME,8.18,-0.24%,3,462,237
TMC,4.49,-6.74%,4,504,716
TLS,4.35,0.32%,300,564
TLRY,4.59,-0.43%,1,748,138
TLK,14.17,-1.80%,668,225
TKC,6.00,-0.60%,2,874,416
TK,12.09,-2.91%,220,411
TILE,33.96,4.78%,190,997
TIGR,4.66,0.32%,1,568,602
TIC,8.10,-0.80%,553,639
THM,1.84,-10.49%,1,531,991
TH,20.00,-2.52%,947,150
TGB,6.26,-6.35%,3,427,379
TFSL,17.01,0.80%,626,355
TFPM,27.74,-3.70%,325,320
TEVA,33.94,2.20%,4,974,444
TEO,12.77,-2.03%,513,601
TENX,12.98,-4.85%,501,901
TENB,28.00,2.71%,837,306
TE,8.34,-9.74%,20,136,974
TDUP,6.53,5.08%,984,035
TDS,37.72,-3.45%,397,015
TDOC,7.78,1.24%,2,226,653
TDC,31.49,1.06%,1,070,324
TDAY,7.99,-0.37%,606,000
TCOM,46.25,1.65%,1,825,986
