ticker,price,change,volume
ZYME,24.03,3.31%,250,087
ZWS,48.83,-1.64%,141,357
ZVRA,12.78,1.07%,316,018
ZURA,4.28,1.18%,444,835
ZTO,21.97,-1.19%,431,508
ZLAB,18.57,0.47%,933,968
ZIM,25.57,1.17%,435,406
ZGN,13.32,-1.48%,315,607
ZG,30.48,0.07%,486,558
ZETA,19.64,6.33%,9,694,803
ZD,45.62,0.67%,124,187
ZBIO,20.59,-1.03%,141,026
Z,30.35,0.13%,932,046
YUMC,41.09,-1.06%,581,701
YSWY,21.30,2.56%,116,459
YSS,27.96,-3.47%,398,411
YPF,48.12,-2.72%,409,376
YMM,7.59,-3.80%,1,233,557
YEXT,3.94,0.13%,259,241
YETI,48.11,0.35%,314,891
YELP,22.54,0.31%,188,476
XXI,5.62,-2.00%,491,599
XRX,3.16,3.27%,5,224,954
XRAY,10.12,-0.30%,1,249,510
XPRO,13.74,-0.94%,144,177
XPOF,6.84,3.48%,143,942
XPEV,12.89,-3.45%,3,977,119
XP,15.70,-1.81%,1,529,368
XNDU,12.35,-1.56%,1,836,369
XNCR,14.32,2.24%,282,328
XMAX,8.43,3.06%,233,901
XIFR,11.49,-1.71%,141,052
XHR,20.17,0.37%,147,910
XERS,7.18,4.08%,863,057
XE,21.26,5.51%,1,847,576
WYFI,39.25,-12.33%,2,401,640
WY,24.31,0.23%,1,032,162
WWW,16.54,-4.48%,419,440
WVE,6.14,-0.45%,801,704
WULF,28.65,1.20%,11,586,707
WU,6.98,-1.52%,3,216,047
WTTR,18.44,-0.19%,289,706
WTRG,37.35,1.84%,523,537
WTI,3.37,1.81%,1,267,034
WT,18.55,-0.62%,654,802
WSR,18.93,-0.08%,76,711
WSE,10.88,0.37%,430,591
WSC,28.37,-2.26%,496,042
WSBC,37.15,1.22%,302,535
WRN,2.21,-4.94%,492,897
WRD,5.77,-4.32%,1,446,035
WRBY,26.56,-1.59%,712,704
WPP,17.24,-4.41%,1,149,467
WOOF,2.48,-0.40%,683,638
WOLF,49.63,-6.30%,3,046,928
WNC,12.22,1.33%,219,612
WMG,27.60,0.49%,364,071
WLTH,8.15,-0.91%,795,093
WKC,31.53,-0.47%,80,407
WK,46.34,0.78%,330,031
WIX,40.99,-2.08%,565,243
WIT,2.32,3.57%,4,623,402
WHR,37.28,1.93%,765,440
WHK,27.58,0.16%,41,386
WGO,28.37,0.18%,129,971
WEST,9.26,2.31%,126,036
WES,43.44,1.08%,236,052
WERN,40.84,-0.05%,177,237
WEN,6.21,0.65%,3,085,926
WEAV,5.23,1.36%,224,092
WDS,19.84,-2.08%,245,331
WBI,28.82,-3.87%,1,251,802
WBD,26.67,-1.04%,5,227,444
WB,7.30,-0.88%,203,226
WAY,18.29,5.66%,1,062,448
WAFD,37.14,0.93%,98,198
VZLA,3.39,-3.55%,2,235,702
VZ,46.56,2.65%,5,891,128
VYX,6.98,-0.57%,397,711
VVV,37.99,1.20%,246,604
VVR,2.99,0.34%,129,790
VTS,16.04,0.28%,70,631
VTRS,15.69,2.02%,1,910,322
VTEX,3.57,-0.16%,1,429,987
VSTS,13.01,-0.76%,247,820
VSTM,4.27,0.40%,756,233
VSNT,37.43,-2.86%,410,858
VRRM,4.36,-2.57%,1,407,468
VRNS,36.90,12.81%,3,676,733
VRDN,17.58,-0.29%,559,237
VOYG,33.82,-2.17%,561,693
VOR,15.15,1.41%,325,020
VOD,14.04,-0.57%,2,039,315
VNT,30.56,0.31%,462,047
VNOM,43.86,0.68%,530,999
VNO,37.51,-0.19%,188,241
VNET,8.36,-2.17%,1,486,738
VNDA,6.00,0.02%,243,517
VLY,14.31,0.47%,1,506,375
VLRS,9.17,0.99%,164,070
VKTX,34.93,7.91%,2,640,452
VIV,13.20,1.58%,315,600
VITL,10.79,7.08%,699,057
VISN,12.52,-2.83%,1,685,690
VIR,9.95,4.02%,738,748
VIPS,13.09,-1.15%,499,408
VICI,26.59,1.90%,3,730,011
VIAV,49.90,-5.74%,1,475,889
VIA,14.81,-0.86%,193,593
VGZ,2.12,-7.61%,1,223,828
VGNT,43.19,-4.92%,415,381
VG,11.14,-1.10%,2,381,545
VFS,3.08,-0.16%,123,713
VFC,16.71,-1.86%,1,595,526
VET,9.79,-0.81%,419,371
VERX,10.61,0.28%,248,728
VERA,37.62,-2.11%,491,499
VELO,21.42,-11.89%,2,182,476
VCEL,40.60,0.31%,134,092
VALE,15.21,-3.19%,11,809,934
UWMC,2.03,-0.98%,3,884,973
UUUU,15.76,-2.25%,10,537,203
UTZ,7.05,2.99%,710,315
UTI,40.65,1.58%,139,541
USAS,5.01,-6.10%,1,944,635
USAR,23.49,-2.61%,6,221,108
USA,5.66,-1.05%,506,543
UROY,2.95,0.34%,842,027
URGN,35.10,0.31%,158,274
URG,1.43,0.00%,4,735,827
UPWK,7.97,1.59%,702,767
UPST,31.61,0.92%,1,347,990
UPBD,18.63,1.69%,190,107
UPB,6.33,0.47%,151,050
UNIT,11.35,1.29%,287,668
UMH,15.15,1.17%,114,862
UMC,26.20,-4.72%,9,316,254
UMAC,22.03,-2.39%,1,204,941
ULCC,7.38,3.29%,1,220,668
UGP,4.86,-0.72%,818,700
UGI,34.82,3.05%,449,434
UEC,11.56,0.78%,4,650,439
UE,22.78,1.92%,269,090
UDR,38.19,1.20%,599,487
UCB,33.87,1.46%,233,317
UBSI,45.21,0.57%,298,920
UAMY,7.42,-4.87%,1,779,458
UAA,5.79,-2.03%,1,447,341
UA,5.64,-1.66%,815,265
U,27.54,1.46%,2,507,013
TYRA,30.55,1.36%,276,464
TXG,32.13,-2.46%,1,217,090
TWO,12.27,0.45%,742,909
TWI,7.35,-2.72%,60,746
TV,2.69,-1.28%,517,955
TUYA,1.81,-1.54%,407,370
TU,11.49,1.37%,1,209,027
TTI,10.16,-1.69%,211,244
TTEK,28.01,3.17%,1,563,685
TTD,17.75,-1.50%,8,663,250
TSSI,12.86,-3.31%,264,011
TSLX,16.45,1.26%,265,053
TSHA,6.73,3.13%,631,811
TSCO,30.10,0.99%,4,108,360
TRVI,17.98,1.50%,763,928
TRTX,8.59,0.61%,99,984
TRS,43.97,-0.88%,56,903
TROX,7.12,-3.01%,460,490
TRON,1.51,-6.48%,326,827
TRN,34.85,-0.80%,100,286
TRMD,29.04,-4.06%,3,146,591
TRMB,48.83,-0.81%,538,302
TRLV,8.35,-8.39%,1,197,309
TRIP,12.51,1.22%,1,519,728
TRIN,16.92,0.21%,326,381
TREX,45.93,-1.00%,261,506
TPG,39.68,-3.67%,885,240
TOWN,35.47,1.34%,93,206
TOST,24.47,0.87%,2,299,434
TOI,4.97,-0.70%,400,556
TNGX,28.76,0.93%,1,703,811
TNDM,14.07,-1.85%,814,829
TMQ,3.59,-3.11%,661,996
TME,8.19,-1.80%,3,182,936
TMC,4.88,-1.52%,1,642,244
TLS,4.27,-0.47%,245,373
TLRY,4.61,0.54%,1,381,895
TLK,14.39,1.89%,368,931
TKC,6.03,-0.69%,302,799
TK,12.43,0.87%,133,620
TILE,32.48,0.37%,62,620
TIGR,4.69,-1.33%,1,665,759
TIC,8.15,0.93%,307,971
THM,2.07,-6.98%,283,043
TH,20.51,1.86%,315,384
TGB,6.68,-3.95%,1,845,877
TFSL,16.73,0.69%,146,604
TFPM,28.93,-3.12%,298,151
TFC,49.00,0.50%,2,162,200
TEVA,32.78,1.80%,1,078,513
TENX,12.76,4.20%,278,361
TENB,27.41,4.07%,355,617
TEM,48.85,2.09%,1,800,747
TE,9.62,-7.45%,15,509,032
TDUP,6.09,2.96%,250,961
TDS,39.05,0.28%,128,134
TDOC,7.68,1.32%,1,401,452
TDC,30.89,4.11%,766,460
TDAY,7.93,2.13%,257,908
TCOM,44.77,-3.56%,1,538,982
TBLA,4.50,1.45%,688,212
TBBB,41.95,0.62%,122,142
TASK,4.86,-2.71%,282,128
TAP,39.76,0.31%,636,842
TALO,14.02,-0.25%,340,796
TALK,5.20,-0.19%,1,909,384
TAL,9.31,-1.74%,764,920
TAK,15.77,1.91%,921,194
TAC,13.66,-1.37%,185,055
T,22.85,3.39%,24,250,098
SYM,38.53,-4.14%,1,263,134
SXC,8.33,-0.42%,264,737
SWMR,41.55,-7.95%,128,736
SWIM,5.86,1.68%,162,955
SWBI,16.56,0.67%,408,163
SW,45.07,-0.71%,1,301,604
SVV,9.67,0.29%,139,971
SVRA,5.74,0.97%,610,853
SVM,10.72,-4.02%,1,081,729
SVC,1.66,0.00%,1,334,491
SUZ,8.01,-2.40%,989,965
SUPV,10.24,-0.78%,830,968
SUPN,44.87,0.87%,160,417
STWD,16.70,0.39%,941,861
STVN,17.00,0.32%,92,096
STUB,11.68,2.42%,1,243,068
STTK,5.39,2.96%,243,088
STOK,31.98,3.26%,552,567
STNE,10.67,-0.69%,961,579
STLA,6.00,-6.01%,14,532,015
STGW,6.84,2.78%,509,376
STEP,43.36,-4.63%,227,094
STAG,38.77,0.49%,291,924
STAA,28.51,-1.11%,97,037
ST,49.37,-4.51%,318,620
SSYS,8.35,-3.19%,134,406
SSRM,29.28,-4.70%,1,259,429
SSMR,13.18,-5.04%,15,487
SSL,11.12,-1.51%,1,209,394
SRTA,5.55,-3.39%,438,208
