ticker,price,change,volume
ZZYME,24.08,-0.45%,95,722
ZZWS,47.64,-0.19%,118,023
ZZVRA,12.70,-0.51%,111,157
ZZURA,5.51,1.01%,100,752
ZZTO,24.17,1.07%,71,113
ZZNTL,5.43,6.26%,325,884
ZZLAB,20.26,0.27%,32,193
ZZIP,3.82,-3.66%,34,590
ZZIM,24.24,-0.25%,70,951
ZZGN,13.88,-0.14%,55,316
ZZG,32.73,-2.91%,176,492
ZZETA,21.07,-2.81%,1,038,691
ZZBIO,30.24,2.40%,47,399
ZZ,33.03,-2.58%,322,905
YYUMC,43.91,0.09%,152,333
YYSWY,20.59,-1.44%,21,209
YYSS,17.50,-2.40%,73,111
YYPF,49.56,-0.23%,85,784
YYMM,9.28,1.53%,1,713,354
YYEXT,5.30,-0.84%,135,393
YYELP,26.18,-0.14%,38,300
XXXI,5.28,-1.22%,102,309
XXRX,2.60,-6.14%,438,303
XXRAY,13.85,-1.46%,320,462
XXPRO,16.37,-0.67%,49,162
XXPEV,13.24,-2.11%,1,188,187
XXP,16.89,1.29%,343,470
XXNDU,10.46,4.70%,224,810
XXNCR,18.98,8.67%,643,275
XXMAX,8.47,-0.47%,38,414
XXIFR,12.11,0.77%,27,052
XXHR,21.19,0.91%,42,642
XXFOR,3.78,-1.18%,72,570
XXERS,8.78,-0.17%,481,870
XXE,14.29,1.93%,715,002
WWYFI,26.90,6.96%,590,581
WWY,24.10,-1.57%,555,736
WWWW,18.34,-0.14%,38,378
WWVE,5.87,0.93%,166,430
WWULF,19.24,5.95%,7,598,974
WWU,8.49,-4.38%,1,425,134
WWTTR,20.62,1.43%,178,273
WWTRG,39.87,0.45%,75,451
WWTI,3.41,-2.29%,586,508
WWT,20.14,0.45%,214,886
WWSR,18.99,0.00%,0
WWSE,12.44,-1.43%,128,647
WWSC,26.99,-0.87%,91,609
WWSBC,40.57,-0.56%,46,988
WWRN,2.13,-0.02%,154,271
WWRD,5.92,-0.99%,377,147
WWRBY,25.75,-2.48%,232,461
WWOOF,2.63,-1.13%,112,642
WWOLF,29.11,-2.61%,551,618
WWNC,13.34,-0.76%,90,007
WWMG,28.30,-0.11%,565,047
WWLTH,9.18,-0.92%,35,920
WWKC,36.13,-1.01%,45,651
WWIT,1.85,-0.81%,441,026
WWHR,37.15,-2.84%,388,426
WWGO,30.27,-1.40%,40,923
WWEST,7.53,-1.96%,30,179
WWES,46.52,1.20%,53,151
WWERN,45.69,-0.75%,55,949
WWEN,7.70,-0.84%,938,088
WWEAV,7.07,-2.28%,85,341
WWDS,21.54,-0.83%,68,378
WWBI,34.37,-0.98%,61,671
WWBD,26.66,-0.80%,1,603,822
WWB,7.92,2.19%,152,955
WWAY,21.84,-1.93%,185,709
WWAFD,37.32,-2.10%,91,358
VVZLA,3.13,1.93%,613,811
VVZ,43.35,-0.56%,2,686,298
VVYX,8.02,-2.38%,171,459
VVVV,39.67,-0.75%,90,865
VVVR,2.96,0.17%,30,852
VVTS,15.67,-1.51%,26,370
VVTRS,17.25,-0.26%,572,021
VVTEX,4.19,-0.23%,158,182
VVSTS,16.55,0.27%,121,111
VVSTM,6.03,-0.08%,369,080
VVSNT,35.85,-0.14%,72,244
VVSH,37.50,-0.83%,852,383
VVRRM,4.05,-1.70%,344,534
VVRNS,47.90,0.75%,93,931
VVRDN,18.36,1.83%,343,819
VVOYG,25.20,-2.71%,175,640
VVOR,17.58,-2.82%,67,735
VVOD,15.40,-2.19%,629,479
VVNT,29.86,-1.61%,62,099
VVNOM,44.20,-0.41%,111,544
VVNO,40.20,-0.35%,76,903
VVNET,7.70,4.13%,481,642
VVNDA,5.43,-0.28%,85,362
VVLY,14.84,-0.77%,561,483
VVLRS,7.72,0.78%,50,046
VVKTX,37.29,0.56%,293,512
VVIV,13.96,0.09%,47,694
VVITL,13.47,-0.57%,121,460
VVISN,12.20,0.58%,312,040
VVIR,9.33,-1.06%,83,311
VVIPS,14.64,0.97%,118,043
VVICI,26.84,-0.11%,357,034
VVIAV,39.80,4.30%,819,268
VVIA,17.63,-1.84%,49,279
VVGNT,40.15,0.34%,22,192
VVG,13.91,0.80%,2,782,222
VVFS,3.11,-1.27%,62,541
VVFC,16.89,-0.53%,515,390
VVET,9.71,-1.22%,80,536
VVERX,12.48,-2.54%,225,114
VVERA,38.22,-0.71%,82,596
VVELO,10.12,-4.44%,276,221
VVCEL,46.50,-0.30%,28,575
VVALE,14.19,0.00%,2,620,696
UUWMC,1.93,-4.46%,3,580,601
UUUUU,11.37,-1.04%,974,651
UUTZ,7.38,2.36%,211,082
UUTI,40.22,-0.22%,28,426
UUSAS,3.76,-0.66%,604,809
UUSAR,14.91,-4.70%,2,940,535
UUSA,5.74,-0.09%,163,639
UUROY,2.75,-2.14%,336,407
UURGN,40.52,0.71%,68,408
UURG,1.21,-2.03%,1,084,555
UUPWK,9.02,-0.44%,583,283
UUPST,28.71,-2.71%,628,790
UUPBD,21.73,-1.92%,59,480
UUPB,6.83,-2.52%,40,043
UUNIT,11.19,1.39%,74,926
UUNFI,48.85,-0.51%,27,437
UUMH,15.72,0.19%,23,750
UUMC,20.52,-3.41%,2,837,521
UUMAC,16.88,-0.30%,351,260
UULCC,6.22,-0.16%,256,728
UUGP,6.28,0.56%,696,563
UUGI,36.56,-0.16%,39,459
UUEC,9.31,0.27%,707,115
UUE,23.74,0.17%,25,652
UUDR,39.75,-0.03%,215,398
UUCB,36.28,-0.45%,57,605
UUBSI,47.37,-0.45%,74,956
UUAMY,5.17,-5.38%,921,865
UUAA,7.39,-0.47%,609,488
UUA,7.23,-0.69%,251,798
UU,30.12,3.90%,1,289,434
TTYRA,32.02,-0.35%,28,913
TTXG,44.15,0.93%,279,172
TTWO,12.10,0.04%,47,628
TTWI,7.51,-2.02%,20,643
TTV,2.75,1.30%,59,944
TTUYA,1.74,0.00%,39,838
TTU,10.31,-0.87%,632,933
TTTI,9.20,-0.59%,58,079
