ticker,price,change,volume
ZZYME,23.96,0.84%,62,549
ZZWS,47.57,-0.48%,32,710
ZZVRA,12.16,1.12%,97,854
ZZURA,5.33,1.33%,23,400
ZZTO,24.06,-0.37%,42,608
ZZNTL,5.09,1.50%,155,934
ZZLAB,20.65,0.63%,59,828
ZZIP,3.96,-0.75%,36,854
ZZIM,24.26,-0.21%,76,297
ZZGN,14.07,0.86%,235,087
ZZG,32.05,-2.41%,65,352
ZZETA,21.62,1.31%,727,225
ZZBIO,31.08,1.25%,33,655
ZZ,32.20,-2.51%,210,525
YYUMC,43.81,-0.27%,127,902
YYSWY,19.90,-1.25%,15,334
YYSS,17.55,0.75%,113,319
YYMM,9.09,-1.73%,707,899
YYEXT,5.41,-0.64%,70,177
YYELP,26.33,-0.02%,40,880
XXXI,4.59,-13.82%,1,257,494
XXRX,2.63,0.95%,191,755
XXRAY,13.47,0.04%,230,347
XXPRO,16.04,0.13%,9,562
XXPEV,13.23,0.30%,692,134
XXP,16.67,-0.80%,281,022
XXNDU,11.16,2.92%,263,099
XXNCR,19.62,4.33%,76,616
XXMAX,8.58,1.30%,39,533
XXIFR,11.93,-1.51%,33,080
XXHR,21.22,0.57%,28,940
XXFOR,3.73,1.36%,26,983
XXERS,8.67,0.81%,180,879
XXE,15.68,0.13%,455,239
WWYFI,26.31,-3.02%,654,153
WWY,23.75,-0.90%,221,415
WWWW,18.74,0.64%,32,533
WWVE,5.81,1.33%,103,440
WWULF,19.58,3.81%,5,073,226
WWU,8.73,0.75%,845,006
WWTTR,20.58,0.86%,161,185
WWTRG,38.98,-1.03%,82,883
WWTI,3.59,2.29%,553,901
WWT,20.72,2.37%,173,794
WWSR,18.99,0.00%,0
WWSE,12.51,0.93%,213,133
WWSC,26.06,-0.11%,86,993
WWSBC,40.42,-0.28%,38,162
WWRN,2.22,3.97%,126,463
WWRD,5.93,-0.42%,302,159
WWRBY,24.86,1.12%,241,200
WWOOF,2.67,-1.29%,77,071
WWOLF,30.98,5.43%,544,018
WWNC,13.17,-0.75%,63,337
WWMG,27.94,-0.41%,69,643
WWLTH,9.33,-0.54%,37,497
WWKC,35.85,0.43%,32,804
WWIT,1.85,0.00%,308,066
WWHR,36.49,-1.14%,173,730
WWGO,30.43,-0.26%,29,676
WWEST,7.38,1.23%,12,317
WWES,46.54,-0.14%,102,963
WWERN,45.84,-1.01%,71,433
WWEN,7.79,-0.78%,487,219
WWEAV,6.99,-2.24%,61,540
WWDS,22.08,1.99%,78,646
WWBI,34.64,-0.32%,43,649
WWBD,25.82,-0.15%,2,569,916
WWB,8.01,0.17%,82,501
WWAY,22.06,-0.14%,144,428
WWAFD,36.61,-0.62%,35,439
VVZLA,3.25,3.17%,798,018
VVZ,43.19,-0.71%,2,020,949
VVYX,8.06,-0.31%,172,194
VVVV,39.15,-0.98%,145,674
VVVR,2.99,-0.33%,46,007
VVTS,15.88,0.70%,13,124
VVTRS,17.06,0.38%,435,745
VVTEX,4.15,-0.95%,69,650
VVSTS,15.98,-0.96%,81,676
VVSTM,5.75,0.00%,134,295
VVSNT,36.11,0.42%,72,206
VVSH,39.29,5.15%,943,222
VVRRM,4.07,0.00%,205,651
VVRNS,46.96,-1.04%,124,756
VVRDN,18.74,0.99%,61,900
VVOYG,25.78,3.31%,79,902
VVOR,18.09,3.70%,144,144
VVOD,15.23,-1.14%,641,028
VVNT,30.11,1.09%,86,686
VVNOM,44.40,0.09%,51,519
VVNO,40.13,0.98%,52,667
VVNET,7.72,0.65%,261,263
VVNDA,5.37,0.94%,31,039
VVLY,14.62,-0.31%,907,721
VVLRS,7.96,2.45%,27,130
VVKTX,37.12,2.05%,154,264
VVIV,13.99,-0.29%,88,266
VVITL,13.44,-2.33%,113,051
VVISN,12.08,1.43%,373,628
VVIR,9.33,1.08%,96,169
VVIPS,14.48,-0.82%,138,057
VVICI,26.62,-0.83%,287,091
VVIAV,41.26,4.64%,220,789
VVIA,18.14,-2.40%,40,681
VVGNT,40.81,1.97%,22,928
VVG,14.24,-0.32%,2,044,807
VVFS,3.16,1.44%,39,737
VVFC,16.68,-1.16%,348,014
VVET,9.93,1.90%,131,031
VVERX,12.28,-4.73%,195,132
VVERA,36.95,-0.11%,100,929
VVELO,10.56,5.81%,220,657
VVCEL,45.70,-0.39%,42,158
VVALE,14.10,0.04%,2,373,683
UUWMC,1.87,-1.32%,1,505,379
UUUUU,12.10,3.11%,992,072
UUTZ,14.08,88.98%,32,747,132
UUTI,37.13,-2.06%,77,642
UUSAS,3.91,4.12%,443,770
UUSAR,15.54,2.04%,1,751,324
UUSA,5.80,0.61%,456,502
UUROY,2.84,2.90%,222,186
UURGN,42.64,3.70%,146,289
UURG,1.28,5.48%,808,194
UUPWK,9.23,-1.13%,469,025
UUPST,29.38,1.93%,441,324
UUPBD,21.59,-0.46%,48,847
UUPB,7.07,1.22%,13,343
UUNIT,11.28,2.92%,154,193
UUNFI,49.15,1.09%,31,958
UUMH,15.52,-0.51%,22,193
UUMC,21.11,3.99%,3,016,098
UUMAC,18.80,8.17%,657,084
UULCC,6.30,1.45%,521,241
UUGP,6.14,-1.36%,404,091
UUGI,36.53,-0.56%,66,472
UUEC,9.48,0.85%,1,054,684
UUE,23.52,0.02%,25,457
UUDR,39.67,-0.16%,128,429
UUCB,35.30,-2.03%,77,659
UUBSI,46.86,-0.68%,77,371
UUAMY,5.61,4.76%,915,218
UUAA,7.31,0.38%,528,754
UUA,7.15,0.28%,208,303
UU,30.30,1.63%,694,469
TTYRA,31.49,1.38%,13,685
TTXG,44.71,3.44%,201,717
TTWO,12.10,0.00%,62,079
TTWI,7.63,0.93%,10,270
TTV,2.73,-0.55%,46,585
TTUYA,1.74,0.02%,67,846
TTU,10.06,-2.14%,1,197,987
TTTI,8.98,1.21%,46,241
TTTEK,31.01,-0.83%,134,681
TTTD,18.42,-1.21%,1,289,560
TTSLX,17.12,0.26%,18,406
TTSHA,5.61,0.63%,103,733
TTSCO,29.70,-1.98%,1,312,436
TTRVI,17.65,5.25%,143,911
TTRTX,8.65,-0.17%,22,038
TTROX,6.08,2.18%,229,558
TTRON,1.54,5.82%,62,405
TTRN,36.54,0.25%,28,686
TTRMD,29.55,1.62%,66,929
TTRLV,8.86,1.14%,24,970
TTRIP,14.17,-1.67%,397,866
TTRIN,17.97,1.58%,176,282
TTREX,42.30,-2.05%,112,966
TTPG,43.01,0.08%,65,689
TTOWN,36.13,-0.76%,30,683
TTOST,30.58,-0.89%,637,045
TTOI,5.45,-1.00%,111,410
TTNGX,28.20,2.41%,56,364
TTNDM,17.74,-1.99%,101,835
TTMQ,3.10,3.98%,361,339
TTME,9.05,-1.27%,449,460
TTMC,3.88,4.31%,419,887
TTLS,4.53,-0.88%,26,975
TTLRY,4.22,-0.12%,285,555
TTLK,15.06,0.70%,194,002
TTKC,5.87,0.87%,81,832
TTK,10.91,1.44%,18,997
TTILE,31.86,-0.59%,24,867
TTIGR,4.85,3.63%,970,713
TTIC,6.72,2.68%,124,329
TTHM,2.12,5.75%,55,323
TTH,16.30,-0.55%,16,750
TTGB,7.38,5.13%,567,372
TTFSL,18.06,-0.93%,42,240
TTFPM,28.25,3.14%,55,266
TTEVA,31.18,0.58%,488,138
TTEO,13.28,0.87%,5,937
TTENX,15.98,1.88%,85,864
TTENB,35.60,-5.72%,568,629
TTEM,49.53,2.32%,1,345,597
TTE,5.99,-0.66%,2,891,866
TTDUP,6.57,-0.38%,42,949
TTDS,33.65,-0.43%,23,537
TTDOC,9.80,1.55%,421,103
TTDC,30.60,0.00%,74,870
TTDAY,8.45,0.39%,36,372
TTCOM,43.75,-1.00%,332,638
TTBPH,16.89,0.45%,62,368
TTBLA,5.22,-1.79%,216,816
TTBBB,40.83,-0.99%,28,829
TTASK,5.80,-0.34%,19,858
TTAP,41.14,-1.13%,231,883
TTALO,14.56,2.36%,127,245
TTALK,5.21,0.00%,40,937
TTAL,10.24,-0.68%,138,973
TTAK,17.17,0.70%,724,954
TTAC,13.81,0.66%,28,681
TT,21.86,-0.39%,4,093,254
SSYM,41.56,1.79%,106,797
SSXC,8.47,1.32%,52,692
SSWMR,44.24,13.20%,144,666
SSWIM,6.04,-1.08%,39,900
SSWBI,15.21,1.35%,23,593
SSW,43.04,-0.22%,526,621
SSVV,9.56,-2.00%,20,761
SSVRA,5.51,0.46%,80,607
SSVM,9.17,2.92%,494,867
SSVC,8.72,-0.51%,124,172
SSUZ,8.23,-0.06%,92,201
SSUPV,9.86,2.16%,24,383
SSUPN,47.31,-0.23%,20,091
