ticker,price,change,volume
ZYME,24.34,1.93%,229,823
ZVRA,13.03,0.27%,648,211
ZURA,4.22,-2.05%,675,585
ZTO,21.89,-0.43%,900,461
ZLAB,18.33,-0.89%,665,121
ZIM,25.14,-1.14%,631,865
ZGN,13.21,0.68%,729,927
ZG,30.86,1.00%,1,203,960
ZETA,18.56,-4.88%,7,319,966
ZD,48.17,3.82%,503,799
ZBIO,21.58,6.82%,581,073
Z,31.02,1.71%,2,551,980
YUMC,41.07,0.27%,1,111,811
YSWY,20.77,-3.92%,199,098
YSS,25.03,-12.36%,1,102,901
YPF,45.70,-4.87%,1,709,213
YMM,7.82,2.29%,4,705,057
YEXT,4.12,4.96%,731,411
YETI,49.57,3.33%,528,303
YELP,23.35,3.01%,494,655
XXI,5.39,-5.86%,956,472
XRX,3.11,-0.88%,1,672,183
XRAY,10.38,1.76%,2,579,688
XPRO,13.05,-2.61%,1,112,370
XPOF,6.81,-0.17%,410,773
XPEV,12.47,-2.31%,3,523,155
XP,15.66,-0.41%,2,529,612
XNDU,11.72,-4.17%,1,494,355
XNCR,14.44,2.58%,484,105
XMAX,8.26,-3.95%,823,007
XIFR,11.55,0.06%,472,469
XHR,20.09,0.31%,450,697
XERS,7.43,3.13%,1,087,859
XE,18.83,-10.72%,3,356,895
WYFI,37.00,-17.34%,3,554,871
WY,25.55,4.52%,4,109,472
WWW,17.32,3.35%,408,369
WVE,6.01,-0.47%,2,459,774
WULF,26.12,-9.24%,23,772,632
WU,7.22,2.63%,4,603,066
WTTR,18.16,-2.10%,921,165
WTRG,37.94,1.74%,1,187,776
WTI,3.08,-7.45%,2,596,072
WT,17.86,-2.56%,2,617,617
WSR,18.94,0.03%,250,746
WSE,10.91,-2.15%,1,268,433
WSC,28.41,2.03%,818,414
WSBC,38.04,2.03%,797,582
WRN,2.05,-6.82%,2,524,370
WRD,5.57,-3.22%,1,678,872
WRBY,26.72,4.21%,2,031,166
WPP,16.58,-2.13%,802,708
WOOF,2.62,3.97%,1,377,540
WOLF,43.89,-10.26%,3,819,004
WNC,13.06,3.64%,1,036,536
WMG,27.00,-1.95%,1,089,481
WLTH,8.08,-1.63%,743,988
WKC,31.88,-0.19%,344,388
WK,48.13,2.46%,421,938
WIX,42.18,4.33%,915,356
WIT,2.22,-3.06%,7,634,122
WHR,37.91,4.76%,1,454,459
WHK,26.88,-2.78%,183,442
WGO,27.18,-3.89%,1,584,288
WEST,9.68,6.61%,550,107
WES,42.66,-1.95%,697,897
WERN,40.96,-0.17%,524,763
WEN,7.87,25.78%,188,694,124
WEAV,5.46,0.37%,640,332
WDS,19.08,-3.44%,833,709
WBI,28.28,-1.08%,1,237,000
WBD,27.22,1.25%,27,907,671
WB,7.30,-0.34%,502,236
WAY,19.01,3.24%,1,391,932
WAFD,37.69,1.14%,320,259
VZLA,3.06,-8.79%,5,213,391
VZ,45.90,-1.79%,14,971,250
VYX,7.55,7.93%,1,591,561
VVV,39.60,3.35%,1,152,751
VVR,3.00,0.67%,313,159
VTS,15.61,-3.30%,330,394
VTRS,15.90,0.95%,4,679,479
VTEX,3.57,1.86%,2,641,099
VSTS,13.41,1.63%,685,138
VSTM,3.91,-7.01%,1,970,323
VSNT,37.96,0.20%,780,918
VRRM,4.41,0.23%,3,412,390
VRNS,36.63,4.57%,2,582,726
VRDN,17.37,0.52%,695,802
VOYG,30.47,-9.32%,1,698,029
VOR,14.48,-2.47%,504,847
VOD,13.84,-1.53%,1,964,238
VNT,30.05,-0.07%,826,622
VNOM,43.27,-0.94%,913,678
VNO,37.91,0.69%,912,439
VNET,8.11,-2.93%,1,456,128
VNDA,5.91,-0.67%,536,056
VLY,14.56,1.28%,3,408,043
VLRS,9.14,-0.65%,570,742
VKTX,37.19,6.83%,4,360,803
VIV,13.16,-0.42%,726,927
VITL,11.06,3.60%,1,274,269
VISN,12.53,0.24%,2,226,886
VIR,10.04,-1.15%,1,670,355
VIPS,13.42,1.88%,1,511,648
VICI,27.03,1.56%,15,865,614
VIAV,48.56,-2.82%,5,050,176
VIA,14.95,-0.60%,570,469
VGNT,41.55,-2.69%,1,052,503
VG,10.44,-6.91%,9,034,529
VFS,3.12,-1.11%,353,168
VFC,17.29,2.27%,4,337,097
VET,9.39,-4.55%,1,064,995
VERX,11.23,2.79%,641,728
VERA,39.85,4.32%,1,326,116
VELO,17.94,-13.14%,2,849,369
VCEL,41.88,3.70%,412,372
VALE,14.81,-3.23%,19,696,568
UWMC,2.03,0.00%,20,437,265
UUUU,14.69,-5.01%,8,843,324
UTZ,7.31,3.67%,1,193,914
UTI,39.31,-1.11%,273,167
USAS,4.48,-8.58%,3,754,499
USAR,21.17,-7.51%,10,315,286
USA,5.66,0.09%,1,313,820
UROY,2.73,-6.01%,1,238,297
URGN,34.90,-0.70%,323,692
URG,1.34,-4.96%,7,706,346
UPWK,8.31,1.16%,1,424,617
UPST,32.61,3.66%,3,624,919
UPBD,19.08,2.10%,743,996
UPB,6.37,0.72%,384,597
UNIT,11.35,-1.39%,887,924
UMH,15.45,1.95%,263,399
UMC,27.47,4.83%,18,531,799
UMAC,19.28,-10.35%,3,027,144
ULCC,7.36,1.54%,2,616,450
UGP,4.89,-1.11%,1,502,065
UGI,34.91,0.54%,1,054,853
UEC,10.79,-4.87%,5,067,392
UE,23.51,2.57%,1,070,898
UDR,38.37,0.22%,3,176,484
UCB,34.49,1.31%,501,078
UBSI,45.72,0.95%,755,123
UBS,49.33,-1.92%,1,459,516
UAMY,6.43,-8.35%,6,894,099
UAA,6.07,4.93%,6,114,556
UA,5.87,4.58%,2,250,763
U,27.11,-1.83%,3,566,738
TYRA,30.67,2.01%,310,231
TXG,34.40,7.94%,1,710,310
TWO,12.35,0.28%,427,905
TWI,7.42,1.88%,157,607
TV,2.74,1.29%,461,666
TUYA,1.78,-3.23%,652,374
TU,11.33,-1.37%,3,580,818
TTI,9.91,-2.20%,743,190
TTEK,28.37,1.18%,2,834,131
TTD,17.92,-0.07%,9,226,275
TSSI,11.89,-6.53%,507,598
TSLX,16.70,1.27%,498,814
TSHA,6.87,0.15%,923,323
TSCO,30.11,1.45%,5,822,435
TRVI,17.50,0.72%,1,386,784
TRTX,8.58,-0.80%,284,944
TRS,43.32,0.51%,198,980
TROX,6.72,0.52%,2,198,358
TRON,1.42,-6.25%,549,561
TRN,35.18,0.33%,206,581
TRMD,28.68,-1.58%,1,250,148
TRLV,8.38,-1.76%,2,128,012
TRIP,12.83,3.57%,2,320,226
TRIN,16.84,-0.31%,679,320
TREX,48.99,8.05%,1,313,280
TPG,38.88,-1.78%,2,772,662
TOWN,36.07,1.49%,231,705
TOST,26.20,6.90%,10,589,492
TOI,5.11,1.69%,1,021,678
TNGX,29.23,2.96%,3,352,446
TNDM,15.16,5.20%,1,347,770
TMQ,3.29,-7.72%,1,573,101
TME,8.18,-0.24%,3,441,127
TMC,4.47,-7.16%,4,421,063
TLS,4.36,0.35%,298,128
TLRY,4.59,-0.54%,1,742,079
TLK,14.18,-1.73%,656,631
TKC,6.01,-0.46%,2,853,014
TK,12.09,-2.89%,217,281
TILE,34.04,5.03%,188,330
TIGR,4.70,0.97%,1,490,083
TIC,8.12,-0.55%,544,349
THM,1.84,-10.49%,1,528,215
TH,20.03,-2.41%,922,812
TGB,6.28,-6.20%,3,366,988
TFSL,17.00,0.74%,616,695
TFPM,27.71,-3.78%,317,894
TEVA,33.94,2.20%,4,909,116
TEO,12.74,-2.19%,500,859
TENX,12.97,-4.91%,489,853
TENB,27.97,2.59%,814,518
TE,8.34,-9.79%,20,024,432
TDUP,6.53,5.07%,967,618
TDS,37.72,-3.46%,393,290
TDOC,7.77,1.04%,2,203,283
TDC,31.48,1.03%,1,043,986
TDAY,7.97,-0.65%,589,049
TCOM,46.33,1.81%,1,795,323
TBLA,4.61,-1.39%,1,309,346
TBBB,42.26,0.40%,230,671
TASK,4.89,4.16%,498,133
TAP,40.87,2.92%,1,649,252
TALO,13.60,-2.56%,780,403
TALK,5.19,-0.19%,2,575,774
TAL,9.27,-1.85%,1,436,762
TAK,15.85,0.03%,1,864,352
TAC,13.64,-0.38%,639,717
T,22.52,-1.25%,34,065,098
SYM,38.73,0.42%,1,374,597
SXC,8.06,-3.76%,809,078
SWMR,37.74,-8.95%,285,962
SWIM,6.07,3.30%,518,652
SWBI,16.39,-1.68%,585,926
SW,46.43,4.67%,3,749,472
SVV,10.25,5.60%,386,753
SVRA,5.81,0.48%,1,014,405
SVM,10.22,-3.41%,2,438,189
SVC,1.76,2.92%,9,497,297
