ticker,price,change,volume
TRN,35.18,0.30%,205,701
TRMD,28.67,-1.61%,1,244,245
TRLV,8.38,-1.76%,2,125,597
TRIP,12.84,3.62%,2,316,447
TRIN,16.85,-0.24%,677,859
TREX,49.03,8.14%,1,310,144
TPG,39.02,-1.41%,2,766,418
TOWN,36.07,1.49%,229,993
TOST,26.21,6.95%,10,559,748
TOI,5.11,1.64%,1,020,885
TNGX,29.27,3.09%,3,342,143
TNDM,15.12,4.89%,1,344,059
TMQ,3.28,-7.87%,1,571,748
TME,8.19,-0.17%,3,427,278
TMC,4.47,-7.16%,4,405,292
TLS,4.35,0.16%,296,786
TLRY,4.58,-0.59%,1,740,064
TLK,14.16,-1.84%,642,698
TKC,6.01,-0.46%,2,849,393
TK,12.09,-2.85%,215,322
TILE,34.05,5.06%,188,114
TIGR,4.70,0.97%,1,483,841
TIC,8.13,-0.48%,543,652
THM,1.84,-10.49%,1,528,097
TH,20.01,-2.49%,922,289
TGB,6.28,-6.20%,3,361,030
TFSL,17.02,0.83%,604,118
TFPM,27.76,-3.60%,306,453
TEVA,33.95,2.23%,4,903,268
TEO,12.72,-2.36%,500,608
TENX,12.97,-4.91%,485,589
TENB,27.95,2.53%,811,464
TE,8.32,-9.90%,20,001,247
TDUP,6.53,5.07%,967,321
TDS,37.75,-3.38%,390,835
TDOC,7.78,1.11%,2,194,376
TDC,31.45,0.92%,1,038,041
TDAY,7.97,-0.67%,588,310
TCOM,46.33,1.82%,1,792,826
TBLA,4.61,-1.39%,1,307,600
TBBB,42.28,0.45%,230,120
TASK,4.88,4.13%,498,042
TAP,40.87,2.92%,1,635,817
TALO,13.61,-2.52%,775,294
TALK,5.19,-0.19%,2,571,280
TAL,9.27,-1.85%,1,432,038
TAK,15.84,0.02%,1,857,339
TAC,13.64,-0.34%,638,041
T,22.52,-1.25%,33,991,610
SYM,38.72,0.39%,1,372,597
SXC,8.06,-3.76%,808,129
SWMR,37.74,-8.95%,285,356
SWIM,6.07,3.32%,518,156
SWBI,16.41,-1.57%,582,128
SW,46.45,4.71%,3,738,920
SVV,10.25,5.58%,386,322
SVRA,5.80,0.43%,1,012,506
SVM,10.22,-3.45%,2,433,554
SVC,1.76,2.92%,9,482,685
SUZ,8.07,0.37%,1,719,372
SUPV,9.36,-7.51%,824,889
SUPN,45.22,1.67%,451,913
STWD,16.72,-0.12%,2,640,127
STVN,17.04,0.99%,264,237
STUB,11.14,-5.82%,4,729,369
STTK,6.07,12.52%,896,256
STOK,30.92,-0.61%,404,975
STNE,10.88,1.51%,2,632,419
STLA,5.84,-1.93%,16,703,605
STGW,7.06,0.27%,812,647
STEP,41.38,-3.62%,824,186
STAG,39.23,0.89%,1,035,158
STAA,28.62,0.91%,278,108
ST,47.75,-2.17%,818,989
SSYS,8.26,-0.74%,463,303
SSRM,27.87,-4.75%,1,911,669
SSL,10.48,-5.71%,1,568,318
SRTA,5.49,-1.35%,719,533
SRPT,16.90,-2.09%,1,282,625
SRAD,14.75,0.34%,1,079,890
SPT,6.74,2.91%,695,568
SPRY,10.60,3.11%,975,707
