ticker,price,change,volume
ZYME,27.06,1.55%,183,459
ZWS,47.36,1.19%,147,116
ZVRA,14.15,-4.06%,513,339
ZURA,5.26,-4.10%,395,010
ZTO,23.58,1.57%,314,495
ZNTL,4.62,-4.94%,299,957
ZLAB,20.00,1.27%,375,333
ZIP,4.00,2.77%,117,420
ZIM,24.29,-1.26%,428,232
ZGN,13.58,1.65%,222,487
ZG,32.75,1.93%,202,399
ZETA,22.10,2.01%,3,523,623
ZBIO,29.56,2.75%,200,222
Z,32.89,1.92%,890,439
YUMC,42.36,-0.84%,758,802
YSWY,20.16,-0.38%,75,038
YSS,20.57,-2.05%,450,640
YPF,46.53,-2.86%,638,378
YMM,8.58,0.03%,1,818,064
YEXT,5.07,2.94%,375,521
YETI,49.51,3.71%,143,730
YELP,25.39,-0.54%,201,201
XXI,5.22,-0.38%,311,153
XRX,2.76,3.37%,1,715,155
XRAY,11.82,0.34%,1,283,323
XPRO,14.84,0.73%,271,934
XPOF,6.76,-0.29%,154,641
XPEV,13.01,-2.00%,3,092,836
XP,16.48,6.74%,4,252,853
XNDU,11.27,0.54%,675,490
XNCR,16.10,-2.19%,196,553
XMAX,8.75,1.36%,306,297
XIFR,12.23,-1.99%,288,630
XHR,20.18,2.02%,91,944
XFOR,3.93,-0.63%,120,367
XERS,8.56,-1.21%,615,259
XE,16.80,-0.94%,1,561,035
WYFI,39.21,6.71%,2,346,295
WY,22.58,0.53%,1,012,475
WWW,17.29,3.25%,197,424
WVE,6.17,-1.13%,671,815
WULF,23.94,4.85%,24,214,153
WU,7.77,0.62%,2,021,499
WTTR,19.23,0.34%,355,817
WTRG,38.53,-0.60%,465,462
WTI,3.42,-4.75%,2,109,472
WT,19.44,3.98%,1,071,281
WSR,18.98,-0.13%,333,888
WSE,12.73,-1.25%,459,675
WSC,25.68,2.19%,565,232
WSBC,39.05,1.62%,160,700
WRN,2.22,3.97%,773,640
WRD,5.47,1.63%,958,504
WRBY,28.51,3.04%,396,271
WPP,17.30,0.93%,120,020
WOOF,2.54,-1.93%,804,459
WOLF,38.17,6.44%,1,873,105
WNC,12.44,1.39%,136,547
WMG,29.11,0.75%,815,248
WLTH,9.38,4.36%,380,578
WKC,34.42,1.88%,229,809
WIX,48.87,2.32%,437,273
WIT,1.86,1.64%,2,408,341
WHR,37.92,0.68%,588,607
WGO,29.47,2.21%,255,763
WEST,7.05,-1.54%,145,374
WES,45.14,-0.33%,200,520
WERN,44.78,3.76%,565,765
WEN,7.43,-0.20%,3,968,711
WEAV,6.67,-1.19%,259,418
WDS,20.02,-1.29%,250,770
WBI,34.41,1.01%,124,494
WBD,26.26,0.42%,4,079,476
WB,7.72,0.78%,320,453
WAY,22.82,0.42%,762,493
WAFD,37.75,2.30%,154,510
VZLA,3.08,4.05%,3,407,223
VZ,42.08,-0.88%,9,769,339
VYX,8.02,0.31%,490,901
VVV,38.01,0.92%,325,007
VVR,2.99,0.00%,279,487
VTS,15.47,-3.31%,157,355
VTRS,16.60,-0.36%,2,826,754
VTEX,3.95,0.38%,231,660
VSTS,14.17,0.07%,323,018
VSTM,5.19,2.25%,1,819,403
VSNT,36.08,0.21%,439,445
VSH,45.23,7.21%,2,385,157
VRRM,4.18,-0.95%,1,297,121
VRNS,45.24,0.38%,409,829
VRDN,20.10,1.21%,1,118,238
VOYG,32.84,-3.67%,462,170
VOR,20.08,-1.13%,720,438
VOD,13.07,-0.11%,1,217,820
VNT,28.75,0.81%,444,537
VNOM,42.05,-2.19%,510,299
VNO,38.51,1.20%,301,432
VNET,8.16,-1.98%,1,034,851
VNDA,6.32,-3.88%,300,160
VLY,14.73,1.76%,1,445,396
VLRS,8.69,2.78%,356,838
VKTX,40.20,0.59%,758,938
VIV,13.48,1.39%,652,553
VITL,12.85,4.34%,603,378
VISN,12.64,1.98%,2,984,860
VIR,10.26,-1.64%,470,434
VIPS,13.91,1.31%,508,533
VICI,25.94,-0.56%,3,695,243
VIAV,43.50,6.88%,1,284,249
VIA,17.87,-0.28%,166,519
VGNT,40.88,1.10%,183,458
VG,12.69,2.50%,7,359,803
VFS,3.06,0.49%,362,871
VFC,16.75,4.53%,1,429,779
VET,9.50,-0.20%,594,141
VERX,12.81,0.73%,262,223
VERA,41.66,-1.81%,1,016,851
VELO,14.24,3.56%,831,222
VCEL,47.90,1.87%,140,256
VALE,14.18,0.92%,9,037,229
UWMC,2.04,0.49%,7,828,148
UUUU,13.46,2.43%,3,191,206
UTZ,7.77,-1.27%,452,632
UTI,49.79,0.74%,163,656
USAS,4.46,5.94%,1,327,350
USAR,19.02,3.12%,4,777,381
USA,5.90,1.20%,878,523
UROY,2.66,0.00%,668,447
URGN,39.19,3.05%,176,004
URG,1.33,1.92%,3,134,422
UPWK,8.64,0.88%,1,015,417
UPST,33.16,4.24%,1,427,157
UPBD,20.13,1.41%,133,620
UPB,7.62,-4.56%,109,469
UNIT,10.90,-0.05%,214,647
