ticker,price,change,volume
ZYME,27.07,1.58%,598,095
ZWS,46.77,-0.06%,684,172
ZVRA,13.94,-5.49%,1,599,744
ZURA,5.51,0.36%,1,102,514
ZTO,23.45,0.99%,1,208,050
ZNTL,4.70,-3.29%,895,954
ZLAB,19.98,1.16%,935,336
ZIP,3.92,0.77%,442,675
ZIM,24.14,-1.87%,966,532
ZGN,13.57,1.57%,878,863
ZG,33.21,3.36%,967,093
ZETA,21.92,1.20%,12,667,762
ZBIO,29.43,2.31%,671,198
Z,33.44,3.63%,3,936,746
YUMC,42.31,-0.96%,1,662,359
YSWY,20.41,0.84%,242,243
YSS,20.58,-2.00%,1,007,893
YPF,47.04,-1.80%,1,224,915
YMM,8.58,0.00%,3,480,392
YEXT,5.06,2.64%,1,341,516
YETI,49.34,3.35%,690,644
YELP,25.55,0.08%,1,283,144
XXI,5.22,-0.38%,595,156
XRX,2.78,4.12%,3,033,757
XRAY,11.89,0.93%,4,058,159
XPRO,14.83,0.68%,1,084,163
XPOF,6.86,1.18%,421,869
XPEV,12.98,-2.19%,7,694,029
XP,16.41,6.28%,7,579,514
XNDU,11.27,0.54%,1,177,612
XNCR,16.11,-2.10%,1,239,910
XMAX,8.81,2.09%,803,958
XIFR,12.40,-0.64%,922,366
XHR,20.17,1.97%,367,416
XFOR,3.96,0.00%,447,306
XERS,8.62,-0.58%,1,980,883
XE,16.60,-2.12%,3,432,186
WYFI,38.84,5.72%,4,063,583
WY,22.50,0.18%,4,045,169
WWW,17.36,3.64%,691,143
WVE,6.31,1.12%,1,661,797
WULF,23.20,1.62%,50,643,902
WU,7.82,1.30%,6,355,348
WTTR,19.17,0.05%,886,502
WTRG,38.53,-0.59%,1,568,753
WTI,3.41,-5.01%,4,207,177
WT,19.86,6.20%,4,159,606
WSR,18.97,-0.16%,1,139,807
WSE,12.77,-0.93%,867,541
WSC,25.78,2.59%,1,702,827
WSBC,38.87,1.14%,814,475
WRN,2.20,2.80%,1,545,877
WRD,5.55,3.16%,1,859,818
WRBY,29.32,5.96%,1,432,712
WPP,17.34,1.17%,244,006
WOOF,2.55,-1.54%,1,701,250
WOLF,37.25,3.88%,3,157,549
WNC,12.36,0.73%,568,081
WMG,29.14,0.87%,2,452,987
WLTH,9.31,3.56%,1,354,787
WKC,34.40,1.84%,987,776
WIX,49.24,3.10%,1,410,897
