ticker,price,change,volume
ZYME,27.07,1.58%,598,095
ZWS,46.77,-0.06%,684,172
WIT,1.85,1.09%,6,357,935
WHR,37.86,0.50%,1,471,028
WGO,29.07,0.83%,858,242
WEST,7.16,0.00%,398,676
WES,44.87,-0.93%,618,946
WERN,44.78,3.75%,1,096,054
WEN,7.59,1.88%,10,024,972
WEAV,6.77,0.30%,821,654
WDS,20.00,-1.38%,506,733
WBI,34.54,1.38%,1,051,557
WBD,26.63,1.84%,12,920,957
WB,7.72,0.78%,731,793
WAY,23.18,2.02%,3,914,208
WAFD,37.77,2.36%,574,566
VZLA,3.16,6.76%,5,975,974
VZ,42.24,-0.49%,28,087,531
VYX,7.99,0.00%,1,787,438
VVV,37.98,0.82%,2,019,063
VVR,2.99,0.00%,774,455
VTS,15.42,-3.62%,424,512
VTRS,16.34,-1.92%,9,205,750
VTEX,3.95,0.25%,1,047,127
VSTS,14.35,1.34%,1,010,311
VSTM,5.40,6.30%,5,124,747
VSNT,35.81,-0.53%,1,524,227
VSH,44.04,4.38%,5,222,251
VRRM,4.22,-0.12%,3,829,810
VRNS,45.81,1.64%,1,138,674
VRDN,20.20,1.71%,2,001,546
VOYG,32.64,-4.25%,1,117,655
VOR,19.75,-2.76%,1,596,602
VOD,13.08,-0.08%,1,986,756
VNT,28.92,1.40%,1,583,273
VNOM,41.67,-3.07%,1,641,834
VNO,38.09,0.08%,2,020,693
VNET,8.05,-3.36%,3,278,539
VNDA,6.38,-3.04%,647,794
VLY,14.66,1.31%,5,126,265
VLRS,8.48,0.24%,756,805
VKTX,41.14,2.95%,1,705,025
VIV,13.45,1.20%,1,047,475
VITL,12.96,5.19%,1,580,201
VISN,12.60,1.69%,5,586,976
VIR,10.34,-0.86%,1,284,732
VIPS,13.85,0.87%,1,700,023
VICI,25.93,-0.61%,12,730,756
VIAV,42.88,5.36%,3,549,403
VIA,18.31,2.18%,483,934
VGNT,40.72,0.72%,906,850
VG,12.53,1.21%,15,449,725
VFS,3.03,-0.49%,471,426
VFC,16.53,3.18%,4,203,254
VET,9.47,-0.53%,1,308,007
VERX,12.80,0.63%,744,981
VERA,42.45,0.05%,2,339,219
VELO,14.63,6.40%,1,594,110
VCEL,48.31,2.74%,409,336
VALE,14.22,1.21%,25,325,017
UWMC,2.08,2.46%,18,031,780
UUUU,13.49,2.66%,6,180,148
UTZ,7.71,-2.03%,1,350,168
UTI,48.73,-1.42%,532,102
USAS,4.46,5.94%,2,409,888
USAR,18.87,2.28%,8,238,874
USA,5.85,0.34%,1,725,031
UROY,2.65,-0.38%,1,414,247
URGN,40.23,5.78%,616,436
URG,1.33,2.31%,6,496,813
UPWK,8.68,1.40%,3,157,284
UPST,33.23,4.46%,3,127,706
UPBD,20.32,2.37%,702,923
UPB,7.81,-2.13%,467,481
UNIT,11.11,1.93%,1,063,704
UNFI,47.94,1.61%,456,262
UMH,15.28,0.79%,336,194
UMC,24.86,0.53%,11,957,021
UMAC,20.73,0.53%,2,411,643
ULCC,7.70,7.54%,4,001,253
UGP,5.81,2.47%,3,584,605
UGI,36.07,1.35%,1,567,702
UEC,10.16,2.32%,5,713,206
UE,22.72,-0.74%,634,169
UDR,39.69,-0.35%,2,413,392
UCB,35.26,1.94%,719,490
UBSI,45.93,1.39%,955,466
UAMY,6.62,-0.90%,4,371,398
UAA,6.59,1.85%,5,135,992
UA,6.45,2.06%,1,740,068
U,30.73,4.31%,6,288,275
TYRA,33.01,1.35%,612,240
TXG,43.10,15.03%,2,965,342
TWO,12.07,0.00%,483,463
TWI,7.17,0.42%,369,069
TV,2.71,-0.37%,894,499
TUYA,1.82,-2.67%,420,731
TU,10.41,-0.38%,3,992,611
TTI,9.42,0.96%,942,372
TTEK,30.94,0.49%,2,409,325
TTD,19.75,3.57%,9,007,427
TSSI,11.43,0.53%,371,030
TSLX,16.67,-1.01%,544,530
TSHA,6.57,1.23%,2,206,538
TSCO,30.12,1.83%,8,295,152
TRVI,18.40,-1.02%,1,549,317
TRTX,8.41,0.48%,767,074
TROX,6.11,1.50%,1,677,726
TRON,1.48,0.68%,345,017
TRN,34.83,1.99%,463,827
TRMD,28.06,-3.37%,560,711
TRLV,8.84,-0.56%,1,120,794
TRIP,13.33,0.91%,2,941,562
TRIN,17.44,0.81%,982,809
TREX,46.76,2.03%,1,386,500
TPG,42.63,2.45%,1,715,211
TOWN,35.57,0.40%,1,159,329
TOST,28.85,0.98%,12,146,838
TOI,5.85,3.54%,1,990,259
TNGX,30.52,-0.39%,2,747,064
TNDM,15.37,1.39%,1,393,818
TMQ,3.25,3.50%,1,311,160
TME,8.85,0.34%,4,269,462
TMCI,4.66,8.88%,475,493
TMC,4.15,3.23%,3,619,408
TLS,4.93,4.01%,405,464
TLRY,4.39,0.46%,3,120,324
TLK,14.06,0.00%,541,988
TKC,5.65,-0.35%,1,391,060
TK,10.66,-3.27%,431,917
TILE,33.24,3.42%,595,415
TIGR,4.71,1.51%,1,947,113
TIC,7.51,-5.30%,2,800,739
THM,2.19,4.29%,459,499
TH,18.44,1.15%,655,687
TGB,7.00,8.19%,4,256,284
TFSL,17.58,1.33%,848,834
TFPM,28.51,2.92%,432,128
TEVA,33.10,-0.42%,5,102,130
TEO,13.05,0.62%,266,452
TENX,18.32,3.33%,1,523,624
TENB,41.37,4.65%,3,437,328
TE,7.26,-1.22%,29,836,772
TDUP,6.57,0.38%,1,164,675
TDS,34.71,-0.20%,1,088,843
TDOC,9.21,1.54%,2,993,650
TDC,34.83,-0.97%,3,728,677
TDAY,8.44,-0.35%,1,179,917
TCOM,41.43,0.12%,2,043,523
TBPH,16.98,-0.12%,437,599
TBLA,5.58,2.76%,2,898,927
TBBB,41.65,1.59%,700,851
TASK,5.27,1.74%,379,299
TAP,38.74,-0.13%,2,959,253
TALO,13.73,-3.51%,1,631,388
TALK,5.22,0.00%,2,391,689
TAL,10.32,1.67%,3,435,424
TAK,16.61,-0.84%,2,392,967
TAC,14.52,0.28%,1,171,306
T,21.04,-0.38%,50,791,112
SYM,43.15,3.50%,1,625,698
SXC,8.10,-0.49%,1,060,075
SWMR,44.37,6.94%,304,268
SWIM,5.99,1.87%,346,464
SWBI,15.51,0.91%,493,728
SW,42.99,2.16%,4,109,186
SVV,9.60,1.27%,364,289
SVRA,6.29,-1.41%,1,509,035
SVM,9.59,5.27%,2,153,799
SVCO,11.31,3.10%,483,585
SVC,8.75,2.10%,2,978,942
SUZ,7.99,0.76%,3,172,545
SUPV,9.28,-2.93%,309,221
SUPN,48.75,-3.35%,1,296,246
STWD,16.45,0.00%,3,003,008
STUB,11.52,-9.29%,6,572,998
STTK,7.03,2.18%,643,597
STOK,32.83,0.55%,491,997
STNE,10.96,4.18%,3,590,913
STLA,5.33,-1.30%,25,465,467
STGW,7.75,1.04%,1,303,939
STEP,43.68,2.75%,762,906
STAG,38.92,0.83%,934,062
STAA,27.97,-0.64%,545,130
ST,44.76,1.94%,1,361,741
SSYS,8.69,3.70%,1,009,363
SSTK,8.73,-1.91%,1,288,232
SSRM,29.15,3.37%,2,251,384
SSL,10.35,0.19%,925,691
SRTA,5.13,-0.58%,1,051,035
