ticker,price,change,volume
ZYME,24.43,2.30%,72,700
ZWS,49.95,3.50%,81,874
ZVRA,13.15,1.17%,219,231
ZURA,4.20,-2.32%,197,700
ZTO,21.93,-0.23%,291,380
ZLAB,18.30,-1.03%,285,393
ZIM,25.48,0.20%,168,475
ZGN,13.06,-0.46%,294,737
ZG,31.29,2.38%,480,843
ZETA,19.45,-0.31%,3,358,448
ZD,47.98,3.41%,159,942
ZBIO,20.83,3.08%,45,913
Z,31.25,2.46%,974,432
YUMC,41.10,0.34%,489,713
YSWY,20.53,-5.06%,64,006
YSS,26.22,-8.19%,380,121
YPF,46.06,-4.12%,437,078
YMM,7.79,1.96%,1,195,943
YEXT,4.18,6.27%,228,518
YETI,49.61,3.41%,104,850
YELP,23.35,3.00%,198,395
XXI,5.49,-4.11%,276,003
XRX,3.14,0.16%,655,007
XRAY,10.54,3.32%,1,155,472
XPRO,12.84,-4.20%,342,402
XPOF,7.05,3.37%,266,288
XPEV,12.62,-1.10%,1,183,479
XP,15.66,-0.41%,705,615
XNDU,11.86,-3.03%,739,655
XNCR,14.90,5.82%,132,769
XMAX,8.51,-1.06%,376,865
XIFR,11.56,0.13%,141,964
XHR,20.11,0.42%,116,370
XERS,7.47,3.81%,390,223
XE,19.50,-7.52%,1,485,307
WYFI,41.80,-6.61%,1,625,015
WY,25.53,4.48%,1,253,016
WWW,17.23,2.79%,141,504
WVE,6.09,0.84%,1,105,427
WULF,27.57,-4.20%,6,382,997
WU,7.22,2.77%,1,591,220
WTTR,18.08,-2.51%,258,930
WTRG,37.34,0.13%,407,678
WTI,3.17,-4.92%,1,093,922
WT,17.78,-3.01%,352,375
WSR,18.95,0.05%,88,459
WSE,11.03,-1.08%,240,018
WSC,28.75,3.24%,206,074
WSBC,37.73,1.20%,168,828
WRN,2.06,-6.36%,517,429
WRD,5.66,-1.65%,734,307
WRBY,26.20,2.18%,639,346
WPP,16.64,-1.77%,163,666
WOOF,2.56,1.39%,604,074
WOLF,46.10,-5.74%,1,738,930
WNC,13.36,6.07%,366,344
WMG,27.28,-0.94%,326,319
WLTH,8.06,-1.77%,264,939
WKC,31.94,0.02%,44,938
WK,48.42,3.07%,133,362
WIX,41.65,3.02%,255,946
WIT,2.30,0.22%,2,139,422
WHR,37.95,4.87%,465,671
WHK,27.50,-0.55%,14,047
WGO,29.84,5.52%,140,359
WEST,9.54,5.07%,143,619
WES,42.97,-1.24%,139,107
WERN,41.42,0.96%,127,051
WEN,8.22,31.42%,111,264,059
WEAV,5.47,0.64%,137,397
WDS,19.08,-3.47%,243,712
WBI,28.35,-0.83%,368,181
WBD,27.25,1.40%,8,837,854
WB,7.35,0.37%,234,107
WAY,18.82,2.23%,423,091
WAFD,37.50,0.64%,72,545
