ticker,price,change,volume
ZYME,24.12,3.70%,275,344
ZWS,48.88,-1.54%,171,151
ZVRA,12.88,1.82%,334,176
ZURA,4.31,1.93%,501,625
ZTO,21.99,-1.10%,466,213
ZLAB,18.70,1.19%,950,677
ZIM,25.58,1.23%,459,146
ZGN,13.32,-1.48%,344,513
ZG,30.66,0.64%,546,213
ZETA,19.92,7.88%,10,080,064
ZD,45.60,0.63%,162,375
ZBIO,20.57,-1.08%,150,781
Z,30.51,0.66%,1,006,161
YUMC,41.04,-1.18%,642,144
YSWY,21.28,2.48%,140,626
YSS,28.20,-2.62%,425,865
YPF,48.04,-2.89%,463,790
YMM,7.59,-3.74%,1,359,576
YEXT,3.98,1.14%,317,575
YETI,48.37,0.89%,390,054
YELP,22.61,0.62%,222,425
XXI,5.78,0.61%,633,919
XRX,3.22,5.23%,5,308,863
XRAY,10.20,0.45%,1,348,466
XPRO,13.77,-0.75%,171,424
XPOF,6.81,3.02%,169,108
XPEV,12.96,-2.92%,4,289,681
XP,15.77,-1.38%,1,619,841
XNDU,12.41,-1.06%,1,890,306
XNCR,14.39,2.71%,307,867
XMAX,8.41,2.87%,269,190
XIFR,11.56,-1.15%,161,087
XHR,20.19,0.46%,165,802
XERS,7.21,4.51%,925,820
XE,21.34,5.88%,1,972,970
WYFI,40.48,-9.58%,2,530,684
WY,24.27,0.09%,1,196,174
WWW,16.73,-3.41%,428,357
WVE,6.14,-0.57%,855,707
WULF,29.08,2.70%,12,422,562
WU,7.01,-1.20%,3,614,362
WTTR,18.51,0.19%,352,314
WTRG,37.18,1.37%,572,899
WTI,3.36,1.56%,1,399,478
WT,18.70,0.20%,789,734
WSR,18.93,-0.08%,96,827
WSE,10.90,0.55%,447,794
WSC,28.52,-1.77%,515,861
WSBC,37.09,1.07%,344,515
WRN,2.22,-4.51%,545,010
WRD,5.82,-3.56%,1,506,167
WRBY,26.45,-2.00%,794,901
WPP,17.23,-4.44%,1,212,720
WOOF,2.50,0.40%,743,888
WNC,12.42,2.98%,252,147
WMG,27.70,0.85%,404,094
WLTH,8.21,-0.15%,843,644
WKC,31.69,0.03%,104,370
WK,46.65,1.46%,418,001
WIX,41.26,-1.44%,599,081
WIT,2.31,2.90%,5,677,664
WHR,37.36,2.17%,829,058
WHK,27.58,0.16%,41,531
WGO,28.46,0.49%,147,751
WEST,9.24,2.10%,137,684
WES,43.34,0.84%,262,318
WERN,40.92,0.15%,193,812
WEN,6.22,0.89%,3,226,682
WEAV,5.34,3.39%,402,404
WDS,19.86,-2.00%,287,342
WBI,28.81,-3.90%,1,297,057
WBD,26.78,-0.63%,6,237,184
WB,7.31,-0.66%,227,777
WAY,18.32,5.83%,1,137,712
WAFD,37.17,1.01%,111,747
VZLA,3.43,-2.66%,2,359,760
VZ,46.61,2.75%,6,728,590
VYX,7.03,0.07%,497,814
VVV,38.12,1.55%,274,476
VVR,2.98,0.17%,145,877
VTS,16.06,0.44%,77,995
VTRS,15.74,2.34%,2,128,061
VTEX,3.57,-0.28%,1,513,215
VSTS,13.05,-0.46%,271,247
VSTM,4.29,0.86%,801,369
VSNT,37.65,-2.28%,530,598
VRRM,4.42,-1.12%,1,701,467
VRNS,37.34,14.16%,4,662,420
VRDN,17.55,-0.47%,625,135
VOYG,34.08,-1.42%,595,173
VOR,15.18,1.62%,403,452
VOD,14.05,-0.50%,2,087,527
VNT,30.66,0.64%,507,885
VNOM,43.83,0.61%,566,793
VNO,37.65,0.19%,206,148
VNET,8.42,-1.57%,1,550,786
VNDA,6.02,0.32%,253,441
VLY,14.31,0.53%,1,641,974
VLRS,9.20,1.32%,191,806
VKTX,35.80,10.60%,3,071,240
VIV,13.23,1.81%,388,576
VITL,10.78,6.94%,816,752
VISN,12.54,-2.63%,1,804,687
VIR,10.07,5.22%,818,613
VIPS,13.12,-0.87%,585,802
VICI,26.58,1.86%,3,862,057
VIA,14.99,0.33%,223,042
VGZ,2.14,-6.74%,1,260,769
VGNT,43.33,-4.62%,450,790
VG,11.15,-0.98%,2,509,626
VFS,3.11,1.05%,145,736
VFC,16.77,-1.53%,1,751,517
VET,9.80,-0.76%,451,748
VERX,10.69,1.04%,274,355
VERA,37.90,-1.37%,528,920
VELO,21.64,-10.98%,2,396,968
VCEL,40.51,0.09%,146,843
VALE,15.31,-2.55%,12,874,437
UWMC,2.04,-0.49%,5,670,065
