ticker,price,change,volume
ZYME,24.88,2.39%,49,857
ZVRA,13.37,2.20%,211,543
ZURA,4.42,3.76%,129,545
ZTO,21.59,-1.68%,309,647
ZLAB,18.57,1.09%,96,449
ZIP,3.68,11.33%,243,114
ZIM,25.35,-0.90%,109,660
ZGN,13.07,-0.34%,114,445
ZG,30.37,-0.43%,184,613
ZETA,18.27,-3.03%,1,803,749
ZD,48.37,0.39%,36,463
ZBIO,23.08,5.89%,59,111
Z,30.35,-0.62%,393,069
YUMC,40.58,-1.14%,152,041
YSWY,20.14,-2.78%,21,044
YSS,24.35,-0.75%,206,313
YPF,45.28,-0.75%,159,149
YMM,7.68,-1.60%,613,821
YEXT,4.14,-0.36%,110,193
YELP,23.32,-0.17%,42,704
XXI,5.40,0.19%,256,271
XRX,3.20,1.91%,442,645
XRAY,10.92,3.76%,484,307
XPRO,13.41,2.47%,74,413
XPOF,6.97,-0.92%,52,720
XPEV,12.23,-1.96%,1,533,703
XP,15.97,2.64%,442,959
XNDU,11.63,-1.44%,353,941
XNCR,14.81,2.49%,75,305
XMAX,8.28,-0.66%,44,979
XIFR,11.93,2.14%,94,576
XHR,20.46,1.19%,49,585
XERS,7.57,2.24%,515,435
XE,18.36,-3.85%,748,218
WYFI,36.52,-5.66%,882,697
WY,25.74,1.73%,491,397
WWW,17.60,0.32%,27,248
WVE,5.95,0.08%,383,869
WULF,26.00,-3.60%,3,615,981
WU,7.29,0.66%,668,590
WTTR,18.81,2.31%,117,620
WTRG,38.28,1.32%,194,025
WTI,3.15,0.53%,476,728
WT,18.15,1.79%,163,443
WSR,18.95,-0.03%,25,020
WSE,11.03,0.87%,130,433
WSC,29.55,2.43%,182,613
WSBC,38.62,2.00%,159,484
WRN,2.12,1.20%,357,725
WRD,5.40,-3.57%,1,160,251
WRBY,27.81,3.56%,378,597
WPP,16.96,2.35%,75,913
WOOF,2.65,2.51%,356,173
WOLF,44.10,-3.86%,1,130,250
WNC,13.83,5.57%,155,866
WMG,26.84,-0.33%,165,880
WLTH,7.86,-2.60%,360,559
WKC,32.11,1.61%,44,017
WK,47.26,-1.18%,55,994
WIX,42.23,-0.87%,109,769
WIT,2.16,-1.37%,687,311
WHR,38.21,0.92%,181,185
WGO,31.02,13.75%,518,956
WEST,9.83,1.55%,230,303
WES,42.52,0.97%,86,478
WERN,42.21,2.98%,147,674
WEN,7.57,-3.69%,44,277,651
WEAV,5.43,0.01%,53,269
WDS,18.95,-0.58%,64,131
WBI,28.81,1.77%,144,031
WBD,27.20,0.00%,1,942,231
WB,7.25,-0.55%,349,730
WAY,19.08,0.41%,117,454
WAFD,38.13,1.05%,50,658
VZLA,3.12,0.16%,612,307
VZ,46.08,0.86%,2,389,369
VYX,7.72,3.00%,253,902
VVV,40.09,1.21%,132,293
VVR,3.01,0.00%,132,483
VTS,15.51,-1.12%,74,735
VTRS,16.27,2.13%,643,825
VTEX,3.66,-0.41%,259,320
VSTS,13.80,2.30%,56,912
VSTM,3.88,0.78%,349,332
VSNT,37.65,-1.35%,178,492
VRRM,4.30,-2.05%,563,685
VRNS,37.78,1.31%,311,960
VRDN,17.64,1.85%,107,029
VOYG,29.87,-1.61%,435,150
VOR,14.91,3.00%,133,163
VOD,13.83,0.18%,412,724
VNT,31.00,2.50%,74,153
VNOM,43.72,0.92%,113,701
VNO,38.09,0.29%,110,908
VNET,7.68,-5.71%,1,213,665
VNDA,5.97,1.19%,72,086
VLY,14.91,2.09%,530,668
VLRS,9.65,4.55%,80,569
VKTX,39.29,3.75%,873,247
VIV,13.26,0.84%,102,743
VITL,10.65,-4.14%,306,499
VISN,12.63,0.65%,455,171
VIR,10.11,1.61%,99,194
VIPS,13.14,-1.94%,286,382
VICI,26.63,-0.34%,1,978,880
VIAV,49.30,-0.22%,611,014
VIA,15.00,-0.69%,300,852
VGNT,43.08,2.05%,51,808
VG,10.40,-1.09%,1,822,096
VFS,3.09,-1.28%,50,337
VFC,17.40,1.06%,619,374
VET,9.35,-0.78%,147,457
VERX,11.19,0.54%,92,858
VERA,40.32,2.05%,274,779
VELO,17.91,-0.78%,1,877,319
VCEL,43.30,3.86%,86,328
VALE,14.98,0.91%,3,571,519
UWMC,2.13,5.45%,3,673,350
UUUU,14.71,-2.13%,1,429,323
UTZ,7.41,0.82%,119,785
UTI,39.62,0.65%,35,608
USAS,4.67,2.41%,709,936
USAR,20.60,-3.84%,3,424,658
USA,5.74,1.59%,367,947
UROY,2.76,-0.72%,407,769
URGN,35.82,1.13%,42,407
URG,1.34,-1.11%,1,588,723
UPWK,8.18,-0.50%,319,317
UPST,32.79,0.43%,595,813
UPBD,20.00,2.09%,112,734
UPB,6.39,0.62%,34,890
UNIT,11.35,0.22%,80,248
UMH,15.37,0.27%,29,647
UMC,27.78,-0.82%,6,050,716
UMAC,18.82,-3.59%,748,338
ULCC,8.09,8.92%,750,684
UGP,4.90,0.41%,389,574
UGI,35.16,0.90%,47,379
UEC,10.82,-0.73%,1,174,834
UE,23.29,0.25%,75,328
UDR,39.20,2.10%,440,599
UCB,35.11,1.62%,65,462
UBSI,46.36,1.49%,180,476
UAMY,6.57,0.04%,1,279,595
UAA,6.24,2.97%,931,652
UA,6.04,2.72%,378,739
U,26.24,-3.35%,709,000
TYRA,31.39,3.36%,84,525
TXG,35.42,2.37%,332,424
TWO,12.39,0.16%,76,722
TWI,7.75,3.20%,43,150
TV,2.74,0.00%,19,891
TUYA,1.76,-0.84%,169,282
TU,11.12,-0.98%,575,951
TTI,10.21,2.30%,217,367
TTEK,29.04,1.61%,152,116
TTD,17.62,-0.48%,3,573,870
TSSI,11.53,-3.92%,138,488
TSLX,16.50,-0.99%,53,036
TSHA,6.45,-6.99%,3,861,562
TSCO,31.01,3.16%,1,152,183
TRVI,17.81,1.66%,117,023
TRTX,8.60,0.41%,91,170
TRS,44.99,3.19%,17,307
TROX,6.64,-3.07%,398,112
TRON,1.40,-2.09%,150,183
TRN,36.25,2.63%,26,132
TRMD,28.45,-0.87%,291,053
TRLV,8.18,-3.76%,375,174
TRIP,13.01,0.19%,346,041
TRIN,16.97,0.79%,146,365
TREX,49.90,2.10%,121,160
TPG,40.63,4.88%,190,451
TOWN,36.28,0.83%,27,712
TOST,26.59,2.21%,1,657,055
TOI,5.26,0.10%,114,237
TNGX,30.90,6.12%,572,655
TNDM,15.75,4.87%,331,176
TMQ,3.27,-1.88%,357,617
TME,8.12,-0.73%,1,147,653
TMC,4.51,-1.16%,865,136
TLS,4.23,-2.53%,237,410
TLRY,4.52,-1.53%,634,180
TLK,14.27,0.32%,96,239
TKC,5.95,-0.75%,762,621
TK,11.87,-1.60%,36,529
TILE,35.31,3.12%,42,398
TIGR,4.68,0.32%,1,086,453
TIC,8.34,0.97%,93,582
THM,1.88,-0.26%,144,503
TH,20.58,2.87%,95,434
TGB,6.51,2.28%,689,606
TFSL,17.45,2.41%,82,646
TFPM,28.41,1.21%,63,354
TEVA,34.18,-0.10%,384,928
TEO,12.86,0.94%,30,677
TENX,12.98,0.37%,38,029
TENB,28.09,0.61%,144,743
TE,8.31,-2.52%,5,842,187
TDUP,6.59,0.76%,107,814
TDS,37.69,0.38%,31,061
TDOC,7.88,0.90%,511,103
TDC,31.88,0.60%,159,969
TDAY,8.05,0.48%,94,173
TCOM,39.52,-14.64%,4,998,859
TBLA,4.59,-1.18%,181,457
TBBB,42.06,0.07%,10,103
TASK,4.89,0.10%,86,689
TAP,40.90,0.92%,198,317
TALO,13.72,0.04%,70,636
TALK,5.20,0.19%,66,968
TAL,9.02,-1.47%,431,123
TAK,15.71,-0.06%,450,626
TAC,13.92,1.68%,126,036
T,22.61,1.06%,3,769,939
SYM,40.12,1.75%,330,459
SXC,8.20,0.61%,74,035
SWMR,37.38,-2.21%,51,807
SWIM,6.28,3.80%,78,816
SWBI,15.81,-1.89%,120,268
SW,47.49,1.99%,1,129,933
SVV,10.38,1.43%,46,288
SVRA,5.93,1.78%,164,143
SVM,10.58,1.72%,488,459
SVC,1.73,-1.70%,1,448,402
SUZ,8.19,0.99%,180,562
SUPV,9.31,-0.37%,54,174
SUPN,45.01,-0.30%,22,385
STWD,16.85,1.44%,524,098
STVN,18.16,5.35%,26,266
STUB,11.46,1.69%,565,382
STTK,6.11,1.66%,133,532
STOK,31.49,3.62%,67,133
STNE,10.83,0.13%,243,716
STLA,5.92,1.37%,3,381,484
STGW,7.14,0.93%,79,371
STEP,41.43,0.62%,75,563
STAG,39.18,0.18%,142,812
STAA,29.70,2.71%,36,628
ST,49.49,2.68%,97,380
SSYS,8.43,1.02%,69,622
SSRM,29.06,2.51%,439,777
SSL,10.11,-3.71%,121,732
SRTA,5.49,-0.36%,97,886
SRPT,16.62,-0.44%,238,027
SRAD,14.54,-1.62%,140,156
SPT,6.68,-0.22%,90,592
SPRY,7.55,-28.41%,1,440,465
SPNT,23.55,0.47%,24,714
SPIR,16.38,-4.38%,149,828
