ticker,price,change,volume
ZYME,24.36,2.03%,107,581
ZVRA,13.15,1.12%,304,823
ZURA,4.22,-1.86%,323,786
ZTO,21.99,0.06%,502,054
ZLAB,18.43,-0.31%,415,246
ZIM,25.58,0.59%,280,984
ZGN,13.18,0.43%,452,372
ZG,31.17,2.01%,822,852
ZETA,19.11,-2.02%,4,595,211
ZD,48.27,4.03%,288,883
ZBIO,21.59,6.87%,176,000
Z,31.26,2.49%,1,681,066
YUMC,41.23,0.66%,716,518
YSWY,20.40,-5.64%,95,798
YSS,26.36,-7.70%,584,645
YPF,45.59,-5.10%,880,741
YMM,7.87,3.01%,2,296,971
YEXT,4.22,7.25%,402,748
YETI,49.83,3.87%,265,922
YELP,23.51,3.72%,286,319
XXI,5.46,-4.57%,473,438
XRX,3.14,0.16%,1,021,825
XRAY,10.50,2.92%,1,514,901
XPRO,12.97,-3.25%,586,884
XPOF,6.96,2.05%,318,626
XPEV,12.60,-1.29%,2,041,264
XP,15.68,-0.25%,1,335,623
XNDU,11.89,-2.78%,1,012,381
XNCR,14.62,3.84%,254,085
XMAX,8.45,-1.76%,515,139
XIFR,11.66,1.08%,206,400
XHR,19.95,-0.40%,260,601
XERS,7.47,3.75%,572,935
XE,19.38,-8.13%,1,885,707
WYFI,42.66,-4.69%,1,960,278
WY,25.43,4.07%,2,223,901
WWW,17.29,3.18%,213,126
WVE,6.07,0.48%,1,421,570
WULF,27.94,-2.90%,9,860,474
WU,7.20,2.35%,2,872,847
WTTR,18.30,-1.35%,418,627
WTRG,37.58,0.79%,711,402
WTI,3.10,-6.91%,1,731,198
WT,17.98,-1.92%,757,836
WSR,18.94,0.03%,139,440
WSE,11.06,-0.76%,525,662
WSC,28.64,2.84%,352,593
WSBC,37.95,1.80%,364,961
WRN,2.08,-5.68%,1,204,650
WRD,5.70,-0.78%,1,166,604
WRBY,26.78,4.44%,1,117,577
WPP,16.50,-2.62%,640,015
WOOF,2.58,2.38%,836,682
WOLF,46.22,-5.49%,2,304,767
WNC,13.45,6.75%,484,104
WMG,27.26,-1.01%,517,063
WLTH,8.16,-0.60%,452,697
WKC,31.72,-0.68%,142,750
WK,48.59,3.44%,219,221
WIX,42.39,4.85%,435,334
WIT,2.31,0.66%,3,474,733
WHR,38.01,5.02%,697,369
WHK,27.12,-1.91%,103,029
WGO,29.83,5.47%,302,948
WEST,9.70,6.88%,246,819
WES,42.61,-2.07%,357,205
WERN,41.41,0.92%,243,294
WEN,7.78,24.34%,139,781,407
WEAV,5.49,1.01%,273,016
WDS,19.05,-3.58%,440,216
WBI,28.77,0.63%,673,081
WBD,27.22,1.25%,13,263,912
WB,7.34,0.20%,325,235
WAY,18.95,2.93%,828,694
WAFD,37.64,1.03%,131,368
VZLA,3.15,-5.82%,2,777,129
VZ,45.62,-2.39%,9,093,600
VYX,7.42,6.00%,583,906
VVV,39.32,2.61%,499,995
VVR,2.99,0.34%,169,203
VTS,15.59,-3.41%,193,248
VTRS,15.98,1.43%,2,321,633
VTEX,3.64,4.00%,1,132,674
VSTS,13.54,2.58%,422,946
VSTM,4.18,-0.83%,1,049,141
VSNT,38.32,1.15%,386,879
VRRM,4.41,0.34%,1,130,092
VRNS,36.88,5.27%,1,446,643
VRDN,17.51,1.33%,408,194
VOYG,31.43,-6.46%,1,045,076
VOR,14.77,-0.57%,210,746
VOD,13.86,-1.32%,1,211,032
VNT,30.46,1.30%,242,064
VNOM,43.29,-0.90%,491,247
VNO,37.49,-0.43%,386,941
VNET,8.28,-0.90%,815,438
VNDA,5.97,0.39%,244,100
VLY,14.56,1.22%,1,674,651
VLRS,9.31,1.20%,214,724
VKTX,37.08,6.52%,2,140,719
VIV,13.15,-0.53%,371,420
VITL,11.09,3.84%,793,122
VISN,12.57,0.57%,1,243,902
VIR,10.04,-1.18%,1,061,543
VIPS,13.39,1.68%,839,337
VICI,26.93,1.18%,13,335,832
VIAV,49.37,-1.19%,1,807,650
VIA,15.15,0.76%,179,416
VGNT,42.04,-1.55%,580,092
VG,10.69,-4.68%,3,549,582
VFS,3.12,-1.42%,234,899
VFC,17.34,2.54%,2,768,342
VET,9.43,-4.16%,830,489
VERX,11.17,2.33%,358,021
VERA,39.76,4.08%,776,281
VELO,18.73,-9.34%,1,676,082
VCEL,41.77,3.41%,233,339
VALE,14.88,-2.84%,11,411,642
UWMC,2.13,4.93%,12,477,398
UUUU,15.14,-2.17%,5,662,693
UTZ,7.35,4.21%,583,306
UTI,39.77,0.05%,177,827
USAS,4.61,-6.02%,2,245,804
USAR,21.99,-3.93%,6,717,329
USA,5.70,0.83%,556,184
UROY,2.82,-3.26%,694,078
URGN,35.29,0.41%,146,602
URG,1.39,-1.42%,3,595,301
UPWK,8.43,2.66%,673,142
UPST,33.30,5.85%,2,363,266
UPBD,18.97,1.50%,463,913
UPB,6.41,1.34%,168,390
UNIT,11.41,-0.88%,395,755
UMH,15.43,1.83%,150,164
UMC,28.62,9.24%,13,416,286
UMAC,20.33,-5.49%,1,728,686
ULCC,7.49,3.36%,1,622,976
UGP,4.86,-1.52%,817,764
UGI,34.69,-0.09%,540,934
UEC,11.12,-1.95%,3,012,365
UE,23.27,1.53%,577,855
UDR,38.50,0.58%,949,235
UCB,34.55,1.49%,289,252
UBSI,45.59,0.66%,364,699
UBS,49.49,-1.60%,941,087
UAMY,6.78,-3.28%,3,444,521
UAA,6.08,5.13%,3,187,701
UA,5.91,5.44%,968,481
U,27.60,-0.04%,1,947,882
TYRA,30.70,2.13%,123,042
TXG,34.31,7.66%,716,939
TWO,12.37,0.44%,157,650
TWI,7.49,2.84%,93,027
TV,2.73,0.92%,267,694
TUYA,1.78,-3.26%,421,327
TU,11.32,-1.51%,2,335,721
TTI,10.10,-0.29%,393,143
TTEK,28.51,1.66%,1,711,297
TTD,18.00,0.36%,4,364,756
TSSI,12.34,-2.99%,256,678
TSLX,16.71,1.33%,249,243
TSHA,6.95,1.34%,463,300
TSCO,29.96,0.94%,3,055,847
TRVI,17.52,0.81%,500,839
TRTX,8.66,0.17%,124,077
TRS,43.91,1.88%,67,910
TROX,6.62,-0.88%,1,109,176
TRON,1.43,-5.70%,288,200
TRN,35.59,1.49%,112,122
TRMD,29.53,1.36%,761,224
TRLV,8.29,-2.81%,1,574,535
TRIP,12.88,3.98%,1,491,404
TRIN,16.87,-0.12%,319,652
TREX,49.35,8.84%,658,965
TPG,39.12,-1.17%,1,661,908
