ticker,price,change,volume
ZYME,24.92,2.55%,38,502
ZVRA,13.33,1.95%,198,957
ZURA,4.36,2.43%,127,982
ZTO,21.57,-1.78%,298,087
ZLAB,18.52,0.82%,91,278
ZIP,3.71,12.08%,229,793
ZIM,25.32,-1.02%,106,481
ZGN,13.05,-0.46%,108,507
ZG,30.42,-0.28%,176,034
ZETA,18.14,-3.72%,1,741,998
ZD,48.33,0.30%,35,286
ZBIO,22.64,3.84%,45,237
Z,30.39,-0.50%,372,494
YUMC,40.60,-1.10%,143,013
YSWY,20.14,-2.75%,20,261
YSS,24.05,-2.00%,194,072
YPF,45.28,-0.75%,155,536
YMM,7.68,-1.73%,575,271
YEXT,4.13,-0.83%,106,604
YELP,23.41,0.21%,38,886
XXI,5.36,-0.65%,240,644
XRX,3.18,1.43%,432,314
XRAY,10.87,3.32%,376,990
XPRO,13.37,2.12%,66,018
XPOF,6.97,-0.78%,47,643
XPEV,12.19,-2.28%,1,485,701
XP,15.97,2.60%,414,250
XNDU,11.50,-2.55%,328,129
XNCR,14.84,2.70%,63,395
XMAX,8.31,-0.30%,40,738
XIFR,11.97,2.44%,89,382
XHR,20.51,1.43%,44,922
XERS,7.56,2.18%,506,849
XE,18.22,-4.61%,719,244
WYFI,35.47,-8.38%,860,578
WY,25.81,2.00%,449,415
WWW,17.61,0.40%,25,680
WVE,5.95,0.00%,333,491
WULF,25.81,-4.30%,3,406,433
WU,7.29,0.70%,642,143
WTTR,18.76,2.01%,110,706
WTRG,38.48,1.85%,156,582
WTI,3.14,0.32%,470,208
WT,18.02,1.07%,158,299
WSR,18.95,-0.03%,24,170
WSE,11.02,0.78%,123,028
WSC,29.49,2.22%,172,662
WSBC,38.57,1.88%,136,145
WRN,2.11,0.96%,342,632
WRD,5.35,-4.46%,1,118,148
WRBY,27.64,2.94%,364,071
WPP,16.98,2.47%,73,245
WOOF,2.66,2.82%,339,685
WOLF,43.44,-5.30%,1,087,235
WNC,13.89,6.00%,116,880
WMG,26.80,-0.48%,158,018
WLTH,7.84,-2.79%,314,866
WKC,31.95,1.12%,29,202
WK,47.35,-1.01%,50,320
WIX,42.46,-0.33%,104,276
WIT,2.15,-1.83%,639,970
WHR,38.21,0.91%,174,774
WGO,30.65,12.39%,500,871
WEST,9.85,1.76%,217,795
WES,42.43,0.76%,73,017
WERN,42.14,2.81%,134,198
WEN,7.49,-4.71%,40,758,989
WEAV,5.42,-0.20%,46,185
WDS,18.92,-0.73%,58,075
WBI,28.80,1.73%,119,032
WBD,27.25,0.18%,1,829,702
WB,7.26,-0.48%,336,539
WAY,19.01,0.06%,109,295
WAFD,38.11,0.98%,42,336
VZLA,3.11,-0.16%,591,627
VZ,46.03,0.76%,2,264,048
VYX,7.72,2.87%,213,605
VVV,40.09,1.22%,107,006
VVR,3.01,0.00%,132,210
VTS,15.47,-1.37%,70,776
VTRS,16.30,2.32%,605,472
VTEX,3.64,-0.95%,243,248
VSTS,13.85,2.63%,54,499
VSTM,3.88,0.65%,332,300
VSNT,37.77,-1.01%,166,111
VRRM,4.33,-1.48%,532,204
VRNS,37.60,0.84%,293,469
VRDN,17.71,2.25%,102,967
VOYG,29.58,-2.57%,423,858
VOR,14.99,3.52%,115,091
VOD,13.84,0.23%,386,499
VNT,30.96,2.35%,68,283
VNOM,43.70,0.88%,105,174
VNO,38.19,0.57%,106,965
VNET,7.64,-6.26%,1,153,735
VNDA,5.99,1.44%,61,535
VLY,14.84,1.55%,486,365
VLRS,9.61,4.17%,71,776
VKTX,39.07,3.17%,795,586
VIV,13.27,0.95%,95,900
VITL,10.69,-3.83%,294,596
VISN,12.63,0.64%,424,835
VIR,10.09,1.36%,91,002
VIPS,13.15,-1.90%,270,940
VICI,26.62,-0.38%,1,946,647
VIAV,48.49,-1.86%,585,227
VIA,15.07,-0.20%,298,877
VGNT,43.29,2.53%,45,557
VG,10.45,-0.57%,1,706,828
VFS,3.08,-1.56%,43,315
VFC,17.43,1.22%,571,832
VET,9.36,-0.62%,131,647
VERX,11.19,0.58%,82,766
VERA,40.22,1.80%,254,397
VELO,17.56,-2.71%,1,827,052
VCEL,43.23,3.69%,78,146
VALE,14.98,0.93%,3,439,636
UWMC,2.12,4.95%,3,597,477
UUUU,14.59,-2.96%,1,365,761
UTZ,7.42,0.95%,110,872
UTI,39.30,-0.19%,31,993
USAS,4.62,1.43%,673,793
USAR,20.39,-4.81%,3,232,216
USA,5.74,1.57%,364,093
UROY,2.74,-1.44%,404,862
URGN,35.95,1.49%,34,032
URG,1.33,-1.48%,1,535,303
UPWK,8.11,-1.29%,305,875
UPST,32.59,-0.18%,555,051
UPBD,20.01,2.17%,107,322
UPB,6.39,0.71%,31,107
UNIT,11.34,0.18%,74,304
UMH,15.39,0.36%,26,593
UMC,27.68,-1.18%,5,684,427
UMAC,18.67,-4.34%,702,486
ULCC,8.06,8.41%,690,365
UGP,4.91,0.72%,331,750
UGI,35.17,0.91%,43,066
UEC,10.75,-1.38%,1,138,668
UE,23.30,0.32%,69,725
UDR,39.25,2.24%,366,032
UCB,35.13,1.69%,52,985
UBSI,46.38,1.52%,161,511
UAMY,6.53,-0.61%,1,186,777
UAA,6.24,2.97%,854,599
UA,6.04,2.72%,345,397
U,26.00,-4.24%,658,927
TYRA,31.29,3.03%,79,437
TXG,35.89,3.74%,317,054
TWO,12.39,0.16%,70,288
TWI,7.75,3.20%,37,798
TV,2.74,0.18%,17,872
TUYA,1.76,-1.12%,166,256
TU,11.15,-0.71%,529,262
TTI,10.15,1.70%,209,565
TTEK,29.00,1.45%,140,200
TTD,17.53,-0.96%,3,341,151
TSSI,11.43,-4.79%,132,121
TSLX,16.49,-1.11%,49,826
TSHA,6.42,-7.53%,3,743,753
TSCO,31.00,3.11%,1,023,628
TRVI,17.74,1.26%,81,927
TRTX,8.62,0.58%,69,415
TRS,44.56,2.20%,15,958
TROX,6.57,-4.16%,370,877
TRON,1.41,-1.06%,139,625
TRN,36.19,2.48%,24,124
TRMD,28.55,-0.52%,271,843
TRLV,8.16,-4.04%,336,600
TRIP,12.99,0.12%,331,802
TRIN,16.95,0.65%,138,166
TPG,40.30,4.03%,182,953
TOWN,36.31,0.92%,23,821
TOST,26.57,2.12%,1,580,072
TOI,5.27,0.38%,106,408
TNGX,30.73,5.51%,491,274
TNDM,15.75,4.86%,325,022
TMQ,3.27,-1.72%,334,766
TME,8.11,-0.79%,1,103,494
TMC,4.46,-2.19%,818,936
TLS,4.16,-4.10%,229,432
TLRY,4.49,-2.18%,603,077
TLK,14.30,0.46%,92,062
TKC,5.96,-0.67%,750,260
TK,11.84,-1.82%,33,336
TILE,35.22,2.87%,37,860
TIGR,4.66,0.11%,1,074,143
TIC,8.32,0.73%,89,025
THM,1.88,-0.79%,131,767
TH,20.29,1.38%,86,193
TGB,6.49,1.96%,657,826
TFSL,17.45,2.41%,70,416
TFPM,28.40,1.16%,60,767
TEVA,34.24,0.06%,358,715
TEO,12.71,-0.26%,29,918
TENX,13.02,0.70%,37,309
TENB,27.92,0.00%,131,181
TE,8.13,-4.71%,5,551,530
TDUP,6.56,0.31%,101,347
TDS,37.71,0.42%,28,182
TDOC,7.87,0.77%,497,777
TDC,31.62,-0.22%,144,287
TDAY,8.04,0.37%,87,912
TCOM,39.61,-14.44%,4,870,132
TBLA,4.59,-1.40%,173,747
TBBB,42.06,0.06%,8,682
TASK,4.90,0.41%,79,523
TAP,40.99,1.12%,177,290
TALO,13.69,-0.15%,64,582
TALK,5.20,0.19%,61,537
TAL,8.98,-1.94%,416,557
TAK,15.73,0.06%,440,087
TAC,13.88,1.39%,119,904
T,22.62,1.12%,3,578,392
SYM,39.89,1.17%,309,173
SXC,8.18,0.31%,66,225
SWMR,37.24,-2.58%,47,598
SWIM,6.27,3.64%,59,723
SWBI,15.75,-2.30%,101,543
SW,47.45,1.91%,1,073,056
SVV,10.37,1.36%,37,460
SVRA,5.94,1.89%,159,703
SVM,10.53,1.21%,462,268
SVC,1.73,-1.99%,1,433,995
SUZ,8.19,0.99%,165,443
SUPV,9.31,-0.37%,53,768
SUPN,45.19,0.10%,19,002
STWD,16.88,1.60%,487,326
STVN,18.07,4.81%,25,756
STUB,11.45,1.64%,486,470
STTK,6.14,2.16%,128,024
STOK,31.39,3.29%,62,182
STNE,10.85,0.32%,217,946
STLA,5.94,1.71%,3,234,757
STGW,7.15,1.08%,75,309
STEP,41.28,0.23%,59,561
STAG,39.31,0.51%,133,202
STAA,29.59,2.33%,31,445
ST,49.53,2.76%,93,176
SSYS,8.41,0.84%,65,981
SSRM,29.00,2.31%,405,903
SSL,10.09,-3.95%,116,252
SRTA,5.46,-0.91%,77,942
SRPT,16.64,-0.33%,221,588
SRAD,14.55,-1.59%,132,740
SPT,6.70,-0.05%,84,066
SPRY,7.55,-28.37%,1,258,252
SPNT,23.47,0.13%,20,512
SPIR,16.19,-5.50%,143,498
SOUN,6.20,-2.28%,3,552,013
