ticker,price,change,volume
ZYME,24.71,1.67%,31,357
ZVRA,13.29,1.61%,152,296
ZURA,4.37,2.58%,116,228
ZTO,21.48,-2.21%,243,747
ZLAB,18.36,-0.03%,82,470
ZIM,25.30,-1.08%,104,016
ZGN,12.98,-0.95%,99,717
ZG,30.36,-0.46%,121,320
ZETA,18.12,-3.82%,1,601,841
ZD,47.94,-0.51%,30,681
ZBIO,22.57,3.53%,32,991
Z,30.35,-0.64%,350,156
YUMC,40.46,-1.44%,131,234
YSWY,20.10,-2.95%,19,653
YSS,23.80,-3.02%,175,807
YPF,45.02,-1.32%,148,564
YMM,7.62,-2.37%,505,073
YEXT,4.11,-1.32%,99,903
YELP,23.17,-0.79%,33,879
XXI,5.30,-1.76%,223,217
XRX,3.17,0.96%,421,483
XRAY,10.75,2.19%,327,496
XPRO,13.23,1.07%,33,171
XPOF,6.98,-0.71%,39,715
XPEV,12.11,-3.00%,1,400,878
XP,15.75,1.25%,333,635
XNDU,11.52,-2.42%,279,367
XNCR,14.60,1.04%,58,254
XMAX,8.28,-0.76%,37,465
XIFR,11.95,2.27%,83,869
XHR,20.43,1.04%,37,721
XERS,7.49,1.28%,492,565
XE,18.20,-4.71%,683,509
WYFI,35.91,-7.23%,789,768
WY,25.73,1.68%,363,660
WWW,17.57,0.17%,20,741
WVE,5.93,-0.42%,313,944
WULF,25.72,-4.63%,3,184,922
WU,7.26,0.31%,539,667
WTTR,18.70,1.71%,106,340
WTRG,38.35,1.50%,141,549
WTI,3.14,0.48%,449,616
WT,18.01,1.04%,143,589
WSR,18.95,-0.03%,23,417
WSE,10.93,-0.13%,121,080
WSC,29.28,1.49%,119,933
WSBC,38.24,1.00%,101,543
WRN,2.11,0.96%,245,579
WRD,5.31,-5.13%,1,047,171
WRBY,27.56,2.63%,344,890
WPP,16.91,2.02%,69,194
WOOF,2.64,1.93%,315,231
WOLF,43.72,-4.70%,1,012,166
WNC,13.85,5.72%,96,168
WMG,26.75,-0.65%,151,108
WLTH,7.81,-3.22%,291,492
WKC,31.95,1.11%,24,377
WK,46.97,-1.80%,47,923
WIX,41.87,-1.72%,97,040
WIT,2.14,-2.15%,545,319
WHR,37.97,0.29%,166,635
WGO,30.32,11.18%,459,100
WEST,9.94,2.63%,187,396
WES,42.44,0.78%,72,206
WERN,42.31,3.22%,125,429
WEN,7.49,-4.71%,40,758,989
WEAV,5.36,-1.38%,39,606
WDS,18.88,-0.97%,53,768
WBI,28.76,1.58%,115,833
WBD,27.19,-0.04%,1,541,490
WB,7.22,-0.89%,328,485
WAY,18.87,-0.68%,103,319
WAFD,37.85,0.29%,34,758
VZLA,3.10,-0.48%,514,442
VZ,45.89,0.46%,2,045,433
VYX,7.60,1.33%,194,696
VVV,39.95,0.87%,83,137
VVR,3.01,0.00%,132,004
VTS,15.47,-1.37%,60,774
VTRS,16.17,1.50%,543,681
VTEX,3.63,-1.22%,216,406
VSTS,13.76,2.00%,48,687
VSTM,3.87,0.39%,307,820
VSNT,37.67,-1.29%,152,902
VRRM,4.31,-1.89%,495,066
VRNS,37.30,0.03%,258,489
