symbol
CSBR
BSBR
TRDA
AURA
TESL
GYRE
EVMT
FGNX
FENC
KMLM
AMZO
TEUP
HCM
XPEG
UNCY
UUUG
ARI
LNZA
XNDX
AXTX
AAOG
AXTU
LITZ
EVMN
SGU
NBIZ
CBRX
NVA
RDWU
CBRG
RGTU
SNDG
CBRZ
AEG
IPWR
MNTS
CLYM
FMNB
BEZ
ASTN
AKTX
CRMX
GEMG
SMDD
FLYT
IRE
SMU
QBTX
KZIA
ASTX
