ticker,price,change,volume
ZZYME,24.78,0.49%,49,933
ZZWS,47.46,-0.10%,146,258
ZZVRA,12.80,-1.99%,138,450
ZZURA,5.17,2.17%,175,977
ZZTO,24.55,2.16%,221,765
ZZNTL,4.74,-0.57%,102,368
ZZLAB,20.32,5.28%,380,260
ZZIP,4.20,5.93%,160,998
ZZIM,24.57,0.68%,408,702
ZZGN,13.27,1.96%,158,497
ZZG,33.65,5.80%,261,469
ZZETA,22.83,1.31%,2,775,518
ZZBIO,27.89,-3.09%,129,667
ZZ,33.64,5.60%,821,723
YYUMC,43.93,1.45%,528,103
YYSWY,19.92,-1.08%,17,450
YYSS,20.41,-4.00%,132,279
YYPF,49.73,-0.14%,370,441
YYMM,9.13,5.67%,3,862,961
YYEXT,5.58,2.76%,450,817
YYETI,48.96,3.42%,87,713
YYELP,26.81,4.83%,250,811
XXXI,5.41,1.88%,219,235
XXRX,2.77,1.28%,409,262
XXRAY,13.23,4.21%,1,349,280
XXPRO,15.84,-3.14%,284,714
XXPEV,14.20,6.32%,4,176,798
XXP,17.05,1.04%,850,750
XXNDU,11.12,0.23%,339,869
XXNCR,14.83,-0.83%,60,199
XXMAX,8.60,-0.12%,70,855
XXIFR,12.64,2.40%,230,072
XXHR,20.80,2.56%,80,718
XXFOR,3.97,-1.26%,81,471
XXERS,8.39,1.27%,285,366
XXE,15.64,2.02%,1,224,948
WWYFI,29.97,-3.73%,1,531,931
WWY,24.11,1.32%,971,919
WWWW,18.38,4.00%,97,370
WWVE,6.05,-1.31%,329,493
WWULF,19.22,-0.98%,9,837,229
WWU,8.02,1.73%,1,647,435
WWTTR,19.79,-2.61%,327,241
WWTRG,38.73,0.35%,217,504
WWTI,3.39,-5.57%,1,286,009
WWT,19.93,2.05%,522,624
WWSR,18.99,0.00%,0
WWSE,12.81,2.11%,395,931
WWSC,27.11,1.01%,307,069
WWSBC,39.46,0.93%,155,381
WWRN,2.17,-2.03%,840,034
WWRD,6.24,1.88%,875,689
WWRBY,29.41,6.53%,450,704
WWOOF,2.64,5.18%,594,108
WWOLF,35.98,4.87%,1,528,322
WWNC,12.65,-5.70%,1,979,740
WWMG,28.43,3.06%,304,892
WWLTH,9.35,2.86%,202,672
WWKC,36.77,1.02%,83,028
WWIT,1.84,0.09%,587,279
WWHR,39.79,2.95%,526,316
WWGO,30.59,5.46%,99,801
WWEST,7.00,-2.10%,144,365
WWES,45.54,-0.83%,116,049
WWERN,44.63,-0.38%,148,078
WWEN,7.51,1.28%,1,842,262
WWEAV,7.55,1.68%,304,755
WWDS,20.70,-1.57%,96,415
WWBI,34.69,-3.30%,64,360
WWBD,27.21,-0.98%,4,638,390
WWB,7.82,2.15%,415,013
WWAY,23.06,3.92%,527,658
WWAFD,38.52,1.34%,80,768
VVZLA,3.17,-0.92%,993,087
VVZ,42.85,0.88%,5,977,123
VVYX,8.27,3.83%,278,180
VVVV,39.55,1.71%,161,660
VVVR,2.97,0.34%,281,169
VVTS,15.67,-0.13%,40,975
VVTRS,16.46,0.92%,1,198,260
VVTEX,4.07,0.11%,135,406
VVSTS,15.46,3.76%,239,583
VVSTM,5.48,-1.62%,458,559
VVSNT,35.54,2.14%,269,702
VVSH,40.33,-3.37%,1,558,620
VVRRM,4.43,2.19%,604,912
VVRNS,48.03,-0.34%,485,523
VVRDN,19.30,1.15%,340,478
VVOYG,29.07,-2.38%,761,549
VVOR,18.38,-0.65%,223,780
VVOD,15.16,-2.54%,1,291,899
VVNT,29.72,1.24%,496,598
VVNOM,42.85,-0.35%,191,975
VVNO,40.00,2.21%,323,838
VVNET,8.03,3.61%,767,297
VVNDA,5.85,-0.06%,135,109
VVLY,14.77,1.29%,903,351
VVLRS,7.90,1.28%,62,814
VVKTX,38.08,0.28%,349,201
VVIV,13.99,-0.25%,239,332
VVITL,13.69,4.42%,426,544
VVISN,12.13,0.35%,1,127,966
VVIR,9.54,0.58%,262,982
VVIPS,14.39,3.83%,595,513
VVICI,26.51,0.89%,1,303,188
VVIAV,39.94,-4.56%,1,174,229
VVIA,19.18,2.71%,93,929
VVGNT,41.13,3.76%,207,927
VVG,12.81,-3.15%,3,279,083
VVFS,3.08,-1.28%,260,394
VVFC,17.47,4.80%,1,339,098
VVET,9.62,-1.99%,202,000
VVERX,12.87,3.13%,191,123
VVERA,42.26,-2.02%,261,632
VVELO,11.76,-8.05%,694,047
VVCEL,46.97,1.92%,111,337
VVALE,14.59,0.00%,5,488,951
UUWMC,2.10,3.96%,4,274,870
UUUUU,12.84,-2.99%,1,679,642
UUTZ,7.62,1.89%,393,737
UUTI,44.21,-5.23%,374,893
UUSAS,4.03,-4.11%,998,724
UUSAR,17.50,-3.82%,2,922,123
UUSA,5.98,0.50%,468,261
UUROY,2.81,2.75%,831,642
UURGN,39.40,0.53%,85,850
UURG,1.32,-1.83%,1,659,043
UUPWK,9.40,4.12%,664,222
UUPST,32.28,1.77%,826,431
UUPBD,22.18,5.20%,165,553
UUPB,7.11,-0.44%,38,314
UUNIT,11.05,0.32%,221,806
UUNFI,49.71,0.35%,74,382
UUMH,15.50,0.84%,75,117
UUMC,24.80,4.01%,5,523,361
UUMAC,19.11,2.30%,1,844,778
UULCC,6.61,3.28%,1,102,314
UUGP,6.03,1.43%,1,469,374
UUGI,36.54,0.66%,146,453
UUEC,10.20,-1.78%,1,188,967
UUE,22.91,-0.04%,88,751
UUDR,39.81,-0.41%,324,660
UUCB,36.19,1.63%,97,745
UUBSI,46.79,1.30%,161,890
UUAMY,6.11,-5.19%,1,646,602
UUAA,7.05,6.66%,3,480,652
UUA,6.89,6.46%,801,944
UU,32.16,1.29%,1,135,958
TTYRA,31.92,-2.92%,83,374
TTXG,45.22,-1.24%,671,337
TTWO,12.12,0.12%,1,419,178
TTWI,7.69,1.85%,119,300
TTV,2.75,1.85%,89,862
TTUYA,1.82,1.14%,162,639
TTU,10.63,1.79%,1,345,769
TTTI,9.35,-1.32%,213,060
TTTEK,31.80,2.21%,438,389
TTTD,19.55,3.24%,3,937,543
TTSSI,10.99,1.48%,149,045
TTSLX,17.40,1.45%,129,448
TTSHA,5.88,3.16%,421,192
TTSCO,31.18,2.08%,2,172,771
TTRVI,17.25,-3.69%,243,172
TTRTX,8.65,1.58%,97,218
TTROX,6.14,-0.87%,350,725
TTRON,1.49,1.02%,167,547
TTRN,36.01,-0.60%,82,206
TTRMD,29.11,-1.06%,114,904
TTRLV,8.88,-2.04%,225,071
TTRIP,14.49,3.50%,459,700
TTRIN,17.55,-0.57%,352,298
TTREX,44.26,0.20%,794,693
TTPG,45.55,5.56%,584,613
TTOWN,36.28,1.44%,146,133
TTOST,31.18,3.93%,3,419,181
TTOI,5.79,-7.78%,773,744
TTNGX,29.97,1.09%,594,165
TTNDM,15.82,1.83%,246,247
TTMQ,3.16,-1.56%,283,865
TTME,9.02,2.79%,2,733,102
TTMC,4.09,-2.15%,1,304,241
TTLS,4.92,0.20%,135,860
TTLRY,4.49,2.51%,1,472,627
TTLK,14.19,0.50%,110,495
TTKC,5.91,0.16%,134,287
TTK,10.82,-1.13%,61,834
TTILE,33.63,2.10%,34,684
TTIGR,4.77,3.15%,549,995
TTIC,7.44,4.79%,188,207
TTHM,2.18,-2.02%,113,042
TTH,17.26,-0.34%,100,723
TTGB,7.66,-3.95%,1,265,981
TTFSL,17.88,1.08%,87,668
TTFPM,27.42,-1.65%,88,554
TTEVA,31.80,-0.08%,755,285
TTEO,13.93,0.55%,33,892
TTENX,15.62,0.40%,154,042
TTENB,41.30,-3.17%,618,860
TTE,6.64,-3.00%,8,698,871
TTDUP,6.67,5.21%,166,619
TTDS,34.73,1.37%,324,952
TTDOC,9.56,3.18%,857,974
TTDC,31.83,1.30%,502,920
TTDAY,8.48,0.71%,107,780
TTCOM,43.23,1.93%,594,572
TTBPH,16.97,0.27%,37,350
TTBLA,5.42,-1.26%,1,180,115
TTBBB,40.61,0.37%,176,650
TTASK,5.92,2.11%,221,673
TTAP,39.81,2.46%,402,171
TTALO,13.81,-2.47%,163,023
TTALK,5.22,0.00%,437,396
TTAL,10.60,2.91%,749,091
TTAK,16.41,0.09%,1,514,758
TTAC,13.74,-1.36%,157,717
TT,21.45,0.81%,12,043,619
SSYM,44.11,1.03%,271,095
SSXC,8.55,-0.29%,148,630
SSWMR,38.17,-8.26%,126,866
SSWIM,6.06,-0.03%,347,184
SSWBI,15.06,-0.86%,120,107
SSW,44.25,3.12%,524,827
SSVV,9.91,2.32%,285,592
SSVRA,5.71,0.35%,236,102
SSVM,9.28,-1.10%,524,128
SSVCO,10.16,-0.54%,100,384
SSVC,8.65,1.23%,408,425
SSUZ,8.27,1.41%,950,708
SSUPV,9.97,3.32%,120,433
SSUPN,46.87,0.46%,110,484
SSTWD,16.81,1.19%,1,203,325
SSTUB,10.68,0.09%,824,249
SSTTK,6.40,1.75%,336,893
SSTOK,29.42,0.98%,113,555
SSTNE,11.31,0.05%,2,376,761
SSTLA,5.93,4.31%,7,241,216
SSTGW,7.80,2.70%,116,790
SSTEP,46.35,6.74%,258,088
SSTAG,39.88,1.37%,286,900
SSTAA,27.97,2.31%,74,346
SST,44.61,-0.13%,163,132
SSSYS,8.41,0.96%,99,812
SSSRM,26.92,-3.20%,897,078
SSSL,10.77,0.00%,364,777
SSRTA,5.43,2.75%,200,138
SSRPT,17.37,-3.29%,957,600
SSRAD,15.45,2.79%,377,469
SSPT,8.87,4.61%,469,905
SSPRY,7.36,-3.23%,684,755
SSPNT,24.34,-1.58%,108,401
