ticker,price,change,volume
ZYME,24.90,2.48%,52,053
ZVRA,13.43,2.68%,226,280
ZURA,4.46,4.69%,143,620
ZTO,21.61,-1.59%,328,203
ZLAB,18.60,1.25%,106,848
ZIP,3.70,11.91%,261,401
ZIM,25.44,-0.55%,126,734
ZGN,12.99,-0.88%,119,355
ZG,30.33,-0.55%,217,510
ZETA,18.29,-2.92%,1,890,217
ZD,48.51,0.67%,41,255
ZBIO,23.03,5.64%,68,054
Z,30.26,-0.91%,488,786
YUMC,40.60,-1.08%,161,436
YSWY,20.09,-2.99%,22,158
YSS,24.67,0.53%,220,173
YPF,45.47,-0.33%,173,661
YMM,7.72,-1.15%,673,319
YEXT,4.14,-0.40%,113,236
YELP,23.36,0.01%,46,176
XXI,5.42,0.56%,280,737
XRX,3.22,2.55%,462,103
XRAY,10.87,3.31%,519,407
XPRO,13.35,2.02%,80,404
XPOF,7.06,0.43%,60,925
XPEV,12.29,-1.52%,1,598,399
XP,16.02,2.99%,491,338
XNDU,11.73,-0.63%,373,061
XNCR,14.76,2.13%,90,803
XMAX,8.38,0.42%,63,509
XIFR,11.94,2.27%,98,983
XHR,20.45,1.13%,52,846
XERS,7.59,2.50%,574,802
XE,18.36,-3.87%,801,168
WYFI,36.69,-5.22%,921,888
WY,25.64,1.32%,568,075
WWW,17.55,0.06%,31,173
WVE,5.95,0.00%,402,043
WULF,26.50,-1.72%,4,120,371
WU,7.28,0.52%,713,211
WTTR,18.76,2.04%,141,515
WTRG,38.10,0.83%,222,605
WTI,3.16,0.83%,509,959
WT,18.18,1.96%,189,612
WSR,18.95,-0.07%,35,083
WSE,11.08,1.28%,135,028
WSC,29.68,2.89%,218,505
WSBC,38.56,1.85%,172,445
WRN,2.13,1.91%,547,276
WRD,5.45,-2.68%,1,244,366
WRBY,28.06,4.50%,414,850
WPP,16.94,2.23%,79,015
WOOF,2.66,2.72%,402,976
WOLF,45.26,-1.32%,1,213,418
WNC,13.73,4.77%,168,964
WMG,26.84,-0.33%,177,110
WLTH,7.94,-1.66%,390,594
WKC,32.17,1.80%,47,982
WK,46.92,-1.90%,64,545
WIX,42.45,-0.35%,120,310
WIT,2.17,-0.91%,750,727
WHR,38.25,1.03%,191,772
WGO,30.91,13.36%,578,448
WEST,9.82,1.45%,244,425
WES,42.60,1.16%,87,786
WERN,42.18,2.90%,162,652
WEN,7.55,-4.01%,47,864,006
WEAV,5.41,-0.28%,62,807
WDS,18.99,-0.37%,69,636
WBI,28.92,2.15%,178,654
WBD,27.23,0.11%,2,087,309
WB,7.27,-0.27%,359,564
WAY,18.91,-0.47%,127,699
WAFD,38.07,0.87%,62,255
VZLA,3.14,0.96%,647,186
VZ,45.94,0.57%,2,649,227
VYX,7.68,2.40%,283,364
VVV,40.14,1.34%,153,325
VVR,3.01,0.00%,135,196
VTS,15.53,-0.96%,77,567
VTRS,16.27,2.16%,731,017
VTEX,3.65,-0.68%,290,412
VSTS,13.79,2.22%,62,642
VSTM,3.85,-0.13%,484,094
VSNT,37.66,-1.32%,195,844
VRRM,4.31,-1.82%,619,868
VRNS,37.71,1.11%,337,364
VRDN,17.57,1.47%,122,937
VOYG,29.81,-1.81%,474,939
VOR,14.95,3.26%,142,381
VOD,13.85,0.29%,449,993
VNT,31.08,2.76%,83,081
VNOM,43.74,0.98%,121,052
VNO,38.03,0.12%,118,518
VNET,7.71,-5.36%,1,306,136
VNDA,5.95,0.85%,81,133
VLY,14.90,2.01%,584,030
VLRS,9.62,4.23%,107,302
VKTX,39.23,3.59%,1,010,652
VIV,13.27,0.89%,110,037
VITL,10.60,-4.60%,330,286
VISN,12.65,0.84%,489,782
VIR,10.11,1.57%,121,596
VIPS,13.18,-1.68%,312,416
VICI,26.50,-0.84%,2,070,807
VIAV,49.99,1.18%,667,296
VIA,15.06,-0.23%,307,130
VGNT,43.14,2.18%,54,587
VG,10.46,-0.47%,2,152,710
VFS,3.09,-1.28%,65,247
VFC,17.42,1.13%,649,619
VET,9.44,0.21%,161,258
VERX,11.15,0.18%,103,703
VERA,40.57,2.68%,283,417
VELO,17.88,-0.94%,1,941,904
VCEL,43.21,3.65%,95,000
VALE,14.97,0.84%,3,850,903
UWMC,2.13,5.45%,3,944,560
UUUU,14.78,-1.63%,1,594,695
UTZ,7.43,1.02%,137,913
UTI,39.63,0.65%,44,213
USAS,4.74,3.84%,778,915
USAR,20.83,-2.75%,3,731,050
USA,5.75,1.70%,378,806
UROY,2.77,-0.54%,419,436
URGN,35.92,1.41%,48,702
URG,1.34,-0.47%,1,676,315
UPWK,8.14,-0.92%,337,925
UPST,32.87,0.67%,658,940
UPBD,20.24,3.32%,126,554
UPB,6.48,2.09%,41,913
UNIT,11.35,0.27%,87,285
UMH,15.23,-0.65%,39,487
UMC,27.76,-0.89%,6,620,055
UMAC,19.10,-2.15%,813,943
ULCC,8.19,10.16%,844,707
UGP,4.90,0.50%,421,501
UGI,35.09,0.69%,53,993
UEC,10.86,-0.37%,1,262,583
UE,23.18,-0.22%,86,910
UDR,38.94,1.45%,497,855
UCB,35.06,1.49%,71,515
UBSI,46.26,1.28%,199,718
UAMY,6.71,2.13%,1,496,717
UAA,6.24,3.03%,1,078,699
UA,6.03,2.63%,409,495
U,26.27,-3.24%,788,499
TYRA,31.33,3.16%,95,167
TXG,35.63,2.98%,351,028
TWO,12.39,0.16%,84,753
TWI,7.77,3.46%,46,272
TV,2.76,0.59%,36,658
TUYA,1.77,-0.28%,213,063
TU,11.12,-0.93%,633,013
