ticker,price,change,volume
ZYME,24.93,2.61%,49,588
ZVRA,13.38,2.28%,202,349
ZURA,4.42,3.76%,129,097
ZTO,21.59,-1.68%,304,843
ZLAB,18.54,0.93%,94,487
ZIP,3.72,12.32%,232,474
ZIM,25.39,-0.76%,108,403
ZGN,13.06,-0.34%,111,996
ZG,30.46,-0.13%,178,622
ZETA,18.18,-3.51%,1,764,014
ZD,48.08,-0.20%,35,316
ZBIO,22.85,4.82%,52,625
Z,30.40,-0.46%,376,433
YUMC,40.67,-0.92%,145,064
YSWY,20.09,-2.99%,20,332
YSS,23.99,-2.24%,198,051
YPF,45.28,-0.75%,156,861
YMM,7.67,-1.78%,586,550
YEXT,4.14,-0.60%,107,766
YELP,23.35,-0.04%,40,869
XXI,5.37,-0.41%,242,286
XRX,3.20,1.91%,434,190
XRAY,10.93,3.90%,443,810
XPRO,13.45,2.75%,66,551
XPOF,6.98,-0.71%,51,654
XPEV,12.20,-2.24%,1,510,284
XP,15.97,2.63%,423,706
XNDU,11.55,-2.12%,337,129
XNCR,14.77,2.24%,71,066
XMAX,8.31,-0.30%,41,960
XIFR,11.96,2.40%,90,114
XHR,20.54,1.58%,45,498
XERS,7.57,2.30%,509,037
XE,18.22,-4.61%,731,919
WYFI,35.60,-8.03%,868,783
WY,25.84,2.13%,461,696
WWW,17.65,0.60%,26,595
WVE,5.96,0.09%,341,218
WULF,25.82,-4.28%,3,457,611
WU,7.29,0.69%,653,686
WTTR,18.76,2.01%,112,174
WTRG,38.43,1.72%,177,764
WTI,3.14,0.48%,470,453
WT,18.09,1.46%,160,274
WSR,18.95,-0.03%,24,483
WSE,11.05,1.01%,123,228
WSC,29.65,2.76%,178,573
WSBC,38.55,1.82%,139,614
WRN,2.12,1.44%,350,151
WRD,5.37,-4.17%,1,137,490
WRBY,27.79,3.50%,372,635
WPP,17.00,2.56%,73,339
WOOF,2.68,3.47%,349,192
WOLF,43.50,-5.17%,1,108,716
WNC,13.96,6.60%,140,925
WMG,26.81,-0.46%,159,918
WLTH,7.87,-2.48%,329,125
WKC,31.98,1.20%,35,903
WK,47.53,-0.63%,50,523
WIX,42.42,-0.42%,105,096
WIT,2.15,-1.83%,649,388
WHR,38.26,1.05%,176,458
WGO,30.68,12.51%,505,877
WEST,9.90,2.32%,221,455
WES,42.48,0.88%,73,518
WERN,42.19,2.93%,136,520
WEN,7.43,-5.47%,42,087,122
WEAV,5.42,-0.18%,47,330
