ticker,price,change,volume
ZZYME,24.10,-0.37%,15,492
ZZWS,49.15,2.98%,19,729
ZZVRA,12.75,-0.16%,4,171
ZZURA,5.63,3.30%,1,785
ZZTO,23.92,0.00%,0
ZZNTL,5.25,2.74%,3,525
ZZLAB,20.51,1.53%,7,916
ZZIP,3.96,0.00%,304
ZZIM,24.37,0.28%,2,769
ZZGN,13.95,0.36%,522
ZZG,33.19,-1.54%,1,865
ZZETA,21.34,-1.57%,188,101
ZZBIO,30.38,2.88%,1,908
ZZ,33.89,-0.04%,1,101
YYUMC,44.22,0.80%,227
YYSWY,20.89,0.00%,0
YYSS,18.50,3.18%,1,711
YYPF,49.67,-0.02%,5,476
YYMM,9.22,0.86%,1,163
YYEXT,5.34,0.00%,1,752
YYELP,27.06,3.20%,213
XXXI,5.41,1.28%,5,455
XXRX,2.77,0.00%,1,803
XXRAY,13.96,-0.64%,1,046
XXPRO,16.48,0.00%,0
XXPEV,13.55,0.11%,110,124
XXP,16.77,0.60%,3,656
XXNDU,9.99,0.00%,19,949
XXNCR,17.80,1.89%,1,213
XXMAX,8.42,-1.05%,315
XXIFR,11.82,-1.66%,162
XXHR,21.21,1.00%,73
XXFOR,3.84,0.52%,5,186
XXERS,8.80,-0.00%,304,966
XXE,14.46,3.14%,76,322
WWYFI,26.46,5.21%,98,390
WWY,24.40,-0.37%,553
WWWW,18.33,-0.22%,1,254
WWVE,5.85,0.52%,15,502
WWULF,18.88,3.96%,875,421
WWU,8.69,-2.14%,88,427
WWTTR,20.55,1.08%,3,266
WWTRG,39.57,-0.30%,337
WWTI,3.47,-0.57%,76,141
WWT,20.20,0.75%,641
WWSR,18.99,0.00%,0
WWSE,12.58,-0.32%,10,454
WWSC,27.76,1.97%,158
WWSBC,41.33,1.30%,701
WWRN,2.15,0.98%,259
WWRD,6.07,1.51%,17,426
WWRBY,26.75,1.29%,1,427
WWOOF,2.68,0.75%,343
WWOLF,30.45,1.87%,76,850
WWNC,13.25,-1.41%,64
WWMG,28.67,1.21%,2,395
WWLTH,9.40,1.51%,244
WWKC,36.72,0.60%,216
WWIT,1.87,0.54%,1,483
WWHR,38.46,0.58%,2,740
WWGO,30.70,0.00%,0
WWEST,7.75,0.91%,2,210
WWES,46.69,1.57%,1,847
WWERN,46.05,0.02%,77
WWEN,7.79,0.39%,97,875
WWEAV,7.22,-0.08%,62
WWDS,21.58,-0.66%,4,791
WWBI,35.33,1.79%,1,047
WWBD,26.87,0.00%,40,579
WWB,7.86,1.42%,3,583
WWAY,22.18,-0.40%,26,388
WWAFD,38.50,1.00%,4,726
VVZLA,3.05,-0.64%,5,886
VVZ,43.17,-0.96%,86,537
VVYX,8.12,-1.10%,11,864
VVVV,39.98,0.03%,537
VVVR,2.97,0.34%,16
VVTS,15.90,-0.06%,11
VVTRS,17.43,0.81%,15,779
VVTEX,4.21,0.24%,147
VVSTS,16.41,-0.52%,495
