ticker,price,change,volume
ZYME,23.16,0.09%,73,939
ZWS,49.71,-0.54%,62,902
ZVRA,12.69,-1.59%,302,800
ZURA,4.05,7.87%,205,909
ZTO,22.21,0.95%,227,541
ZLAB,18.20,0.11%,261,759
ZIM,24.92,2.38%,445,002
ZGN,13.56,-2.24%,111,879
ZG,31.51,-3.00%,158,901
ZETA,18.60,-1.56%,2,250,634
ZD,45.48,-1.19%,66,623
ZBIO,20.74,4.86%,122,497
Z,31.17,-2.93%,800,767
YUMC,42.01,-2.14%,704,042
YSWY,20.93,2.35%,53,311
YSS,28.57,-7.26%,594,796
YPF,49.43,-2.02%,233,652
YMM,7.86,0.78%,1,263,350
YICCU,10.06,-0.20%,13,541
YEXT,3.88,1.97%,254,878
YETI,48.29,-1.39%,65,539
YELP,22.69,-0.81%,104,261
XXI,5.85,5.98%,405,641
XRX,3.05,1.07%,859,355
XRAY,10.27,-0.58%,1,426,961
XPRO,13.66,-1.12%,109,552
XPEV,13.44,1.71%,2,348,766
XP,15.85,3.59%,1,173,128
XNDU,12.76,-4.56%,1,178,149
XNCR,13.63,7.83%,131,840
XMAX,8.19,-0.54%,559,950
XIFR,11.75,-0.58%,180,299
XHR,20.33,1.57%,78,684
XERS,6.95,-0.07%,303,764
XE,20.05,-7.00%,1,116,637
WYFI,43.00,11.72%,1,925,021
WY,24.48,0.64%,872,962
WWW,17.18,-2.36%,71,419
WVE,6.25,1.46%,503,984
WULF,28.80,-0.62%,6,794,005
WU,7.11,-0.07%,1,085,061
WTTR,17.86,0.91%,151,088
WTRG,37.03,0.89%,274,385
WTI,3.26,1.54%,956,157
WT,18.59,1.52%,598,082
WSR,18.92,-0.13%,1,418,831
WSE,10.97,1.20%,474,436
WSC,28.94,0.35%,181,244
WSBC,36.70,1.13%,209,639
WRN,2.28,-4.01%,344,866
WRD,6.19,-2.54%,1,221,928
WRBY,26.09,0.52%,677,317
WPP,18.17,1.11%,131,174
WOOF,2.57,-2.10%,652,591
WNC,11.86,4.40%,145,643
WMG,27.36,-2.86%,164,032
WLTH,8.44,-0.04%,205,293
WKC,31.53,1.33%,144,417
WK,46.48,-1.88%,114,554
WIX,42.58,0.20%,228,702
WIT,2.20,-7.95%,2,098,902
WHR,38.69,-0.43%,425,659
WHK,27.46,0.32%,7,249
WGO,28.02,-2.27%,72,104
WEST,8.80,-2.55%,119,322
WES,42.81,-0.35%,153,398
WERN,40.89,0.49%,68,422
WEN,6.50,-4.41%,3,036,934
WEAV,5.16,-0.81%,182,196
WDS,20.23,0.90%,223,730
WBI,29.28,-11.78%,1,424,075
WBD,26.54,1.30%,3,910,194
WB,7.39,0.89%,543,697
WAY,18.07,-2.17%,173,449
WAFD,36.85,1.01%,45,733
VZLA,3.51,-1.27%,978,251
VZ,45.55,0.39%,3,357,755
VYX,7.18,-4.14%,391,047
VVV,37.73,-0.89%,128,727
VVR,2.98,0.17%,109,150
VTS,16.00,-0.03%,76,055
VTRS,15.16,-1.37%,1,454,619
VTEX,3.63,0.55%,303,573
VSTS,12.93,0.40%,192,770
VSTM,4.20,2.06%,453,449
VSNT,38.25,0.11%,307,909
VRRM,4.28,-3.49%,923,340
VRNS,33.23,-0.45%,141,730
VRDN,17.62,5.98%,547,260
VOYG,33.58,-10.63%,896,741
VOR,14.83,2.35%,159,037
VOD,14.02,-1.99%,1,030,788
VNT,29.83,-0.27%,172,086
VNOM,43.21,0.00%,261,338
VNO,37.53,-0.73%,196,990
VNET,8.48,-3.14%,2,828,456
VNDA,5.91,1.94%,179,774
VLY,14.24,1.10%,710,817
VLRS,9.11,1.56%,77,047
VKTX,32.66,7.50%,1,033,871
VIV,12.91,2.54%,194,242
VITL,9.98,-4.08%,1,190,802
VISN,12.91,1.98%,840,635
VIR,9.44,3.06%,260,986
VIPS,13.12,-1.54%,351,628
VICI,26.36,0.29%,2,042,513
VIAV,49.07,4.02%,1,712,047
VIA,15.54,1.64%,168,155
VGZ,2.29,-4.39%,560,659
VGNT,46.73,1.82%,104,501
VG,10.99,-0.29%,2,830,355
VFS,3.03,-0.28%,105,331
VFC,16.98,-2.05%,835,311
VET,9.79,-0.37%,199,238
VERX,10.68,-3.96%,339,514
VERA,37.75,7.58%,322,945
VELO,25.36,-15.07%,1,582,439
VCEL,39.55,-1.37%,77,429
VALE,15.74,2.07%,4,815,012
UWMC,2.11,-4.87%,5,910,668
UUUU,16.12,-2.68%,3,501,656
UTZ,7.07,0.29%,366,542
UTI,39.99,-0.90%,81,785
USAS,5.33,-0.53%,1,129,604
USAR,23.99,-2.64%,7,480,817
USA,5.74,-1.03%,380,751
UROY,2.92,-0.85%,549,515
URGN,34.42,2.52%,87,401
URG,1.43,-4.67%,5,473,913
UPWK,7.93,-1.49%,520,235
UPST,31.62,-2.50%,887,752
UPBD,18.27,-0.27%,124,328
UPB,6.42,2.73%,103,067
UNIT,11.50,-1.20%,237,458
UMH,15.01,-0.33%,106,614
UMC,27.73,15.14%,11,234,342
UMAC,22.55,-9.73%,1,728,178
ULCC,7.38,2.24%,927,630
UGP,4.88,1.67%,628,886
UGI,33.82,0.02%,116,285
UEC,11.56,-3.77%,2,798,708
UE,22.42,0.68%,158,089
UDR,37.32,-0.64%,467,560
UCB,33.19,1.04%,98,379
UBSI,45.04,1.40%,102,914
UAMY,7.57,-3.63%,1,861,606
UAA,5.90,-2.64%,1,238,508
UA,5.71,-2.65%,319,137
U,26.72,-2.77%,977,954
TYRA,28.70,1.35%,76,663
TXG,34.95,0.55%,1,008,864
TWO,12.26,-0.53%,413,967
TWI,7.59,0.26%,53,258
TV,2.84,-5.02%,150,112
TUYA,1.88,0.27%,226,623
TU,11.45,-0.78%,1,029,562
TTI,10.07,-1.66%,176,121
TTEK,27.01,-1.26%,1,136,224
TTD,17.90,-3.30%,3,420,495
TSSI,13.37,-1.37%,216,874
TSLX,16.39,-1.33%,197,337
TSHA,6.53,1.70%,618,471
TSCO,29.98,-0.88%,1,518,360
TRVI,17.36,0.88%,1,180,896
TRTX,8.57,-0.29%,52,298
TRS,44.37,1.37%,46,603
TROX,7.22,-2.43%,303,943
TRON,1.54,-5.21%,353,520
TRN,34.94,1.35%,27,039
TRMD,30.06,2.21%,183,330
TRMB,49.10,-0.13%,445,680
TRLV,9.50,-5.94%,442,649
TRIP,12.68,-2.20%,764,494
TRIN,16.96,0.78%,517,399
TREX,46.86,-0.57%,95,634
TPG,41.12,-2.22%,218,781
TOWN,35.01,0.85%,41,885
TOST,24.46,-0.81%,1,442,941
TOI,5.11,-2.85%,174,174
TNGX,28.63,2.36%,1,328,388
TNDM,14.86,-2.90%,388,224
TMQ,3.69,-2.64%,674,878
TME,8.35,-4.38%,2,290,394
TMC,5.07,-1.27%,1,055,973
TLS,4.32,-4.31%,118,007
TLRY,4.74,0.32%,806,883
TLK,14.30,-3.93%,298,276
TKC,6.05,-0.90%,120,001
TK,12.39,4.03%,59,486
TILE,32.69,0.40%,41,777
TIGR,4.70,-0.11%,838,227
TIC,8.30,-1.48%,185,008
THM,2.16,-2.26%,142,189
TH,19.83,-1.66%,208,189
TGB,6.88,-3.62%,763,699
TFSL,16.60,1.12%,117,066
TFPM,29.43,-2.05%,73,204
TFC,48.77,0.90%,1,177,067
TEVA,31.87,1.24%,1,602,724
TENX,12.07,0.61%,215,615
TENB,26.80,-0.28%,273,672
TEM,47.97,-5.65%,1,963,780
TE,9.87,5.59%,17,607,255
TDUP,6.06,0.83%,335,924
TDS,39.94,0.87%,165,301
TDOC,7.86,-2.60%,928,932
TDC,29.64,-4.02%,519,648
TDAY,7.72,-2.09%,97,339
TCOM,45.39,0.64%,1,460,137
TBLA,4.51,-3.97%,717,315
TBBB,41.96,-0.33%,58,050
TASK,4.89,-0.31%,251,492
TAP,39.33,-0.18%,345,235
TALO,13.86,0.65%,170,347
TALK,5.19,-0.38%,495,967
TAL,9.28,0.98%,2,229,199
TAK,15.56,-0.42%,363,362
TAC,13.81,0.51%,192,090
T,22.28,1.25%,12,879,744
SYM,39.58,-5.04%,538,198
SXC,8.53,-1.31%,151,810
SWMR,42.19,0.96%,95,151
SWIM,5.71,-1.89%,74,146
SWBI,15.57,-3.14%,435,898
SW,44.85,1.47%,736,965
SVV,10.14,-0.10%,106,745
SVRA,5.54,0.66%,276,984
SVM,11.15,-1.55%,915,158
SVC,1.70,0.30%,1,017,929
SUZ,8.26,-1.55%,390,363
SUPV,10.73,-5.67%,278,847
SUPN,44.23,-0.34%,37,773
STWD,16.80,0.57%,673,657
