ticker,price,change,volume
ZYME,24.92,2.55%,35,410
ZVRA,13.33,1.94%,198,642
ZURA,4.41,3.52%,126,435
ZTO,21.53,-1.96%,279,778
ZLAB,18.50,0.71%,89,626
ZIP,3.72,12.54%,227,339
ZIM,25.35,-0.88%,106,326
ZGN,13.03,-0.61%,107,788
ZG,30.47,-0.11%,173,636
ZETA,18.23,-3.24%,1,721,205
ZD,48.08,-0.21%,34,308
ZBIO,22.66,3.94%,42,229
Z,30.35,-0.63%,363,404
YUMC,40.58,-1.13%,137,533
YSWY,20.17,-2.63%,20,199
YSS,24.00,-2.18%,190,313
YPF,45.27,-0.77%,154,159
YMM,7.68,-1.73%,540,721
YEXT,4.14,-0.36%,105,871
YELP,23.39,0.14%,38,262
XXI,5.36,-0.56%,238,666
XRX,3.21,2.23%,428,779
XRAY,10.89,3.47%,362,836
XPRO,13.40,2.33%,65,478
XPOF,6.97,-0.85%,47,278
XPEV,12.11,-2.94%,1,465,825
XP,15.96,2.57%,404,925
XNDU,11.56,-1.99%,322,579
XNCR,14.82,2.56%,62,599
XMAX,8.36,0.24%,40,214
XIFR,11.97,2.46%,84,997
XHR,20.51,1.43%,44,425
XERS,7.53,1.82%,504,217
XE,18.23,-4.55%,705,451
WYFI,36.16,-6.58%,843,788
WY,25.77,1.88%,406,267
WWW,17.59,0.31%,24,520
WVE,5.95,0.08%,330,952
WULF,25.73,-4.59%,3,370,075
WU,7.30,0.90%,619,397
WTTR,18.76,2.01%,109,714
WTRG,38.41,1.67%,152,343
WTI,3.14,0.41%,467,994
WT,18.07,1.35%,155,919
WSR,18.95,-0.03%,24,066
WSE,11.02,0.73%,122,816
WSC,29.45,2.08%,158,546
WSBC,38.53,1.77%,130,766
WRN,2.13,1.91%,325,793
WRD,5.36,-4.29%,1,113,751
WRBY,27.71,3.21%,357,731
WPP,16.99,2.50%,72,636
WOOF,2.66,2.70%,336,849
WOLF,43.95,-4.19%,1,068,471
WNC,13.90,6.11%,116,590
WMG,26.82,-0.41%,155,885
WLTH,7.85,-2.73%,313,366
WKC,31.93,1.03%,25,897
WK,47.35,-0.99%,49,298
WIX,42.46,-0.33%,103,369
WIT,2.15,-1.73%,627,449
WHR,38.20,0.90%,174,169
WGO,30.56,12.07%,492,079
WEST,9.90,2.22%,203,044
WES,42.43,0.76%,72,967
WERN,42.17,2.88%,132,795
WEN,7.49,-4.71%,40,758,989
WEAV,5.43,-0.09%,44,059
WDS,18.91,-0.81%,57,413
WBI,28.75,1.56%,118,388
WBD,27.22,0.06%,1,736,728
WB,7.25,-0.55%,335,947
WAY,19.00,-0.02%,108,213
WAFD,38.08,0.90%,41,453
VZLA,3.11,0.00%,580,101
VZ,45.94,0.58%,2,194,018
VYX,7.70,2.67%,211,353
VVV,40.09,1.21%,102,827
VVR,3.01,0.00%,132,210
VTS,15.44,-1.55%,67,988
VTRS,16.22,1.81%,594,351
VTEX,3.65,-0.82%,236,354
VSTS,13.85,2.63%,54,315
VSTM,3.89,1.04%,330,459
VSNT,37.80,-0.94%,163,008
VRRM,4.32,-1.59%,529,136
VRNS,37.62,0.88%,288,692
VRDN,17.69,2.17%,101,873
VOYG,29.78,-1.92%,421,295
VOR,14.99,3.52%,114,954
VOD,13.82,0.05%,381,486
VNT,30.99,2.44%,67,798
VNOM,43.72,0.92%,102,620
VNO,38.28,0.79%,104,636
VNET,7.64,-6.20%,1,140,284
VNDA,5.99,1.44%,61,202
VLY,14.90,2.01%,482,950
VLRS,9.60,4.01%,69,379
VKTX,39.00,2.98%,776,929
VIV,13.27,0.91%,94,036
VITL,10.67,-3.96%,288,285
VISN,12.61,0.52%,407,697
VIR,10.08,1.31%,88,386
VIPS,13.15,-1.87%,254,361
