ticker,price,change,volume
ZYME,23.70,1.89%,149,996
ZWS,49.21,-0.88%,59,467
ZVRA,12.83,1.42%,209,595
ZURA,4.28,1.16%,211,416
ZTO,22.02,-0.96%,285,335
ZLAB,18.54,0.32%,782,944
ZIM,25.55,1.12%,330,806
ZGN,13.27,-1.81%,187,337
ZG,30.42,-0.13%,331,275
ZETA,19.89,7.66%,6,505,605
ZD,45.53,0.47%,51,735
ZBIO,21.11,1.48%,46,871
Z,30.39,0.26%,559,197
YUMC,40.97,-1.34%,337,733
YSWY,21.00,1.08%,31,580
YSS,27.83,-3.88%,238,006
YPF,48.40,-2.17%,122,929
YMM,7.74,-1.96%,602,399
YEXT,3.94,0.13%,170,213
YETI,47.52,-0.88%,149,188
YELP,22.55,0.33%,108,738
XXI,5.64,-1.83%,304,144
XRX,3.18,4.08%,4,364,491
XRAY,10.20,0.54%,810,939
XPRO,13.78,-0.65%,102,045
XPEV,12.81,-4.04%,2,774,501
XP,15.65,-2.10%,846,541
XNDU,12.51,-0.24%,1,265,269
XNCR,14.38,2.64%,175,692
XMAX,8.31,1.53%,153,584
XIFR,11.42,-2.29%,55,344
XHR,20.36,1.29%,101,024
XERS,7.20,4.42%,507,312
XE,21.59,7.13%,1,285,859
WYFI,43.85,-2.05%,1,308,106
WY,24.11,-0.56%,542,905
WWW,16.45,-5.02%,318,807
WVE,6.17,0.00%,559,375
WULF,29.10,2.79%,7,495,560
WU,7.01,-1.14%,1,415,118
WTTR,18.41,-0.40%,158,617
WTRG,37.24,1.53%,351,522
WTI,3.36,1.51%,674,086
WT,18.84,0.94%,293,098
WSR,18.93,-0.08%,52,399
WSE,10.98,1.25%,214,759
WSC,28.37,-2.27%,155,733
WSBC,37.01,0.84%,165,744
WRN,2.23,-4.29%,330,182
WRD,5.81,-3.58%,972,666
WRBY,26.23,-2.82%,498,325
WPP,17.78,-1.36%,255,755
WOOF,2.48,-0.40%,382,780
WNC,12.17,0.88%,156,712
WMG,27.63,0.58%,223,099
WLTH,8.15,-0.89%,358,105
WKC,31.88,0.62%,39,059
WK,46.64,1.44%,162,542
WIX,41.26,-1.42%,290,985
WIT,2.31,3.12%,2,300,341
WHR,37.08,1.41%,528,335
WHK,27.56,0.09%,22,454
