ticker,price,change,volume
ZYME,23.14,0.00%,699,014
ZWS,49.98,3.33%,1,729,633
ZVRA,12.90,2.30%,1,946,732
ZURA,3.75,3.59%,1,759,461
ZTO,22.00,-1.03%,1,429,434
ZLAB,18.18,1.68%,978,106
ZIM,24.34,1.50%,976,680
ZGN,13.87,-0.29%,1,580,510
ZG,32.49,0.74%,2,030,199
ZETA,18.90,2.16%,9,879,363
ZD,46.03,3.86%,1,601,158
ZBIO,19.78,6.46%,2,128,154
Z,32.11,0.31%,5,294,016
YUMC,42.93,-0.81%,2,296,367
YSWY,20.45,0.94%,1,375,770
YSS,30.80,1.65%,4,188,287
YMM,7.80,-2.50%,10,388,857
YICCU,10.08,0.20%,167,429
YEXT,3.80,-4.28%,2,412,950
YETI,48.97,3.66%,2,367,799
YELP,22.88,1.55%,2,503,374
XXI,5.52,-2.13%,2,857,597
XRX,3.02,-3.82%,5,845,975
XRAY,10.33,2.99%,5,312,639
XPRO,13.82,-4.23%,1,827,346
XPEV,13.21,-1.71%,9,498,652
XP,15.30,-0.78%,6,310,490
XNDU,13.37,-1.47%,9,185,368
XNCR,12.64,-1.10%,1,815,287
XMAX,8.23,0.37%,2,009,418
XIFR,11.82,1.63%,537,794
XHR,20.02,2.51%,2,369,341
XERS,6.95,0.72%,2,381,914
XE,21.56,-5.77%,14,043,741
WYFI,38.49,14.83%,3,977,202
WY,24.32,-0.04%,7,924,609
WWW,17.60,5.39%,1,365,928
WVE,6.16,3.53%,5,069,923
WULF,28.98,4.02%,30,484,938
WU,7.12,-0.70%,14,284,582
WTTR,17.70,-1.88%,3,403,628
WTRG,36.70,-0.68%,5,459,154
WTI,3.21,-3.02%,7,020,831
WT,18.31,0.88%,6,011,535
WSE,10.84,-2.95%,537,636
WSC,28.84,3.59%,2,588,998
WSBC,36.29,2.54%,16,538,832
WRN,2.37,-6.32%,2,380,046
WRD,6.35,0.63%,2,930,414
WRBY,25.96,7.18%,18,817,520
WPP,17.97,-2.50%,517,811
WOOF,2.62,-0.38%,2,581,644
WNC,11.36,5.19%,2,097,218
WMG,28.17,-1.23%,2,371,922
WLTH,8.44,0.12%,3,292,862
WKC,31.12,-0.45%,3,638,246
WK,47.37,-1.37%,1,910,256
WIX,42.49,1.05%,3,173,572
WIT,2.39,-3.63%,29,606,546
WHR,38.86,0.57%,4,403,615
WHK,27.37,0.96%,102,214
WGO,28.67,2.36%,959,004
WEST,9.03,3.44%,799,811
WES,42.96,-1.65%,3,748,799
WERN,40.69,2.03%,1,376,368
WEN,6.80,-2.16%,7,613,176
WEAV,5.20,-1.70%,1,670,571
WDS,20.05,-0.25%,1,094,130
WBI,33.19,8.08%,14,747,611
WBD,26.20,-0.15%,32,141,059
WB,7.33,-1.21%,2,850,927
WAY,18.47,1.21%,3,747,000
WAFD,36.48,0.75%,1,498,231
VZLA,3.55,-0.84%,5,594,006
VZ,45.37,-1.03%,66,265,930
VYX,7.49,-0.40%,4,055,999
VVV,38.07,1.68%,3,866,823
VVR,2.98,0.00%,518,882
VTS,16.01,-0.19%,1,355,776
VTRS,15.37,-2.29%,22,254,676
VTEX,3.61,0.84%,1,297,666
VSTS,12.88,0.62%,2,445,213
VSTM,4.12,-1.20%,4,762,061
VSNT,38.21,0.21%,5,239,747
VRRM,4.44,-5.73%,10,825,718
VRNS,33.38,0.91%,2,238,772
VRDN,16.63,-0.48%,4,026,618
VOYG,37.57,-2.52%,6,367,028
VOR,14.49,-3.53%,2,874,719
VOD,14.30,-1.58%,3,167,517
VNT,29.91,3.00%,3,431,229
VNOM,43.21,-0.35%,4,631,997
VNO,37.81,3.70%,2,502,607
VNET,8.75,-5.20%,8,051,058
VNDA,5.80,-2.68%,1,728,920
VLY,14.09,1.29%,11,467,102
VLRS,8.97,3.34%,1,083,616
VKTX,30.38,0.30%,3,359,015
VIV,12.59,-2.85%,956,716
VITL,10.41,-4.06%,8,814,793
VISN,12.66,0.72%,8,014,215
VIR,9.16,-1.51%,8,792,004
VIPS,13.33,-0.30%,2,977,729
VICI,26.28,-3.49%,18,515,913
VIAV,47.17,-3.20%,49,029,060
VIA,15.29,3.17%,1,936,288
VGZ,2.39,0.42%,2,370,702
VGNT,45.89,1.62%,2,050,999
VG,11.02,-0.27%,19,798,016
VFS,3.04,0.00%,636,704
VFC,17.33,3.77%,8,161,193
VET,9.83,-3.44%,1,824,316
VERX,11.12,-2.63%,2,472,197
VERA,35.09,0.23%,1,496,345
VELO,29.86,16.82%,7,158,230
VCEL,40.10,2.48%,1,686,286
VALE,15.42,-0.71%,20,729,536
UWMC,2.22,-2.63%,43,483,482
UUUU,16.56,8.24%,28,409,274
UTZ,7.05,0.43%,2,247,959
UTI,40.35,4.13%,1,162,579
USAS,5.36,-6.94%,5,726,144
USAR,24.64,4.63%,21,187,605
USA,5.80,0.87%,1,164,150
UROY,2.95,-1.67%,9,176,186
URGN,33.57,2.32%,834,498
URG,1.50,-3.23%,47,009,378
UPWK,8.05,-0.25%,6,111,835
UPST,32.43,6.47%,5,197,689
UPBD,18.32,4.93%,1,391,956
UPB,6.25,1.63%,828,997
UNIT,11.64,-0.43%,6,278,582
UMH,15.06,0.80%,729,419
UMC,24.08,10.66%,26,850,102
UMAC,24.98,2.17%,5,015,186
ULCC,7.22,8.73%,4,300,782
UGP,4.80,2.13%,5,588,228
UGI,33.81,0.57%,2,376,856
UEC,12.01,5.17%,25,325,070
UE,22.27,-0.09%,1,844,342
UDR,37.56,-0.24%,7,475,440
UCB,32.85,0.89%,1,734,702
UBSI,44.42,0.52%,2,140,908
UAMY,7.85,2.48%,11,903,443
UAA,6.06,6.32%,9,366,574
UA,5.87,6.15%,3,402,132
U,27.48,3.82%,9,332,190
TYRA,28.32,-2.58%,2,531,395
TXG,34.76,8.17%,3,607,397
TWO,12.32,0.24%,2,235,970
TWI,7.57,2.85%,756,042
TV,2.99,-0.66%,1,032,579
TUYA,1.87,-3.11%,2,666,593
TU,11.54,-1.03%,9,125,593
TTI,10.24,0.69%,2,362,438
TTEK,27.36,-2.70%,10,141,787
TTD,18.51,1.93%,50,325,756
TSSI,13.56,5.53%,979,002
TSLX,16.61,0.67%,1,170,227
TSHA,6.42,3.72%,6,318,437
TSCO,30.24,1.65%,24,879,179
TRVI,17.21,5.13%,2,959,506
TRTX,8.60,1.06%,1,014,594
TROX,7.40,-2.25%,5,637,769
TRON,1.63,-2.98%,1,300,153
TRN,34.47,0.55%,1,199,814
TRMD,29.41,1.34%,795,831
TRMB,49.16,0.59%,9,302,180
TRLV,10.10,6.88%,3,194,965
TRIP,12.97,2.82%,6,015,461
TRIN,16.83,0.36%,1,393,910
TREX,47.13,3.70%,2,924,337
TPG,42.05,-1.20%,3,275,454
TOWN,34.71,0.61%,1,556,386
TOST,24.66,1.02%,13,041,129
TOI,5.26,0.19%,2,143,793
TNGX,27.97,-13.38%,12,084,253
TNDM,15.30,-0.65%,2,511,120
TMQ,3.79,0.00%,2,354,660
TME,8.73,0.46%,18,711,380
TMC,5.13,0.39%,3,874,293
TLS,4.52,3.43%,2,195,503
TLRY,4.73,-0.42%,3,512,348
TLK,14.88,-6.12%,2,069,604
TKC,6.11,2.35%,1,719,866
TK,11.91,1.62%,701,887
TILE,32.56,5.27%,1,317,327
TIGR,4.71,0.00%,2,645,797
TIC,8.42,3.82%,2,557,299
THM,2.21,0.00%,896,427
TH,20.16,4.02%,1,558,597
TGB,7.14,-3.90%,5,422,542
TFSL,16.42,0.92%,1,253,748
TFPM,30.05,-1.67%,776,643
TFC,48.33,0.33%,18,834,911
TEVA,31.48,-3.32%,12,194,287
TENX,12.00,1.10%,2,685,493
TENB,26.87,-0.04%,4,458,658
TE,9.35,3.43%,62,349,682
TDUP,6.01,12.76%,4,291,380
TDS,39.59,0.46%,2,119,513
TDOC,8.07,6.32%,5,795,434
TDC,30.88,-2.71%,3,781,517
TDAY,7.88,-0.51%,1,851,995
TCOM,45.10,-3.48%,5,571,979
TBLA,4.70,-1.67%,5,870,368
TBBB,42.10,-1.03%,418,247
TASK,4.91,-3.91%,979,167
TAP,39.40,0.90%,5,600,701
TALO,13.77,-1.57%,3,614,412
TALK,5.21,0.19%,3,231,771
TAL,9.19,0.00%,9,841,860
TAK,15.63,1.36%,2,442,724
TAC,13.74,1.33%,1,659,286
T,22.01,-1.92%,93,516,018
SYM,41.68,3.76%,2,919,603
SXC,8.64,-1.03%,2,363,439
SWMR,41.79,2.43%,587,478
