ticker,price,change,volume
ZYME,24.41,2.22%,72,170
ZWS,49.96,3.53%,81,439
ZVRA,13.15,1.13%,218,248
ZURA,4.20,-2.32%,197,474
ZTO,21.93,-0.21%,290,821
ZLAB,18.32,-0.92%,284,366
ZIM,25.50,0.28%,166,992
ZGN,13.06,-0.42%,294,301
ZG,31.32,2.49%,474,020
ZETA,19.47,-0.23%,3,348,562
ZD,48.00,3.45%,159,412
ZBIO,20.82,3.04%,45,791
Z,31.30,2.64%,968,222
YUMC,41.09,0.32%,487,941
YSWY,20.51,-5.11%,63,962
YSS,26.28,-7.98%,379,135
YPF,46.02,-4.20%,431,551
YMM,7.79,2.01%,1,191,392
YEXT,4.18,6.23%,227,719
YETI,49.56,3.32%,104,211
YELP,23.37,3.09%,197,721
XXI,5.51,-3.76%,274,216
XRX,3.16,0.80%,628,158
XRAY,10.55,3.43%,1,146,194
XPRO,12.84,-4.22%,341,343
XPOF,7.05,3.37%,266,040
XPEV,12.62,-1.10%,1,162,230
XP,15.65,-0.48%,698,990
XNDU,11.90,-2.70%,737,064
XNCR,14.89,5.78%,132,667
XMAX,8.51,-1.05%,376,384
XIFR,11.57,0.24%,141,401
XHR,20.11,0.42%,116,234
XERS,7.47,3.82%,389,686
XE,19.53,-7.40%,1,474,040
WYFI,42.09,-5.97%,1,610,688
WY,25.51,4.40%,1,245,361
WWW,17.23,2.81%,141,271
WVE,6.10,1.06%,1,103,290
WULF,27.72,-3.68%,6,325,808
WU,7.22,2.63%,1,582,888
WTTR,18.09,-2.48%,258,511
WTRG,37.30,0.03%,404,737
WTI,3.16,-4.95%,1,080,803
WT,17.82,-2.78%,308,716
WSR,18.95,0.05%,88,357
WSE,11.03,-1.08%,239,201
WSC,28.76,3.27%,204,984
WSBC,37.73,1.21%,167,227
WRN,2.08,-5.68%,511,912
WRD,5.66,-1.57%,733,154
WRBY,26.20,2.18%,636,521
WPP,16.65,-1.71%,162,688
WOOF,2.55,1.19%,602,589
WOLF,46.48,-4.97%,1,733,902
WNC,13.36,6.07%,366,010
WMG,27.29,-0.91%,325,018
WLTH,8.06,-1.77%,264,352
WKC,31.92,-0.08%,44,038
WK,48.42,3.07%,133,076
WIX,41.65,3.02%,255,869
WIT,2.30,0.22%,2,136,823
WHR,37.98,4.96%,464,143
WHK,27.50,-0.56%,14,046
WGO,29.79,5.35%,137,071
WEST,9.54,5.07%,143,053
WES,42.94,-1.31%,137,730
WERN,41.37,0.82%,123,918
WEN,8.22,31.42%,110,426,376
WEAV,5.47,0.64%,137,224
WDS,19.06,-3.56%,241,878
WBI,28.38,-0.74%,367,908
WBD,27.24,1.35%,8,743,013
WB,7.35,0.42%,233,501
WAY,18.84,2.34%,421,718
WAFD,37.52,0.70%,71,976
VZLA,3.19,-4.78%,2,015,254
VZ,45.72,-2.17%,6,138,258
VYX,7.46,6.55%,341,212
VVV,39.42,2.87%,327,569
VVR,2.99,0.34%,56,795
VTS,15.70,-2.73%,97,636
VTRS,15.96,1.33%,1,383,138
VTEX,3.64,4.14%,802,976
VSTS,13.42,1.67%,198,116
VSTM,4.36,3.56%,743,776
VSNT,38.51,1.66%,192,195
VRRM,4.39,-0.23%,754,104
VRNS,35.99,2.73%,837,307
VRDN,17.43,0.87%,264,227
VOYG,31.44,-6.44%,736,951
VOR,14.78,-0.44%,123,408
VOD,13.89,-1.15%,725,783
VNT,30.47,1.31%,122,170
VNOM,43.39,-0.66%,252,911
VNO,37.43,-0.58%,213,692
VNET,8.24,-1.38%,507,916
VNDA,5.99,0.76%,167,138
VLY,14.53,1.07%,908,200
VLRS,9.32,1.30%,116,338
VKTX,37.03,6.38%,1,223,113
VIV,13.15,-0.53%,213,767
VITL,10.95,2.52%,401,303
VISN,12.66,1.28%,626,190
VIR,10.36,1.97%,478,573
VIPS,13.26,0.67%,433,090
VICI,26.75,0.51%,11,582,357
VIA,15.25,1.40%,92,831
VGNT,42.00,-1.64%,290,507
VG,10.84,-3.30%,2,066,800
VFS,3.12,-1.11%,170,875
VFC,17.24,1.95%,1,951,138
VET,9.45,-3.97%,604,063
VERX,11.10,1.66%,177,510
VERA,39.61,3.69%,525,281
VELO,19.31,-6.53%,1,231,393
VCEL,41.84,3.58%,170,106
VALE,14.92,-2.57%,5,308,313
UWMC,2.10,3.45%,6,601,454
UUUU,14.82,-4.17%,3,578,830
UTZ,7.34,4.18%,371,922
UTI,39.79,0.11%,84,896
USAS,4.61,-5.92%,1,584,097
USAR,22.00,-3.89%,5,316,935
USA,5.70,0.80%,402,180
UROY,2.82,-3.26%,457,028
URGN,35.63,1.36%,69,490
URG,1.39,-1.42%,2,569,522
UPWK,8.39,2.13%,430,385
UPST,33.19,5.48%,1,407,213
UPBD,18.96,1.43%,265,976
UPB,6.52,3.21%,91,843
UNIT,11.42,-0.81%,210,303
UMH,15.35,1.33%,100,715
UMC,28.02,6.94%,7,617,413
UMAC,20.50,-4.70%,1,364,014
ULCC,7.43,2.44%,1,064,163
UGP,4.84,-2.13%,556,231
UGI,34.94,0.63%,304,742
UEC,11.16,-1.62%,2,124,663
UE,23.06,0.62%,300,920
UDR,38.27,-0.02%,576,655
UCB,34.34,0.88%,167,586
UBSI,45.51,0.48%,225,585
UBS,49.52,-1.53%,461,687
UAMY,6.78,-3.35%,2,548,760
UAA,5.91,2.25%,1,546,916
UA,5.72,1.96%,488,921
U,27.90,1.05%,1,164,817
TYRA,30.99,3.09%,59,009
TXG,34.13,7.11%,513,795
TWO,12.35,0.28%,93,931
TWI,7.44,2.23%,59,320
TV,2.69,-0.55%,103,143
TUYA,1.79,-2.72%,318,608
TU,11.26,-2.04%,1,511,242
TTI,9.95,-1.79%,208,081
TTEK,28.17,0.46%,704,763
TTD,18.03,0.54%,2,625,398
TSSI,12.39,-2.59%,165,163
TSLX,16.46,-0.18%,147,919
TSHA,6.95,1.38%,208,219
TSCO,30.04,1.21%,2,054,270
TRVI,17.82,2.54%,292,820
TRTX,8.64,-0.17%,73,184
TRS,43.89,1.84%,34,998
TROX,6.72,0.60%,512,210
TRON,1.47,-3.29%,197,665
TRN,35.83,2.16%,74,675
TRMD,29.55,1.41%,550,360
TRLV,8.07,-5.37%,1,062,783
TRIP,12.91,4.20%,801,379
TRIN,16.82,-0.44%,206,047
TREX,48.84,7.73%,412,068
TPG,38.96,-1.57%,838,247
TOWN,35.79,0.70%,72,655
TOST,25.95,5.89%,4,591,694
TOI,5.22,3.88%,472,064
TNGX,29.07,2.40%,979,700
TNDM,15.05,4.44%,444,710
TMQ,3.43,-3.65%,604,987
TME,8.26,0.76%,1,552,432
TMCI,4.64,3.23%,282,147
TMC,4.65,-3.53%,1,370,614
TLS,4.41,1.61%,117,791
TLRY,4.62,0.31%,674,336
TLK,14.19,-1.70%,170,382
TKC,5.99,-0.83%,1,078,296
TK,12.45,0.00%,55,208
TILE,33.83,4.38%,57,381
TIGR,4.68,0.54%,651,175
TIC,8.19,0.31%,140,606
THM,1.96,-4.63%,301,994
TH,20.03,-2.37%,191,463
TGB,6.56,-2.00%,1,122,942
TFSL,16.91,0.18%,175,218
TFPM,28.15,-2.27%,105,877
TEVA,33.52,0.94%,1,360,795
TEO,12.96,-0.51%,135,198
TENX,13.57,-0.51%,161,661
TENB,27.68,1.52%,228,315
TE,8.74,-5.36%,9,378,184
TDUP,6.49,4.53%,289,341
TDS,38.51,-1.43%,120,078
TDOC,7.75,0.74%,968,247
TDC,31.86,2.26%,218,872
TDAY,8.02,0.01%,208,582
TCOM,46.20,1.54%,658,322
TBLA,4.63,-0.94%,355,275
TBBB,42.25,0.39%,103,310
TASK,4.82,2.88%,193,520
TAP,40.74,2.58%,499,067
TALO,13.63,-2.36%,314,914
TALK,5.20,0.00%,551,057
TAL,9.36,-0.85%,493,881
TAK,15.74,-0.60%,528,626
TAC,13.81,0.84%,144,740
T,22.50,-1.36%,11,957,811
SYM,39.16,1.54%,425,145
SXC,8.29,-0.94%,204,223
SWMR,39.25,-5.31%,152,872
SWIM,6.16,4.68%,266,862
SWBI,16.75,0.48%,190,257
SW,46.15,4.04%,1,253,665
SVV,10.16,4.63%,91,861
SVRA,5.80,0.36%,316,146
SVM,10.31,-2.50%,955,864
SVC,1.74,1.46%,3,006,298
SUZ,7.99,-0.56%,825,032
SUPV,9.59,-5.24%,308,665
SUPN,44.97,1.09%,79,924
STWD,16.81,0.39%,590,513
STVN,17.07,1.16%,89,273
STUB,11.63,-1.67%,1,293,980
STTK,5.62,4.36%,114,964
STOK,31.38,0.87%,108,976
STNE,10.87,1.43%,927,683
STLA,5.90,-1.01%,6,366,626
STGW,7.10,0.80%,342,603
STEP,41.66,-2.96%,357,194
STAG,38.56,-0.83%,292,955
STAA,28.48,0.41%,65,704
ST,48.73,-0.17%,170,260
SSYS,8.35,0.42%,194,777
SSRM,28.71,-1.87%,621,877
SSL,10.48,-5.63%,847,191
SRTA,5.58,0.12%,209,032
SRPT,17.28,0.12%,418,156
SRAD,14.89,1.29%,278,820
SPT,6.76,3.13%,220,360
