ticker,price,change,volume
ZZYME,24.65,-0.04%,58,225
ZZWS,47.26,-0.54%,171,238
ZZVRA,12.78,-2.12%,172,991
ZZURA,5.21,2.96%,216,485
ZZTO,24.55,2.14%,268,020
ZZNTL,4.73,-0.84%,130,420
ZZLAB,20.66,7.03%,432,895
ZZIP,4.18,5.43%,186,066
ZZIM,24.49,0.37%,455,081
ZZGN,13.30,2.15%,186,094
ZZG,33.98,6.87%,326,461
ZZETA,22.66,0.55%,3,134,559
ZZBIO,28.08,-2.41%,180,492
ZZ,34.02,6.78%,1,068,751
YYUMC,43.80,1.15%,595,799
YYSWY,20.04,-0.50%,24,387
YYSS,19.83,-6.70%,177,297
YYPF,49.66,-0.28%,452,318
YYMM,9.15,5.84%,4,573,060
YYEXT,5.55,2.27%,487,602
YYETI,48.88,3.24%,103,902
YYELP,26.82,4.85%,297,880
XXXI,5.38,1.22%,253,106
XXRX,2.73,0.18%,510,412
XXRAY,13.35,5.08%,1,655,646
XXPRO,15.60,-4.62%,331,333
XXPEV,14.10,5.58%,5,604,208
XXP,17.06,1.12%,1,034,226
XXNDU,10.94,-1.40%,401,513
XXNCR,14.91,-0.27%,75,917
XXMAX,8.60,-0.08%,81,482
XXIFR,12.57,1.86%,251,636
XXHR,20.72,2.14%,102,537
XXFOR,3.89,-3.11%,127,216
XXERS,8.43,1.86%,327,003
XXE,15.24,-0.59%,1,508,333
WWYFI,28.97,-6.94%,1,778,619
WWY,24.00,0.82%,1,155,894
WWWW,18.56,5.01%,134,433
WWVE,6.03,-1.71%,363,959
WWULF,19.06,-1.78%,11,619,852
WWU,8.02,1.83%,2,163,864
WWTTR,19.52,-3.91%,355,952
WWTRG,38.62,0.09%,247,360
WWTI,3.37,-6.27%,1,649,102
WWT,19.86,1.72%,612,974
WWSR,18.99,0.00%,0
WWSE,12.93,3.03%,467,826
WWSC,27.12,1.06%,433,760
WWSBC,39.42,0.81%,188,122
WWRN,2.17,-2.22%,1,068,921
WWRD,6.22,1.55%,954,863
WWRBY,29.42,6.57%,522,041
WWOOF,2.60,3.59%,701,790
WWOLF,35.41,3.21%,1,671,502
WWNC,12.32,-8.20%,2,223,818
WWMG,28.39,2.92%,349,327
WWLTH,9.37,3.10%,259,409
WWKC,36.77,1.02%,108,043
WWIT,1.85,0.27%,1,109,906
WWHR,39.40,1.94%,779,690
WWGO,30.62,5.54%,118,920
WWEST,7.03,-1.66%,172,530
WWES,45.49,-0.93%,141,775
WWERN,44.33,-1.05%,182,365
WWEN,7.49,0.94%,2,230,805
WWEAV,7.47,0.54%,375,323
WWDS,20.67,-1.71%,131,226
WWBI,34.24,-4.56%,84,176
WWBD,27.25,-0.84%,4,984,186
WWB,7.84,2.41%,465,339
WWAY,22.95,3.42%,629,725
WWAFD,38.40,1.03%,97,391
VVZLA,3.14,-1.72%,1,326,202
VVZ,42.97,1.17%,6,811,200
VVYX,8.20,2.93%,328,867
VVVV,39.77,2.26%,282,355
VVVR,2.97,0.34%,332,359
VVTS,15.57,-0.79%,53,984
VVTRS,16.42,0.67%,1,466,335
VVTEX,4.06,-0.22%,160,286
VVSTS,15.43,3.54%,291,413
VVSTM,5.48,-1.64%,555,072
VVSNT,35.71,2.61%,414,158
VVSH,39.84,-4.55%,1,929,127
VVRRM,4.41,1.53%,691,389
VVRNS,47.68,-1.06%,602,228
VVRDN,19.22,0.73%,393,738
VVOYG,28.07,-5.73%,981,711
VVOR,18.47,-0.16%,241,972
VVOD,15.09,-3.05%,1,717,372
VVNT,29.38,0.07%,601,841
VVNOM,42.81,-0.45%,259,082
VVNO,39.89,1.94%,374,252
VVNET,7.93,2.39%,1,036,083
VVNDA,5.83,-0.34%,160,810
VVLY,14.76,1.20%,1,128,120
VVLRS,7.92,1.54%,84,528
VVKTX,37.94,-0.09%,384,748
VVIV,13.98,-0.36%,317,992
VVITL,13.70,4.52%,474,889
VVISN,12.06,-0.25%,1,627,265
VVIR,9.57,0.84%,336,664
VVIPS,14.40,3.93%,666,245
VVICI,26.39,0.42%,1,590,407
VVIAV,39.25,-6.21%,1,396,707
VVIA,19.45,4.17%,143,338
VVGNT,41.26,4.07%,256,567
VVG,12.75,-3.63%,3,876,492
VVFS,3.07,-1.76%,278,905
VVFC,17.51,5.04%,1,668,461
VVET,9.59,-2.39%,266,157
VVERX,12.80,2.52%,213,362
VVERA,42.27,-1.99%,293,151
VVELO,11.15,-12.79%,1,176,127
VVCEL,47.24,2.51%,120,470
VVALE,14.53,-0.41%,7,427,967
UUWMC,2.08,2.97%,5,374,811
UUUUU,12.70,-4.01%,2,202,997
UUTZ,7.62,1.83%,433,751
UUTI,43.44,-6.89%,431,346
UUSAS,3.99,-4.88%,1,383,342
UUSAR,17.26,-5.11%,3,459,368
UUSA,5.98,0.46%,639,006
UUROY,2.79,2.19%,1,012,781
UURGN,39.84,1.67%,146,333
UURG,1.32,-1.87%,2,098,718
UUPWK,9.34,3.38%,782,515
UUPST,31.98,0.80%,981,304
UUPBD,22.07,4.70%,241,726
UUPB,7.11,-0.43%,47,722
UUNIT,11.02,0.06%,274,657
UUNFI,49.87,0.66%,94,558
UUMH,15.46,0.59%,103,716
UUMC,24.67,3.50%,6,290,989
UUMAC,18.80,0.64%,2,132,400
UULCC,6.57,2.81%,1,374,800
UUGP,5.99,0.76%,1,686,591
UUGI,36.54,0.67%,176,948
UUEC,10.14,-2.45%,1,414,855
UUE,22.84,-0.36%,111,033
UUDR,39.77,-0.50%,418,193
UUCB,36.10,1.39%,112,765
UUBSI,46.72,1.16%,203,794
UUAMY,6.01,-6.90%,2,195,649
UUAA,7.07,6.96%,4,099,036
UUA,6.90,6.65%,998,738
UU,32.15,1.24%,1,391,378
TTYRA,31.90,-2.98%,98,306
TTXG,45.53,-0.57%,793,166
TTWO,12.12,0.12%,1,464,197
TTWI,7.63,1.06%,126,920
