ticker,price,change,volume
ZZYME,24.65,-0.03%,58,099
ZZWS,47.26,-0.54%,171,195
ZZVRA,12.77,-2.18%,172,965
ZZURA,5.21,2.90%,215,952
ZZTO,24.56,2.19%,266,356
ZZNTL,4.73,-0.84%,130,280
ZZLAB,20.66,7.03%,432,865
ZZIP,4.18,5.43%,185,981
ZZIM,24.51,0.43%,454,961
ZZGN,13.27,1.92%,184,241
ZZG,33.99,6.89%,325,591
ZZETA,22.64,0.49%,3,133,232
ZZBIO,28.08,-2.44%,180,392
ZZ,34.03,6.81%,1,066,964
YYUMC,43.80,1.15%,594,040
YYSWY,19.96,-0.89%,24,325
YYSS,19.83,-6.70%,176,829
YYPF,49.62,-0.37%,451,518
YYMM,9.16,6.05%,4,547,400
YYEXT,5.55,2.21%,487,366
YYETI,48.85,3.19%,103,800
YYELP,26.83,4.89%,295,589
XXXI,5.38,1.22%,253,084
XXRX,2.74,0.31%,510,383
XXRAY,13.35,5.16%,1,652,177
XXPRO,15.60,-4.59%,331,023
XXPEV,14.12,5.68%,5,589,814
XXP,17.06,1.12%,1,028,501
XXNDU,10.93,-1.53%,401,511
XXNCR,14.92,-0.21%,75,387
XXMAX,8.60,-0.10%,80,973
XXIFR,12.57,1.86%,251,402
XXHR,20.71,2.14%,102,499
XXFOR,3.89,-3.11%,126,349
XXERS,8.43,1.87%,326,890
XXE,15.26,-0.49%,1,500,655
WWYFI,28.95,-7.00%,1,776,689
WWY,24.01,0.87%,1,129,892
WWWW,18.54,4.90%,134,069
WWVE,6.02,-1.72%,363,694
WWULF,19.07,-1.78%,11,590,050
WWU,8.02,1.82%,2,162,776
WWTTR,19.54,-3.84%,355,600
WWTRG,38.63,0.10%,247,296
WWTI,3.37,-6.13%,1,647,582
WWT,19.86,1.72%,612,425
WWSR,18.99,0.00%,0
WWSE,12.93,3.03%,467,471
WWSC,27.14,1.12%,433,200
WWSBC,39.40,0.76%,187,029
WWRN,2.17,-2.28%,1,030,023
WWRD,6.22,1.55%,952,152
WWRBY,29.45,6.66%,521,587
WWOOF,2.61,3.98%,700,824
WWOLF,35.40,3.18%,1,669,548
WWNC,12.34,-8.05%,2,219,527
WWMG,28.38,2.92%,349,121
WWLTH,9.37,3.09%,259,134
WWKC,36.74,0.92%,107,906
WWIT,1.85,0.54%,1,102,781
WWHR,39.36,1.84%,779,116
WWGO,30.61,5.53%,118,737
WWEST,7.04,-1.57%,172,507
WWES,45.49,-0.93%,141,775
WWERN,44.35,-1.00%,181,665
WWEN,7.49,1.01%,2,230,047
WWEAV,7.47,0.47%,374,853
WWDS,20.68,-1.69%,131,219
WWBI,34.19,-4.71%,84,096
WWBD,27.25,-0.82%,4,982,909
WWB,7.84,2.41%,465,192
WWAY,22.93,3.36%,627,990
WWAFD,38.40,1.03%,97,348
VVZLA,3.14,-1.83%,1,325,965
VVZ,42.96,1.14%,6,805,449
VVYX,8.20,2.85%,325,938
VVVV,39.71,2.11%,281,814
VVVR,2.97,0.29%,332,345
VVTS,15.57,-0.79%,53,974
VVTRS,16.43,0.74%,1,459,391
VVTEX,4.06,-0.25%,160,199
VVSTS,15.43,3.54%,290,950
VVSTM,5.47,-1.71%,554,583
VVSNT,35.65,2.46%,411,874
VVSH,39.84,-4.54%,1,926,386
VVRRM,4.41,1.61%,690,782
VVRNS,47.68,-1.07%,601,582
VVRDN,19.20,0.63%,393,549
VVOYG,28.07,-5.74%,980,227
VVOR,18.44,-0.32%,238,414
VVOD,15.09,-3.02%,1,716,731
VVNT,29.38,0.07%,598,959
VVNOM,42.81,-0.44%,258,851
VVNO,39.88,1.90%,373,885
VVNET,7.93,2.39%,1,036,083
VVNDA,5.82,-0.52%,157,755
VVLY,14.76,1.23%,1,124,327
VVLRS,7.92,1.54%,84,435
VVKTX,37.92,-0.12%,384,547
VVIV,13.98,-0.39%,316,956
VVITL,13.69,4.46%,474,333
VVISN,12.06,-0.25%,1,626,067
VVIR,9.57,0.80%,336,565
VVIPS,14.41,3.97%,664,325
VVICI,26.39,0.40%,1,587,601
VVIAV,39.31,-6.06%,1,395,153
VVIA,19.45,4.15%,143,100
VVGNT,41.25,4.06%,256,555
VVG,12.74,-3.67%,3,870,583
VVFS,3.06,-1.77%,278,892
VVFC,17.51,5.07%,1,664,715
VVET,9.58,-2.44%,265,998
VVERX,12.77,2.29%,211,291
VVERA,42.29,-1.95%,292,865
VVELO,11.15,-12.83%,1,175,866
VVCEL,47.20,2.41%,120,383
VVALE,14.52,-0.45%,7,368,632
UUWMC,2.08,2.97%,5,364,133
UUUUU,12.73,-3.82%,2,150,480
UUTZ,7.61,1.80%,433,353
UUTI,43.44,-6.87%,431,014
UUSAS,3.99,-5.00%,1,361,374
UUSAR,17.25,-5.17%,3,456,273
UUSA,5.98,0.46%,639,002
UUROY,2.79,2.01%,1,010,044
UURGN,39.78,1.52%,145,154
UURG,1.32,-1.87%,2,097,207
UUPWK,9.34,3.38%,782,260
UUPST,31.95,0.73%,979,755
UUPBD,22.07,4.70%,241,320
UUPB,7.11,-0.42%,47,595
UUNIT,11.01,0.04%,274,362
UUNFI,49.96,0.85%,93,624
UUMH,15.46,0.59%,103,692
UUMC,24.68,3.52%,6,257,808
UUMAC,18.75,0.37%,2,131,220
UULCC,6.58,2.89%,1,373,782
UUGP,5.99,0.76%,1,685,668
UUGI,36.57,0.74%,175,677
UUEC,10.14,-2.45%,1,407,425
UUE,22.84,-0.35%,111,020
UUDR,39.78,-0.48%,417,495
UUCB,36.11,1.40%,112,643
UUBSI,46.72,1.15%,203,520
UUAMY,6.01,-6.82%,2,193,955
UUAA,7.07,7.03%,4,097,909
UUA,6.90,6.65%,997,964
UU,32.14,1.23%,1,386,840
TTYRA,31.89,-3.00%,98,228
TTXG,45.52,-0.59%,792,360
TTWO,12.12,0.12%,1,463,486
TTWI,7.63,1.07%,126,810
TTV,2.74,1.65%,115,927
TTUYA,1.81,0.56%,188,513
TTU,10.59,1.48%,1,719,644
TTTI,9.23,-2.67%,245,380
TTTEK,31.54,1.38%,556,433
TTTD,19.51,3.04%,4,408,074
TTSSI,10.89,0.54%,215,464
TTSLX,17.46,1.81%,223,964
TTSHA,5.91,3.60%,642,265
TTSCO,31.09,1.78%,2,378,393
TTRVI,17.38,-2.96%,351,848
TTRTX,8.62,1.21%,113,529
TTROX,6.02,-2.83%,504,512
TTRON,1.46,-0.68%,217,537
TTRN,35.86,-1.02%,98,504
TTRMD,28.96,-1.58%,130,925
TTRLV,8.86,-2.21%,254,235
TTRIP,14.56,4.04%,558,842
TTRIN,17.59,-0.32%,389,768
TTREX,44.27,0.22%,1,082,617
TTPG,45.59,5.65%,784,704
TTOWN,36.24,1.34%,172,300
TTOST,31.17,3.90%,3,880,944
TTOI,5.83,-7.15%,924,912
TTNGX,29.92,0.89%,624,188
TTNDM,15.82,1.80%,274,832
TTMQ,3.12,-2.96%,362,513
TTME,9.07,3.30%,3,603,541
TTMC,4.06,-2.87%,1,485,503
TTLS,4.87,-0.76%,193,560
TTLRY,4.46,1.83%,1,613,262
TTLK,14.18,0.39%,149,242
TTKC,5.92,0.37%,280,447
TTK,10.83,-1.01%,73,364
TTILE,33.43,1.49%,42,880
TTIGR,4.77,3.24%,624,332
TTIC,7.41,4.38%,236,020
TTHM,2.14,-3.85%,158,789
TTH,17.22,-0.59%,114,664
TTGB,7.55,-5.33%,1,760,683
TTFSL,17.83,0.77%,100,339
TTFPM,27.27,-2.18%,112,948
TTEVA,31.78,-0.11%,859,131
