ticker,price,change,volume
ZYME,24.36,2.02%,108,194
ZVRA,13.16,1.27%,306,074
ZURA,4.22,-1.86%,324,719
ZTO,21.99,0.05%,507,978
ZLAB,18.43,-0.30%,418,173
ZIM,25.58,0.59%,283,718
ZGN,13.20,0.61%,453,798
ZG,31.21,2.13%,826,764
ZETA,19.08,-2.18%,4,614,309
ZD,48.29,4.07%,289,423
ZBIO,21.60,6.90%,176,707
Z,31.22,2.37%,1,694,203
YUMC,41.21,0.61%,721,305
YSWY,20.56,-4.93%,100,106
YSS,26.23,-8.16%,587,851
YPF,45.68,-4.91%,892,455
YMM,7.87,3.01%,2,303,520
YEXT,4.20,6.90%,412,015
YETI,49.82,3.86%,268,947
YELP,23.50,3.66%,288,049
XXI,5.46,-4.60%,479,821
XRX,3.14,0.16%,1,027,039
XRAY,10.48,2.79%,1,529,421
XPRO,13.00,-2.97%,593,031
XPOF,6.97,2.22%,319,309
XPEV,12.60,-1.29%,2,058,445
XP,15.68,-0.25%,1,347,314
XNDU,11.87,-2.94%,1,014,336
XNCR,14.59,3.59%,258,793
XMAX,8.44,-1.80%,518,236
XIFR,11.67,1.11%,210,230
XHR,19.92,-0.55%,261,360
XERS,7.48,3.89%,577,488
XE,19.35,-8.23%,1,892,047
WYFI,42.89,-4.18%,1,967,137
WY,25.43,4.07%,2,271,053
WWW,17.31,3.27%,223,227
WVE,6.07,0.41%,1,425,024
WULF,27.90,-3.06%,9,974,230
WU,7.20,2.36%,2,879,214
WTTR,18.29,-1.38%,425,972
WTRG,37.58,0.76%,714,724
WTI,3.11,-6.76%,1,766,838
WT,18.04,-1.58%,815,632
WSR,18.94,0.03%,139,693
WSE,11.06,-0.81%,527,385
WSC,28.63,2.81%,357,783
WSBC,37.95,1.80%,371,123
WRN,2.08,-5.68%,1,209,136
WRD,5.72,-0.59%,1,169,848
WRBY,26.75,4.33%,1,123,819
WPP,16.52,-2.48%,644,599
WOOF,2.59,2.78%,839,839
WOLF,46.25,-5.44%,2,316,682
WNC,13.51,7.22%,489,871
WMG,27.25,-1.07%,523,720
WLTH,8.16,-0.61%,457,463
WKC,31.78,-0.49%,148,277
WK,48.57,3.39%,220,210
WIX,42.24,4.48%,440,018
WIT,2.30,0.44%,3,510,729
WHR,37.97,4.93%,702,667
WHK,27.11,-1.95%,104,405
WGO,29.89,5.70%,308,543
WEST,9.70,6.83%,247,051
WES,42.61,-2.07%,374,584
WERN,41.39,0.87%,250,088
WEN,7.87,25.82%,141,047,612
WEAV,5.50,1.13%,277,664
WDS,19.08,-3.44%,443,140
WBI,28.81,0.77%,683,547
WBD,26.88,-0.02%,15,830,750
WB,7.34,0.26%,331,437
WAY,18.97,3.02%,830,809
WAFD,37.59,0.88%,132,976
VZLA,3.15,-5.82%,2,880,701
VZ,45.60,-2.42%,9,158,490
VYX,7.45,6.50%,603,345
VVV,39.32,2.61%,507,373
VVR,2.99,0.50%,179,835
VTS,15.59,-3.41%,193,987
VTRS,15.97,1.40%,2,336,597
VTEX,3.64,4.14%,1,134,666
VSTS,13.54,2.61%,432,281
VSTM,4.18,-0.83%,1,050,282
VSNT,38.33,1.18%,391,592
VRRM,4.43,0.73%,1,178,080
VRNS,36.87,5.25%,1,458,232
VRDN,17.53,1.45%,409,698
VOYG,31.34,-6.73%,1,053,491
VOR,14.74,-0.76%,212,172
VOD,13.88,-1.21%,1,214,032
VNT,30.47,1.33%,244,750
VNOM,43.30,-0.87%,499,374
VNO,37.36,-0.77%,390,730
VNET,8.28,-0.90%,821,229
VNDA,5.97,0.42%,244,936
VLY,14.55,1.15%,1,688,516
VLRS,9.30,1.09%,215,693
VKTX,37.09,6.55%,2,165,508
VIV,13.18,-0.34%,380,020
VITL,11.09,3.84%,796,434
VISN,12.57,0.57%,1,264,608
VIR,10.03,-1.23%,1,073,428
VIPS,13.40,1.71%,843,254
VICI,26.93,1.15%,13,400,353
VIAV,49.40,-1.14%,1,819,572
VIA,15.13,0.60%,183,922
VGNT,42.15,-1.30%,587,434
VG,10.69,-4.64%,3,584,873
VFS,3.13,-0.95%,239,499
VFC,17.33,2.45%,2,788,086
VET,9.45,-3.96%,836,079
VERX,11.17,2.29%,359,891
VERA,39.68,3.87%,780,561
VELO,18.74,-9.29%,1,681,907
VCEL,41.77,3.42%,235,414
VALE,14.86,-2.94%,11,521,624
UWMC,2.12,4.43%,12,504,052
UUUU,15.16,-1.98%,5,747,934
UTZ,7.36,4.38%,598,411
UTI,39.77,0.05%,180,705
USAS,4.61,-6.02%,2,260,279
USAR,21.99,-3.95%,6,742,110
USA,5.70,0.80%,569,996
UROY,2.82,-3.26%,696,136
URGN,35.37,0.63%,147,723
URG,1.38,-1.77%,3,604,785
UPWK,8.43,2.65%,675,539
UPST,33.30,5.85%,2,373,203
UPBD,18.94,1.36%,465,829
UPB,6.42,1.58%,169,495
UNIT,11.40,-0.92%,398,740
UMH,15.41,1.75%,154,777
UMC,28.60,9.16%,13,470,693
UMAC,20.29,-5.67%,1,735,049
ULCC,7.50,3.40%,1,633,481
UGP,4.86,-1.52%,824,834
UGI,34.70,-0.06%,547,105
UEC,11.16,-1.54%,3,026,429
UE,23.24,1.40%,582,263
UDR,38.51,0.61%,1,006,343
UCB,34.54,1.47%,292,423
UBSI,45.60,0.68%,366,819
UBS,49.46,-1.65%,947,629
UAMY,6.78,-3.21%,3,452,976
UAA,6.12,5.88%,3,203,474
UA,5.91,5.43%,990,063
U,27.59,-0.05%,1,960,773
TYRA,30.92,2.88%,126,091
TXG,34.22,7.36%,724,732
TWO,12.37,0.45%,158,144
TWI,7.49,2.92%,93,376
TV,2.73,0.92%,267,797
TUYA,1.79,-2.72%,422,369
TU,11.32,-1.48%,2,336,685
TTI,10.11,-0.15%,397,452
TTEK,28.50,1.65%,1,717,318
TTD,18.00,0.41%,4,388,235
TSSI,12.31,-3.22%,256,936
TSLX,16.72,1.39%,251,613
TSHA,6.95,1.35%,464,303
TSCO,29.96,0.94%,3,091,270
TRVI,17.53,0.85%,503,116
TRTX,8.66,0.11%,133,681
TRS,43.87,1.79%,71,746
TROX,6.64,-0.67%,1,117,836
TRON,1.45,-4.61%,288,607
TRN,35.53,1.31%,114,043
TRMD,29.53,1.35%,770,183
TRLV,8.27,-3.05%,1,580,207
TRIP,12.87,3.87%,1,503,217
TRIN,16.86,-0.15%,325,897
TREX,49.27,8.67%,669,780
TPG,38.99,-1.49%,1,695,150
TOWN,35.83,0.83%,121,273
TOST,26.12,6.55%,7,145,736
TOI,5.28,4.87%,624,280
TNGX,29.38,3.47%,1,538,312
TNDM,14.98,3.96%,757,127
TMQ,3.38,-4.92%,878,146
TME,8.31,1.30%,2,155,933
TMC,4.62,-4.18%,2,314,559
TLS,4.42,1.92%,178,286
TLRY,4.62,0.33%,954,525
TLK,14.24,-1.32%,300,919
TKC,6.01,-0.58%,1,940,223
TK,12.40,-0.44%,91,519
TILE,33.96,4.78%,93,333
TIGR,4.70,1.18%,906,400
TIC,8.23,0.80%,257,883
THM,1.92,-6.10%,406,451
TH,20.16,-1.75%,456,270
TGB,6.41,-4.11%,1,925,745
TFSL,16.97,0.55%,358,784
TFPM,27.92,-3.06%,181,052
TEVA,34.21,3.01%,2,677,053
TEO,12.99,-0.28%,305,623
TENX,13.67,0.22%,264,924
TENB,27.82,2.04%,379,992
TE,8.81,-4.69%,13,298,652
TDUP,6.47,4.11%,496,301
TDS,38.33,-1.91%,191,894
TDOC,7.78,1.24%,1,423,029
TDC,31.95,2.54%,504,970
TDAY,8.02,0.06%,370,964
TCOM,46.12,1.37%,1,195,654
TBLA,4.63,-0.78%,626,025
TBBB,42.45,0.85%,155,773
TASK,4.91,4.58%,374,374
TAP,40.82,2.80%,891,549
TALO,13.53,-3.11%,474,171
TALK,5.19,-0.19%,1,113,609
TAL,9.30,-1.44%,763,134
TAK,15.76,-0.51%,958,314
TAC,13.79,0.73%,261,165
T,22.42,-1.71%,20,158,472
SYM,38.76,0.49%,720,061
SXC,8.16,-2.53%,357,322
SWMR,39.16,-5.52%,183,931
SWIM,6.19,5.33%,368,342
SWBI,16.71,0.24%,336,819
SW,46.59,5.03%,2,111,348
SVV,10.22,5.23%,136,056
SVRA,5.84,0.96%,454,167
SVM,10.34,-2.29%,1,504,144
SVC,1.73,1.17%,6,170,948
SUZ,7.99,-0.68%,1,188,449
SUPV,9.43,-6.82%,572,368
SUPN,45.11,1.42%,148,514
STWD,16.84,0.60%,1,370,289
STVN,17.02,0.91%,119,737
STUB,11.64,-1.59%,2,498,610
STTK,5.87,8.91%,297,048
STOK,31.51,1.30%,236,756
STNE,10.98,2.47%,1,684,183
STLA,5.87,-1.51%,10,104,014
STGW,7.14,1.48%,590,248
STEP,41.69,-2.89%,504,231
STAG,38.78,-0.26%,594,069
STAA,28.75,1.36%,111,732
ST,48.52,-0.59%,307,778
SSYS,8.39,0.78%,276,796
SSRM,28.35,-3.09%,1,083,390
SSL,10.51,-5.45%,1,282,278
SRTA,5.59,0.27%,366,862
SRPT,17.17,-0.52%,641,362
SRAD,14.89,1.29%,515,441
SPT,6.84,4.49%,338,624
SPRY,10.67,3.79%,666,224
