ticker,price,change,volume
ZYME,24.33,1.87%,232,349
ZVRA,13.03,0.23%,651,952
ZURA,4.22,-2.06%,675,861
ZTO,21.88,-0.43%,907,222
ZLAB,18.33,-0.87%,669,913
ZIM,25.14,-1.14%,632,388
ZGN,13.21,0.68%,731,517
ZG,30.85,0.97%,1,207,724
ZETA,18.62,-4.56%,7,349,546
ZD,48.20,3.89%,507,322
ZBIO,21.54,6.61%,582,014
Z,30.96,1.51%,2,567,094
YUMC,41.06,0.25%,1,116,746
YSWY,20.80,-3.82%,200,620
YSS,25.14,-11.98%,1,108,086
YPF,45.65,-4.96%,1,715,159
YMM,7.82,2.34%,4,723,350
YEXT,4.13,5.09%,734,954
YETI,49.55,3.29%,531,263
YELP,23.34,2.98%,501,245
XXI,5.39,-5.77%,957,504
XRX,3.11,-1.07%,1,745,445
XRAY,10.39,1.81%,2,597,054
XPRO,13.05,-2.59%,1,114,920
XPOF,6.80,-0.28%,412,231
XPEV,12.47,-2.31%,3,528,762
XP,15.64,-0.48%,2,547,057
XNDU,11.72,-4.19%,1,500,464
XNCR,14.43,2.45%,486,818
XMAX,8.26,-3.95%,824,654
XIFR,11.54,0.04%,481,317
XHR,20.08,0.25%,455,037
XERS,7.42,3.12%,1,091,380
XE,18.94,-10.17%,3,375,300
WYFI,37.33,-16.61%,3,613,025
WY,25.53,4.48%,4,135,824
WWW,17.33,3.40%,410,787
WVE,6.01,-0.54%,2,480,456
WULF,26.18,-9.02%,23,880,778
WU,7.22,2.66%,4,617,151
WTTR,18.16,-2.09%,925,035
WTRG,37.95,1.77%,1,193,569
WTI,3.09,-7.33%,2,599,764
WT,17.86,-2.54%,2,620,903
WSR,18.95,0.04%,251,110
WSE,10.94,-1.88%,1,274,212
WSC,28.46,2.19%,822,217
WSBC,38.01,1.97%,800,562
WRN,2.05,-6.82%,2,539,286
WRD,5.57,-3.17%,1,679,602
WRBY,26.76,4.37%,2,042,462
WPP,16.59,-2.07%,804,388
WOOF,2.62,3.77%,1,381,014
WOLF,43.97,-10.10%,3,829,000
WNC,13.06,3.65%,1,039,911
WMG,27.01,-1.93%,1,098,447
WLTH,8.07,-1.64%,746,662
WKC,31.88,-0.19%,345,681
WK,48.19,2.59%,424,933
WIX,42.24,4.47%,918,436
WIT,2.22,-3.06%,7,702,543
WHR,37.86,4.62%,1,464,407
WHK,27.00,-2.35%,185,733
WGO,27.25,-3.63%,1,601,504
WEST,9.69,6.72%,554,189
WES,42.68,-1.91%,699,744
WERN,40.99,-0.10%,528,234
WEN,7.86,25.58%,188,926,875
WEAV,5.47,0.46%,641,138
WDS,19.08,-3.46%,839,541
WBI,28.26,-1.15%,1,240,073
WBD,27.22,1.25%,27,928,520
WB,7.30,-0.34%,506,140
WAY,19.03,3.37%,1,401,253
WAFD,37.68,1.12%,321,659
VZLA,3.06,-8.75%,5,217,394
VZ,45.87,-1.84%,15,063,495
VYX,7.55,7.93%,1,595,740
VVV,39.54,3.19%,1,160,031
VVR,2.99,0.34%,313,179
VTS,15.61,-3.28%,330,704
VTRS,15.90,0.93%,4,710,153
VTEX,3.57,2.00%,2,645,250
VSTS,13.40,1.55%,696,155
VSTM,3.91,-7.01%,1,972,294
VSNT,37.95,0.18%,785,029
VRRM,4.44,0.91%,3,797,772
VRNS,36.65,4.62%,2,588,100
VRDN,17.36,0.46%,703,234
VOYG,30.62,-8.85%,1,716,823
VOR,14.48,-2.46%,505,898
VOD,13.83,-1.56%,1,994,120
VNT,30.00,-0.25%,834,095
VNOM,43.28,-0.93%,919,828
VNO,37.93,0.74%,925,227
VNET,8.11,-2.93%,1,463,742
VNDA,5.91,-0.59%,536,662
VLY,14.56,1.22%,3,448,809
VLRS,9.15,-0.54%,573,551
VKTX,37.49,7.68%,4,416,236
VIV,13.17,-0.38%,727,659
VITL,11.06,3.60%,1,279,679
VISN,12.53,0.28%,2,237,915
VIR,10.05,-1.12%,1,673,342
VIPS,13.41,1.86%,1,515,843
VICI,27.03,1.53%,15,923,418
VIAV,48.57,-2.80%,5,070,302
VIA,14.96,-0.53%,573,414
VGNT,41.61,-2.56%,1,055,422
VG,10.45,-6.78%,9,262,857
VFS,3.12,-1.11%,353,205
VFC,17.30,2.28%,4,354,569
VET,9.39,-4.60%,1,068,088
VERX,11.23,2.88%,646,935
VERA,39.86,4.35%,1,332,438
VELO,18.01,-12.83%,2,857,561
VCEL,41.78,3.44%,415,485
VALE,14.82,-3.20%,19,786,387
UWMC,2.03,0.00%,20,468,477
UUUU,14.69,-5.07%,8,881,329
UTZ,7.31,3.67%,1,200,024
UTI,39.35,-0.99%,274,730
USAS,4.49,-8.47%,3,759,082
USAR,21.17,-7.51%,10,342,275
USA,5.66,0.09%,1,317,255
UROY,2.74,-5.90%,1,239,315
URGN,34.89,-0.74%,325,913
URG,1.34,-4.96%,7,718,175
UPWK,8.32,1.40%,1,435,898
UPST,32.68,3.88%,3,632,802
UPBD,19.11,2.25%,747,914
UPB,6.36,0.71%,385,584
UNIT,11.36,-1.30%,889,803
UMH,15.44,1.94%,263,660
UMC,27.48,4.89%,18,573,145
UMAC,19.33,-10.13%,3,036,429
ULCC,7.38,1.72%,2,631,199
UGP,4.89,-1.11%,1,502,850
UGI,34.93,0.60%,1,066,937
UEC,10.79,-4.81%,5,102,448
UE,23.49,2.50%,1,089,053
UDR,38.40,0.30%,3,189,797
UCB,34.47,1.26%,502,804
UBSI,45.72,0.94%,758,194
UBS,49.33,-1.91%,1,466,665
UAMY,6.45,-8.06%,6,919,427
UAA,6.07,4.93%,6,126,971
UA,5.86,4.49%,2,259,080
U,27.14,-1.70%,3,586,098
TYRA,30.66,1.98%,311,022
TXG,34.41,7.97%,1,717,824
TWO,12.36,0.30%,429,209
TWI,7.41,1.79%,157,995
TV,2.74,1.29%,463,029
TUYA,1.78,-3.26%,652,782
TU,11.33,-1.39%,3,588,806
TTI,9.91,-2.17%,746,547
TTEK,28.37,1.16%,2,887,295
TTD,17.94,0.08%,9,265,666
TSSI,11.90,-6.49%,508,747
TSLX,16.71,1.33%,499,357
TSHA,6.87,0.11%,924,190
TSCO,30.09,1.37%,5,859,768
TRVI,17.49,0.63%,1,389,168
TRTX,8.56,-0.98%,288,109
TRS,43.26,0.38%,201,292
TROX,6.72,0.60%,2,203,895
TRON,1.42,-6.25%,549,878
TRN,35.20,0.36%,208,690
TRMD,28.69,-1.53%,1,254,333
TRLV,8.40,-1.52%,2,137,214
TRIP,12.84,3.63%,2,324,765
TRIN,16.83,-0.36%,680,146
TREX,48.97,8.00%,1,318,781
TPG,38.79,-1.98%,2,813,140
TOWN,36.07,1.49%,233,874
TOST,26.18,6.82%,10,624,904
TOI,5.13,1.89%,1,031,557
TNGX,29.27,3.10%,3,362,918
TNDM,15.15,5.10%,1,352,341
TMQ,3.29,-7.72%,1,575,740
TME,8.19,-0.18%,3,449,309
TMC,4.49,-6.74%,4,485,312
TLS,4.36,0.46%,298,710
TLRY,4.59,-0.43%,1,746,063
TLK,14.18,-1.75%,661,434
TKC,6.01,-0.50%,2,853,811
TK,12.08,-2.97%,218,773
TILE,34.04,5.03%,188,906
TIGR,4.68,0.75%,1,518,370
TIC,8.12,-0.61%,545,836
THM,1.84,-10.49%,1,530,579
TH,20.01,-2.49%,923,869
TGB,6.27,-6.28%,3,393,620
TFSL,17.01,0.78%,621,447
TFPM,27.73,-3.73%,319,907
TEVA,33.97,2.29%,4,958,335
TEO,12.75,-2.15%,507,912
TENX,12.96,-4.95%,491,189
TENB,28.02,2.79%,823,910
TE,8.34,-9.74%,20,068,279
TDUP,6.53,5.15%,975,177
TDS,37.74,-3.40%,394,704
TDOC,7.78,1.11%,2,216,309
TDC,31.50,1.11%,1,052,880
TDAY,7.99,-0.44%,597,052
TCOM,46.32,1.80%,1,803,036
TBLA,4.61,-1.39%,1,312,642
TBBB,42.29,0.47%,235,303
TASK,4.89,4.21%,499,198
TAP,40.91,3.02%,1,665,463
TALO,13.61,-2.51%,786,749
TALK,5.20,0.00%,2,595,582
TAL,9.26,-1.90%,1,444,720
TAK,15.84,0.01%,1,872,219
TAC,13.62,-0.47%,649,979
T,22.53,-1.25%,34,256,311
SYM,38.82,0.65%,1,388,810
SXC,8.06,-3.74%,810,979
