ticker,price,change,volume
ZZYME,24.00,-0.79%,94,816
ZZWS,47.62,-0.23%,117,148
ZZVRA,12.73,-0.29%,110,173
ZZURA,5.50,0.92%,99,692
ZZTO,24.17,1.05%,69,431
ZZNTL,5.37,5.07%,320,645
ZZLAB,20.24,0.20%,31,981
ZZIP,3.83,-3.41%,33,585
ZZIM,24.25,-0.19%,69,645
ZZGN,13.84,-0.44%,53,786
ZZG,32.66,-3.11%,173,600
ZZETA,21.14,-2.49%,1,028,656
ZZBIO,30.29,2.58%,47,033
ZZ,32.91,-2.94%,311,457
YYUMC,43.86,-0.02%,150,150
YYSWY,20.70,-0.91%,21,140
YYSS,17.78,-0.84%,71,792
YYPF,49.62,-0.13%,84,429
YYMM,9.27,1.48%,1,703,269
YYEXT,5.29,-0.94%,129,352
YYELP,26.10,-0.47%,37,158
XXXI,5.29,-0.94%,96,402
XXRX,2.61,-5.96%,435,856
XXRAY,13.84,-1.49%,314,274
XXPRO,16.40,-0.52%,43,676
XXPEV,13.27,-1.92%,1,163,176
XXP,16.91,1.44%,317,665
XXNDU,10.48,4.91%,221,569
XXNCR,18.92,8.30%,635,364
XXMAX,8.49,-0.24%,37,854
XXIFR,12.15,1.08%,25,807
XXHR,21.18,0.88%,42,537
XXFOR,3.80,-0.52%,71,049
XXERS,8.78,-0.17%,480,805
XXE,14.39,2.60%,703,364
WWYFI,27.08,7.66%,586,116
WWY,24.10,-1.57%,547,921
WWWW,18.34,-0.19%,38,162
WWVE,5.88,1.00%,166,030
WWULF,19.42,6.94%,7,455,822
WWU,8.49,-4.37%,1,409,759
WWTTR,20.65,1.57%,172,131
WWTRG,39.85,0.42%,72,917
WWTI,3.41,-2.19%,577,708
WWT,20.13,0.40%,209,177
WWSR,18.99,0.00%,0
WWSE,12.45,-1.31%,127,393
WWSC,27.02,-0.75%,89,571
WWSBC,40.56,-0.58%,45,933
WWRN,2.13,0.00%,149,559
WWRD,5.96,-0.33%,368,644
WWRBY,25.74,-2.55%,231,260
WWOOF,2.63,-0.94%,110,426
WWOLF,29.23,-2.22%,542,871
WWNC,13.34,-0.74%,88,810
WWMG,28.25,-0.30%,563,412
WWLTH,9.18,-0.92%,35,419
WWKC,36.27,-0.63%,43,851
WWIT,1.84,-0.82%,438,947
WWHR,37.08,-3.04%,368,111
WWGO,30.24,-1.51%,40,754
WWEST,7.53,-1.95%,30,134
WWES,46.49,1.14%,50,291
WWERN,45.66,-0.82%,55,554
WWEN,7.69,-0.90%,911,649
WWEAV,7.07,-2.21%,83,172
WWDS,21.55,-0.79%,67,631
WWBI,34.56,-0.42%,59,044
WWBD,26.66,-0.78%,1,598,824
WWB,7.92,2.19%,152,190
WWAY,21.92,-1.55%,179,262
WWAFD,37.29,-2.18%,91,136
VVZLA,3.14,2.44%,596,617
VVZ,43.29,-0.69%,2,653,129
VVYX,8.02,-2.31%,170,187
VVVV,39.72,-0.64%,89,105
VVVR,2.96,0.00%,30,571
VVTS,15.69,-1.40%,26,218
VVTRS,17.32,0.14%,541,920
VVTEX,4.18,-0.45%,156,280
VVSTS,16.52,0.12%,120,083
VVSTM,6.03,0.00%,358,206
VVSNT,35.85,-0.14%,72,048
VVSH,37.54,-0.70%,841,109
VVRRM,4.05,-1.70%,334,813
VVRNS,47.95,0.86%,91,943
VVRDN,18.39,2.00%,340,505
VVOYG,25.26,-2.47%,173,148
VVOR,17.68,-2.27%,66,151
VVOD,15.40,-2.16%,626,479
VVNT,29.99,-1.20%,59,049
VVNOM,44.22,-0.36%,109,393
VVNO,40.25,-0.22%,74,845
VVNET,7.71,4.33%,456,798
VVNDA,5.43,-0.09%,84,584
VVLY,14.85,-0.67%,549,486
VVLRS,7.72,0.78%,50,032
VVKTX,37.35,0.73%,291,619
VVIV,13.97,0.14%,46,161
VVITL,13.48,-0.48%,120,090
VVISN,12.22,0.78%,307,040
VVIR,9.33,-1.06%,82,980
VVIPS,14.64,0.97%,116,720
VVICI,26.83,-0.17%,346,698
VVIAV,40.02,4.87%,786,102
VVIA,17.64,-1.78%,49,153
VVGNT,40.17,0.39%,21,762
VVG,13.89,0.62%,2,668,313
VVFS,3.12,-1.11%,62,412
VVFC,16.91,-0.41%,501,602
VVET,9.71,-1.22%,78,966
VVERX,12.47,-2.58%,222,721
VVERA,38.44,-0.16%,77,003
VVELO,10.23,-3.40%,273,800
VVCEL,46.56,-0.17%,27,749
VVALE,14.22,0.18%,2,604,296
UUWMC,1.93,-4.46%,3,519,583
UUUUU,11.44,-0.48%,955,485
UUTZ,7.39,2.56%,199,312
UUTI,40.46,0.36%,25,900
UUSAS,3.78,-0.13%,548,739
UUSAR,15.02,-4.02%,2,895,771
UUSA,5.74,-0.09%,160,095
UUROY,2.76,-1.78%,316,691
UURGN,40.53,0.75%,68,047
UURG,1.20,-2.28%,1,074,389
UUPWK,9.02,-0.49%,580,495
UUPST,28.79,-2.44%,600,906
UUPBD,21.76,-1.81%,59,202
UUPB,6.83,-2.57%,39,720
UUNIT,11.19,1.36%,74,525
UUNFI,48.86,-0.48%,27,334
UUMH,15.70,0.06%,23,740
UUMC,20.58,-3.18%,2,807,882
UUMAC,16.99,0.35%,338,146
UULCC,6.22,-0.24%,252,833
UUGP,6.28,0.48%,661,794
UUGI,36.57,-0.14%,39,435
