ticker,price,change,volume
ZYME,24.35,1.97%,206,783
ZWS,49.91,3.42%,442,556
ZVRA,13.03,0.23%,597,029
ZURA,4.21,-2.21%,606,147
ZTO,21.87,-0.50%,817,881
ZLAB,18.38,-0.59%,625,787
ZIM,25.16,-1.06%,576,521
ZGN,13.22,0.76%,672,356
ZG,30.93,1.21%,1,147,889
ZETA,18.72,-4.05%,6,798,450
ZD,48.13,3.74%,471,713
ZBIO,21.72,7.52%,552,352
Z,31.04,1.76%,2,395,403
YUMC,41.09,0.32%,1,030,624
YSWY,20.82,-3.72%,180,697
YSS,26.28,-7.97%,906,965
YPF,45.53,-5.21%,1,582,443
YMM,7.84,2.55%,4,373,278
YEXT,4.12,4.83%,663,671
YETI,49.63,3.46%,473,469
YELP,23.34,2.96%,426,946
XXI,5.39,-5.86%,896,448
XRX,3.12,-0.64%,1,569,954
XRAY,10.43,2.21%,2,335,282
XPRO,13.03,-2.72%,1,056,406
XPOF,6.83,0.21%,393,151
XPEV,12.48,-2.23%,3,315,113
XP,15.68,-0.25%,2,248,840
XNDU,11.77,-3.80%,1,412,810
XNCR,14.45,2.63%,448,343
XMAX,8.32,-3.26%,778,014
XIFR,11.59,0.43%,398,526
XHR,20.17,0.71%,409,734
XERS,7.44,3.30%,1,015,068
XE,19.15,-9.20%,3,001,450
WYFI,38.04,-15.01%,3,235,612
WY,25.53,4.45%,3,439,121
WWW,17.26,2.98%,369,144
WVE,6.05,0.08%,2,121,027
WULF,26.09,-9.35%,21,345,461
WU,7.24,2.99%,4,224,529
WTTR,18.19,-1.92%,825,041
WTRG,37.78,1.30%,1,079,838
WTI,3.10,-6.84%,2,390,934
WT,17.81,-2.86%,2,440,396
WSR,18.94,0.03%,227,534
WSE,10.93,-2.00%,1,233,833
WSC,28.50,2.33%,680,355
WSBC,37.99,1.89%,731,222
WRN,2.07,-6.14%,1,866,605
WRD,5.60,-2.61%,1,540,666
WRBY,26.92,4.98%,1,838,022
WPP,16.61,-1.95%,773,601
WOOF,2.59,2.78%,1,165,784
WOLF,44.20,-9.63%,3,553,632
WNC,13.00,3.17%,925,421
WMG,27.11,-1.56%,970,189
WLTH,8.10,-1.34%,682,519
WKC,31.84,-0.31%,314,953
WK,48.10,2.37%,372,491
WIX,42.43,4.95%,820,878
WIT,2.23,-2.62%,6,883,476
WHR,37.83,4.52%,1,279,602
WHK,27.01,-2.31%,180,241
WGO,28.42,0.50%,1,018,860
WEST,9.67,6.50%,522,031
WES,42.61,-2.08%,627,059
WERN,41.00,-0.07%,474,282
WEN,8.05,28.70%,182,765,905
WEAV,5.48,0.72%,570,451
WDS,19.09,-3.37%,769,673
WBI,28.45,-0.47%,1,059,102
WBD,27.16,1.04%,25,703,540
WB,7.31,-0.15%,439,137
WAY,18.87,2.50%,1,255,962
WAFD,37.64,1.02%,291,557
VZLA,3.07,-8.36%,4,343,663
VZ,45.82,-1.95%,13,806,644
VYX,7.55,7.93%,1,367,813
VVV,39.54,3.18%,962,448
VVR,3.00,0.67%,293,362
VTS,15.72,-2.63%,299,639
VTRS,15.89,0.91%,4,342,934
VTEX,3.61,3.00%,2,236,821
VSTS,13.42,1.70%,613,506
VSTM,3.93,-6.53%,1,786,549
VSNT,37.97,0.25%,711,048
VRRM,4.42,0.45%,2,509,412
VRNS,36.81,5.08%,2,356,483
VRDN,17.46,1.02%,639,253
VOYG,30.96,-7.86%,1,486,673
VOR,14.56,-1.96%,475,136
VOD,13.85,-1.46%,1,793,339
VNT,30.30,0.75%,696,261
VNOM,43.32,-0.82%,844,033
VNO,38.10,1.19%,730,373
VNET,8.15,-2.45%,1,257,182
VNDA,5.93,-0.34%,488,899
VLY,14.56,1.22%,3,085,441
VLRS,9.11,-0.92%,538,469
VKTX,37.79,8.57%,4,041,475
VIV,13.18,-0.30%,667,232
VITL,11.04,3.36%,1,173,746
VISN,12.52,0.12%,2,021,955
VIR,10.08,-0.79%,1,563,529
VIPS,13.41,1.82%,1,439,884
VICI,27.06,1.63%,15,335,747
VIAV,48.95,-2.04%,4,706,432
VIA,14.96,-0.53%,490,276
VGNT,41.51,-2.79%,968,700
VG,10.48,-6.53%,7,691,525
VFS,3.12,-1.42%,330,230
VFC,17.25,1.98%,3,814,310
VET,9.44,-4.12%,1,020,106
VERX,11.26,3.07%,582,471
VERA,39.90,4.45%,1,243,457
VELO,17.88,-13.46%,2,697,440
VCEL,41.94,3.83%,379,606
VALE,14.82,-3.17%,18,237,451
UWMC,2.04,0.49%,19,540,620
UUUU,14.78,-4.43%,8,338,139
UTZ,7.29,3.40%,1,134,152
UTI,39.31,-1.10%,254,578
USAS,4.50,-8.16%,3,435,324
USAR,21.29,-6.99%,9,636,334
USA,5.66,0.10%,1,218,525
UROY,2.74,-5.84%,1,167,202
URGN,34.98,-0.48%,305,379
URG,1.35,-4.11%,6,772,014
UPWK,8.31,1.28%,1,106,610
UPST,32.56,3.50%,3,413,316
UPBD,19.07,2.03%,688,062
UPB,6.38,0.95%,339,777
UNIT,11.40,-0.91%,699,732
UMH,15.46,2.05%,241,342
UMC,27.66,5.58%,17,649,232
UMAC,19.42,-9.72%,2,772,431
ULCC,7.35,1.40%,2,429,087
UGP,4.89,-0.93%,1,374,147
UGI,34.86,0.40%,949,393
UEC,10.87,-4.11%,4,519,790
UE,23.52,2.62%,994,083
UDR,38.51,0.61%,2,961,036
