ticker,price,change,volume
ZYME,24.32,1.84%,202,581
ZWS,49.99,3.58%,442,156
ZVRA,13.03,0.23%,596,359
ZURA,4.22,-2.00%,604,060
ZTO,21.87,-0.50%,816,933
ZLAB,18.38,-0.59%,623,288
ZIM,25.17,-1.00%,573,730
ZGN,13.22,0.76%,670,993
ZG,30.93,1.21%,1,147,148
ZETA,18.74,-3.97%,6,774,020
ZD,48.14,3.76%,467,414
ZBIO,21.66,7.19%,552,159
Z,31.04,1.76%,2,394,573
YUMC,41.10,0.34%,1,027,064
YSWY,20.89,-3.39%,180,610
YSS,26.28,-7.98%,899,407
YPF,45.51,-5.26%,1,578,992
YMM,7.84,2.57%,4,364,742
YEXT,4.12,4.90%,656,917
YETI,49.63,3.46%,473,219
YELP,23.34,2.96%,426,479
XXI,5.39,-5.86%,890,508
XRX,3.15,0.19%,1,569,008
XRAY,10.44,2.31%,2,333,690
XPRO,13.02,-2.84%,1,053,925
XPOF,6.84,0.33%,392,962
XPEV,12.48,-2.16%,3,300,924
XP,15.69,-0.22%,2,244,505
XNDU,11.77,-3.76%,1,411,618
XNCR,14.45,2.63%,447,631
XMAX,8.32,-3.26%,772,483
XIFR,11.58,0.35%,397,391
XHR,20.17,0.70%,406,146
XERS,7.45,3.44%,1,014,073
XE,19.15,-9.22%,2,997,351
WYFI,38.17,-14.72%,3,229,791
WY,25.53,4.48%,3,425,002
WWW,17.27,3.02%,368,915
WVE,6.05,0.17%,2,115,816
WULF,26.05,-9.49%,21,181,937
WU,7.24,2.99%,4,220,764
WTTR,18.19,-1.93%,822,977
WTRG,37.76,1.25%,1,079,647
WTI,3.11,-6.76%,2,390,413
WT,17.81,-2.85%,2,438,982
WSR,18.95,0.05%,225,673
WSE,10.90,-2.20%,1,232,249
WSC,28.45,2.15%,674,017
WSBC,37.98,1.88%,719,234
WRN,2.06,-6.32%,1,866,152
WRD,5.61,-2.52%,1,540,441
WRBY,26.92,4.97%,1,834,780
WPP,16.60,-2.00%,773,512
WOOF,2.58,2.57%,1,156,690
WOLF,44.30,-9.43%,3,539,632
WNC,13.02,3.37%,921,274
WMG,27.12,-1.51%,968,623
WLTH,8.11,-1.18%,681,931
WKC,31.83,-0.34%,310,504
WK,48.11,2.41%,371,456
WIX,42.42,4.92%,820,759
WIT,2.23,-2.40%,6,877,280
WHR,37.80,4.45%,1,265,010
WHK,27.01,-2.31%,180,241
WGO,28.26,-0.07%,1,004,198
WEST,9.66,6.44%,520,091
WES,42.56,-2.18%,626,414
WERN,40.99,-0.09%,472,569
WEN,8.06,28.94%,182,650,354
WEAV,5.47,0.55%,569,980
WDS,19.10,-3.34%,767,911
WBI,28.40,-0.65%,1,040,703
WBD,27.15,1.00%,25,680,356
WB,7.30,-0.20%,438,230
WAY,18.87,2.50%,1,254,933
WAFD,37.64,1.02%,291,527
VZLA,3.08,-8.17%,4,235,152
VZ,45.82,-1.94%,13,761,744
VYX,7.56,8.00%,1,363,933
VVV,39.54,3.18%,958,853
VVR,3.00,0.67%,293,322
VTS,15.74,-2.49%,296,733
VTRS,15.90,0.96%,4,334,424
VTEX,3.61,3.00%,2,235,230
VSTS,13.42,1.67%,613,307
VSTM,3.95,-6.22%,1,781,361
VSNT,37.98,0.26%,709,400
VRRM,4.43,0.72%,2,486,813
VRNS,36.78,5.00%,2,351,322
VRDN,17.42,0.81%,639,046
VOYG,31.00,-7.74%,1,460,661
VOR,14.56,-1.95%,472,957
VOD,13.85,-1.46%,1,788,899
VNT,30.31,0.81%,692,663
VNOM,43.32,-0.81%,841,421
VNO,38.08,1.13%,727,165
VNET,8.15,-2.45%,1,246,603
VNDA,5.93,-0.33%,486,664
VLY,14.56,1.22%,3,078,997
VLRS,9.11,-0.98%,537,062
VKTX,37.74,8.42%,4,035,475
VIV,13.17,-0.38%,656,601
VITL,11.04,3.34%,1,171,787
VISN,12.52,0.12%,2,017,619
VIR,10.08,-0.75%,1,562,506
VIPS,13.42,1.89%,1,438,348
VICI,27.05,1.61%,15,326,916
VIAV,49.08,-1.78%,4,671,915
VIA,15.00,-0.27%,453,935
VGNT,41.51,-2.78%,967,473
VG,10.48,-6.56%,7,640,513
VFS,3.12,-1.11%,329,202
VFC,17.26,2.08%,3,810,067
VET,9.43,-4.22%,1,017,566
VERX,11.26,3.13%,581,280
VERA,39.84,4.29%,1,238,975
VELO,17.93,-13.21%,2,691,959
VCEL,41.91,3.77%,378,885
VALE,14.82,-3.17%,18,174,635
UWMC,2.05,0.99%,19,522,794
UUUU,14.84,-4.10%,8,196,836
UTZ,7.28,3.33%,1,128,714
UTI,39.35,-1.01%,253,882
USAS,4.51,-7.97%,3,427,738
USAR,21.33,-6.82%,9,596,019
USA,5.65,0.00%,1,214,825
UROY,2.75,-5.38%,1,163,386
URGN,35.04,-0.31%,304,873
URG,1.36,-3.90%,6,753,104
UPWK,8.33,1.50%,1,095,630
UPST,32.60,3.61%,3,397,231
UPBD,19.07,2.03%,685,216
UPB,6.39,1.11%,339,142
UNIT,11.43,-0.74%,695,812
UMH,15.45,1.98%,240,784
UMC,27.63,5.46%,17,598,829
UMAC,19.64,-8.68%,2,722,178
ULCC,7.36,1.52%,2,420,898
UGP,4.89,-0.99%,1,372,330
UGI,34.82,0.28%,944,966
UEC,10.88,-4.06%,4,463,416
UE,23.49,2.51%,986,933
UDR,38.53,0.64%,2,936,803
UCB,34.53,1.44%,453,550
UBSI,45.67,0.84%,694,059
UBS,49.35,-1.86%,1,382,254
UAMY,6.52,-7.02%,6,003,062
UAA,6.07,5.02%,5,357,794
UA,5.87,4.64%,1,858,058
U,27.25,-1.32%,3,059,883
TYRA,30.93,2.91%,282,452
TXG,34.69,8.85%,1,535,770
TWO,12.35,0.25%,403,084
TWI,7.43,2.12%,143,176
TV,2.74,1.11%,438,958
TUYA,1.78,-3.26%,580,922
TU,11.32,-1.48%,3,382,191
TTI,9.97,-1.58%,630,175
TTEK,28.38,1.21%,2,586,093
TTD,17.91,-0.13%,8,242,347
TSSI,12.08,-5.03%,462,741
TSLX,16.76,1.64%,426,794
TSHA,6.93,1.07%,825,350
TSCO,30.03,1.17%,5,100,451
TRVI,17.62,1.38%,1,170,328
TRTX,8.60,-0.56%,255,576
TRS,43.49,0.92%,164,068
TROX,6.76,1.12%,1,896,898
TRON,1.43,-5.59%,440,757
TRN,35.16,0.26%,187,369
TRMD,28.75,-1.34%,1,102,004
TRLV,8.36,-1.99%,2,061,180
TRIP,12.82,3.51%,2,167,094
TRIN,16.87,-0.11%,604,724
TREX,48.77,7.57%,1,186,172
TPG,39.12,-1.16%,2,458,829
TOWN,36.00,1.29%,205,589
TOST,26.14,6.65%,9,945,450
TOI,5.12,1.77%,973,482
TNGX,29.48,3.84%,3,090,684
TNDM,15.06,4.49%,1,194,218
TMQ,3.32,-6.88%,1,381,358
TME,8.21,0.07%,3,172,393
TMC,4.50,-6.69%,4,100,238
TLS,4.36,0.35%,269,247
TLRY,4.57,-0.76%,1,588,564
TLK,14.17,-1.78%,586,343
TKC,6.01,-0.50%,2,807,623
TK,12.10,-2.81%,196,775
TILE,33.92,4.66%,165,094
TIGR,4.72,1.40%,1,406,279
TIC,8.15,-0.31%,487,859
THM,1.84,-10.24%,1,487,292
TH,19.92,-2.93%,814,707
TGB,6.32,-5.61%,3,170,483
TFSL,16.98,0.56%,496,682
TFPM,27.79,-3.52%,277,290
TEVA,34.15,2.83%,4,739,059
TEO,12.75,-2.15%,479,443
TENX,13.06,-4.22%,460,870
TENB,27.79,1.94%,693,390
TE,8.40,-9.12%,18,707,943
TDUP,6.56,5.61%,865,264
TDS,37.69,-3.53%,322,335
TDOC,7.83,1.88%,2,070,804
TDC,31.54,1.22%,918,646
TDAY,7.93,-1.06%,509,697
TCOM,46.33,1.83%,1,707,885
TBLA,4.61,-1.28%,1,220,521
TBBB,42.44,0.83%,218,012
TASK,4.88,3.94%,474,087
TAP,40.82,2.80%,1,482,177
TALO,13.61,-2.47%,724,366
TALK,5.20,0.00%,2,403,730
TAL,9.28,-1.73%,1,328,864
TAK,15.84,0.00%,1,655,186
TAC,13.81,0.91%,563,884
T,22.48,-1.47%,31,661,232
SYM,38.58,0.03%,1,138,538
