ticker,price,change,volume
ZYME,23.43,1.24%,45,648
ZWS,49.86,-0.24%,30,385
ZVRA,12.91,0.11%,193,507
ZURA,3.87,3.21%,86,992
ZTO,22.17,0.77%,137,463
ZLAB,18.37,1.05%,200,487
ZIM,24.97,2.59%,261,219
ZGN,13.82,-0.36%,66,478
ZG,32.57,0.25%,81,621
ZETA,19.19,1.53%,1,566,922
ZD,46.26,0.51%,38,482
ZBIO,20.73,4.79%,59,692
Z,32.22,0.33%,382,194
YUMC,42.13,-1.86%,257,069
YSWY,20.89,2.15%,24,111
YSS,28.73,-6.72%,367,508
YPF,49.33,-2.22%,96,204
YMM,7.82,0.32%,656,165
YICCU,10.05,-0.30%,10,531
YEXT,3.99,5.00%,177,987
YETI,48.65,-0.65%,24,529
YELP,23.04,0.70%,53,860
XXI,5.97,8.24%,277,363
XRX,3.10,2.65%,371,595
XRAY,10.31,-0.15%,688,241
XPRO,13.58,-1.74%,36,063
XPEV,13.20,-0.04%,1,233,836
XP,16.04,4.84%,608,571
XNDU,13.35,-0.15%,759,308
XNCR,13.59,7.52%,74,013
XMAX,8.26,0.36%,36,580
XIFR,11.82,0.00%,32,602
XHR,20.12,0.52%,33,337
XERS,7.04,1.29%,184,952
XE,20.68,-4.10%,607,630
WYFI,44.48,15.56%,1,314,578
WY,24.47,0.62%,570,545
WWW,17.42,-1.02%,39,555
WVE,6.22,0.89%,223,726
WULF,29.45,1.62%,3,819,817
WU,7.22,1.33%,696,743
WTTR,17.82,0.68%,76,668
WTRG,36.62,-0.22%,160,065
WTI,3.25,1.25%,618,156
WT,18.88,3.09%,334,525
WSR,18.93,-0.08%,143,103
WSE,11.05,1.94%,387,187
WSC,28.96,0.42%,123,008
WSBC,36.80,1.41%,85,815
WRN,2.32,-2.11%,147,673
WRD,6.20,-2.28%,763,344
WRBY,26.88,3.53%,306,704
WPP,18.36,2.18%,69,725
WOOF,2.62,0.00%,210,399
WNC,11.95,5.19%,45,390
WMG,27.85,-1.14%,78,559
WLTH,8.57,1.54%,82,036
WKC,31.59,1.51%,109,750
WK,47.70,0.69%,49,580
WIX,43.22,1.71%,148,272
WIT,2.23,-6.69%,1,036,352
WHR,38.93,0.18%,317,047
WHK,27.45,0.29%,3,524
WGO,28.24,-1.51%,31,032
WEST,8.90,-1.50%,89,732
WES,42.81,-0.36%,71,275
WERN,41.05,0.89%,26,250
WEN,6.64,-2.33%,1,258,690
WEAV,5.32,2.40%,88,846
WDS,20.07,0.10%,59,292
WBI,30.26,-8.83%,646,637
WBD,26.48,1.06%,2,117,173
WB,7.38,0.68%,298,415
WAY,18.42,-0.27%,72,050
WAFD,36.83,0.96%,20,603
VZLA,3.55,-0.14%,439,174
VZ,45.50,0.29%,1,865,906
VYX,7.49,-0.07%,213,358
VVV,37.72,-0.91%,57,654
VVR,2.99,0.50%,78,525
VTS,16.10,0.56%,52,662
VTRS,15.09,-1.82%,697,908
VTEX,3.69,2.22%,154,621
VSTS,13.02,1.06%,126,234
VSTM,4.34,5.22%,185,456
VSNT,38.45,0.64%,71,025
VRRM,4.42,-0.37%,468,582
VRNS,34.22,2.53%,68,567
VRDN,17.93,7.79%,294,013
VOYG,35.27,-6.12%,411,810
VOR,15.03,3.73%,63,500
VOD,14.02,-1.92%,578,704
VNT,30.00,0.31%,64,193
VNOM,43.44,0.53%,112,527
VNO,37.45,-0.95%,84,151
VNET,8.61,-1.60%,1,170,269
VNDA,6.01,3.69%,91,344
VLY,14.29,1.41%,380,603
VLRS,9.09,1.31%,38,845
VKTX,32.07,5.56%,421,783
