ticker,price,change,volume
ZYME,23.41,1.17%,42,758
ZWS,49.83,-0.31%,29,717
ZVRA,13.00,0.78%,188,680
ZURA,3.88,3.33%,85,041
ZTO,22.15,0.66%,133,795
ZLAB,18.34,0.91%,196,664
ZIM,24.99,2.68%,241,178
ZGN,13.82,-0.36%,64,916
ZG,32.62,0.40%,78,075
ZETA,19.16,1.35%,1,535,871
ZD,46.41,0.83%,38,322
ZBIO,20.90,5.66%,58,370
Z,32.26,0.48%,375,102
YUMC,42.14,-1.84%,249,181
YSWY,20.89,2.15%,22,530
YSS,28.50,-7.47%,358,073
YPF,49.29,-2.30%,86,303
YMM,7.84,0.51%,591,417
YICCU,10.05,-0.30%,10,531
YEXT,3.98,4.76%,171,750
YETI,48.82,-0.31%,23,741
YELP,23.05,0.72%,52,794
XXI,5.96,7.92%,253,086
XRX,3.08,1.99%,362,872
XRAY,10.32,-0.10%,674,168
XPRO,13.59,-1.66%,31,694
XPEV,13.18,-0.26%,1,194,719
XP,16.06,4.97%,575,610
XNDU,13.45,0.60%,727,918
XNCR,13.60,7.63%,71,769
XMAX,8.28,0.65%,36,372
XIFR,11.85,0.25%,32,385
XHR,20.13,0.55%,30,069
XERS,7.07,1.73%,177,486
XE,20.71,-3.94%,595,859
WYFI,44.48,15.56%,1,207,268
WY,24.49,0.68%,494,785
WWW,17.48,-0.68%,36,865
WVE,6.20,0.69%,217,702
WULF,29.61,2.17%,3,646,160
WU,7.22,1.37%,685,146
WTTR,17.78,0.45%,75,760
WTRG,36.53,-0.46%,150,782
WTI,3.23,0.62%,600,754
WT,18.87,3.06%,331,520
WSR,18.93,-0.11%,119,808
WSE,11.03,1.75%,386,113
WSC,28.99,0.52%,121,640
WSBC,36.79,1.37%,69,445
WRN,2.33,-1.90%,145,868
WRD,6.18,-2.75%,693,903
WRBY,26.81,3.27%,298,657
WPP,18.33,2.00%,65,104
WOOF,2.62,-0.14%,203,653
WNC,11.99,5.55%,44,617
WMG,27.76,-1.45%,75,562
WLTH,8.50,0.73%,73,998
WKC,31.64,1.67%,104,831
WK,47.58,0.44%,44,491
WIX,42.57,0.18%,142,828
WIT,2.23,-6.49%,926,712
WHR,38.74,-0.30%,308,298
WHK,27.49,0.44%,3,470
WGO,28.28,-1.36%,29,109
WEST,8.90,-1.50%,89,048
WES,42.85,-0.24%,66,082
WERN,41.09,0.98%,22,461
WEN,6.68,-1.76%,1,226,603
WEAV,5.30,1.83%,85,789
WDS,20.05,0.01%,56,486
WBI,30.06,-9.42%,617,368
WBD,26.44,0.92%,1,987,631
WB,7.39,0.75%,295,183
WAY,18.38,-0.49%,69,543
WAFD,36.85,1.00%,18,932
VZLA,3.56,0.14%,427,196
VZ,45.53,0.34%,1,755,839
VYX,7.47,-0.20%,203,368
VVV,37.77,-0.79%,55,904
VVR,2.99,0.50%,78,525
VTS,16.07,0.37%,51,026
VTRS,15.20,-1.11%,600,818
VTEX,3.66,1.52%,136,585
VSTS,13.04,1.24%,118,103
VSTM,4.30,4.25%,169,111
VSNT,38.34,0.34%,70,036
VRRM,4.42,-0.45%,457,653
VRNS,33.85,1.41%,60,879
VRDN,17.87,7.43%,274,327
VOYG,34.85,-7.24%,384,441
VOR,14.97,3.31%,54,843
VOD,14.04,-1.79%,560,013
VNT,30.02,0.37%,62,674
VNOM,43.46,0.58%,107,683
VNO,37.42,-1.04%,69,687
VNET,8.65,-1.14%,1,158,201
VNDA,6.02,3.72%,89,303
VLY,14.28,1.38%,355,102
VLRS,9.10,1.45%,32,782
VKTX,31.96,5.20%,399,638
VIV,12.79,1.58%,77,780
VITL,10.26,-1.45%,483,248
VISN,12.83,1.34%,289,805
VIR,9.51,3.82%,104,622
VIPS,13.22,-0.82%,168,259
VICI,26.33,0.19%,1,238,362
VIAV,49.40,4.74%,1,133,558
VIA,15.75,3.01%,46,949
VGZ,2.31,-3.35%,264,747
VGNT,46.60,1.55%,51,296
VG,11.15,1.23%,1,382,992
VFS,3.05,0.44%,80,117
VFC,17.02,-1.76%,319,134
VET,9.81,-0.20%,102,861
VERX,11.01,-0.99%,170,372
VERA,37.50,6.87%,148,032
VELO,26.54,-11.12%,839,727
VCEL,40.86,1.90%,24,489
VALE,15.67,1.63%,1,959,207
UWMC,2.19,-1.35%,2,319,121
UUUU,16.28,-1.69%,2,076,150
UTZ,7.01,-0.57%,194,539
UTI,40.35,0.00%,49,866
USAS,5.41,0.93%,749,901
USAR,25.70,4.30%,4,414,683
USA,5.77,-0.52%,124,285
UROY,2.95,0.00%,249,436
URGN,34.72,3.41%,46,144
URG,1.47,-2.33%,3,118,982
UPWK,7.98,-0.87%,217,572
UPST,33.00,1.76%,426,287
UPBD,18.60,1.56%,67,234
UPB,6.45,3.28%,34,397
UNIT,11.40,-2.06%,132,055
UMH,15.02,-0.27%,24,142
UMC,27.92,15.95%,6,075,310
UMAC,24.05,-3.74%,526,998
ULCC,7.37,2.08%,654,610
UGP,4.86,1.15%,330,290
UGI,33.88,0.21%,65,735
UEC,11.66,-2.87%,1,627,809
UE,22.25,-0.09%,49,488
UDR,37.37,-0.50%,165,475
UCB,33.29,1.34%,33,219
UBSI,45.08,1.50%,45,744
UAMY,7.84,-0.19%,864,199
UAA,5.99,-1.16%,501,685
UA,5.80,-1.11%,148,035
U,27.46,-0.07%,443,460
TYRA,28.68,1.27%,30,715
TXG,35.74,2.83%,333,065
TWO,12.32,-0.04%,134,831
TWI,7.64,0.92%,36,188
TV,2.88,-3.68%,62,224
TUYA,1.89,0.89%,135,043
TU,11.45,-0.78%,476,859
TTI,10.20,-0.40%,47,600
TTEK,27.32,-0.15%,165,086
TTD,18.57,0.33%,1,580,871
TSSI,13.93,2.73%,129,840
TSLX,16.68,0.42%,73,401
TSHA,6.64,3.43%,432,326
TSCO,30.29,0.17%,769,322
TRVI,17.74,3.08%,503,142
TRTX,8.62,0.23%,19,667
TRS,43.69,-0.18%,13,300
TROX,7.17,-3.11%,202,553
TRON,1.68,3.07%,94,575
TRN,34.83,1.05%,14,647
TRMD,29.90,1.67%,77,651
TRMB,49.52,0.73%,299,893
TRLV,9.55,-5.45%,245,462
TRIP,12.86,-0.81%,398,898
TRIN,17.06,1.37%,330,305
TREX,46.92,-0.44%,47,139
TPG,42.01,-0.10%,111,617
TOWN,35.08,1.08%,14,195
TOST,24.94,1.16%,727,317
TOI,5.17,-1.71%,74,182
TNGX,28.49,1.86%,801,167
TNDM,15.27,-0.20%,171,744
TMQ,3.80,0.26%,363,369
TME,8.42,-3.55%,1,513,890
TMC,5.20,1.27%,528,466
TLS,4.50,-0.44%,51,494
TLRY,4.81,1.69%,444,043
TLK,14.36,-3.49%,225,620
TKC,6.03,-1.23%,62,475
TK,12.24,2.77%,28,265
TILE,32.90,1.03%,20,702
TIGR,4.79,1.74%,440,002
TIC,8.35,-0.83%,130,550
THM,2.18,-1.18%,93,190
TH,20.14,-0.10%,51,114
TGB,7.05,-1.26%,342,819
TFSL,16.61,1.16%,71,787
TFPM,29.53,-1.73%,40,376
TFC,48.93,1.24%,646,472
TEVA,31.57,0.29%,727,956
TENX,12.18,1.50%,135,341
TENB,27.17,1.12%,126,303
TE,10.39,11.07%,10,012,079
TDUP,6.27,4.33%,173,145
TDS,39.64,0.13%,34,544
TDOC,8.03,-0.50%,444,943
TDC,30.52,-1.17%,159,755
TDAY,7.85,-0.34%,36,809
TCOM,45.99,1.97%,507,470
TBLA,4.66,-0.85%,292,106
TBBB,42.06,-0.10%,20,814
TASK,4.95,0.81%,119,651
TAP,39.15,-0.62%,176,307
TALO,13.90,0.94%,80,410
TALK,5.20,-0.19%,101,904
TAL,9.10,-1.03%,325,058
TAK,15.45,-1.12%,173,542
TAC,13.97,1.67%,65,396
T,22.22,0.95%,5,461,115
SYM,40.95,-1.75%,236,830
SXC,8.49,-1.79%,92,022
SWMR,43.06,3.04%,55,682
SWIM,5.80,-0.34%,42,502
SWBI,15.65,-2.67%,336,072
SW,45.06,1.96%,417,658
SVV,10.20,0.52%,56,682
SVRA,5.65,2.66%,150,715
SVM,11.23,-0.84%,530,555
SVC,1.66,-1.78%,506,360
SUZ,8.27,-1.49%,145,860
SUPV,10.76,-5.42%,99,298
SUPN,44.58,0.45%,20,140
STWD,16.73,0.15%,421,314
STVN,17.92,2.17%,14,662
STUB,11.74,0.51%,428,374
STTK,5.16,4.29%,57,164
STOK,31.52,1.69%,61,150
STNE,10.90,2.88%,277,609
STLA,6.40,0.95%,2,573,751
STGW,6.84,1.94%,61,313
STEP,46.35,2.54%,28,747
STAG,37.86,0.16%,51,023
STAA,28.83,-0.98%,38,158
SSYS,9.10,1.96%,79,002
SSRM,30.55,-1.29%,374,451
SSMR,13.25,-3.21%,5,080
SSL,11.37,5.54%,498,630
SRTA,5.84,-0.77%,163,643
SRRK,49.19,3.93%,44,441
SRPT,17.75,1.26%,191,364
SRAD,15.10,0.27%,139,637
