ticker,price,change,volume
ZYME,23.14,0.00%,0
ZWS,49.98,0.00%,0
ZVRA,12.90,0.00%,0
ZURA,3.75,0.00%,0
ZTO,22.00,0.00%,0
ZLAB,18.18,0.00%,0
ZIM,24.34,0.00%,0
ZGN,13.87,0.00%,0
ZG,32.49,0.00%,0
ZETA,18.90,0.00%,0
ZD,46.03,0.00%,0
ZBIO,19.78,0.00%,0
Z,32.11,0.00%,0
YUMC,42.93,0.00%,0
YSWY,20.45,0.00%,0
YSS,30.80,0.00%,0
YMM,7.80,0.00%,0
YICCU,10.08,0.00%,0
YEXT,3.80,0.00%,0
YETI,48.97,0.00%,0
YELP,22.88,0.00%,0
XXI,5.52,0.00%,0
XRX,3.02,0.00%,0
XRAY,10.33,0.00%,0
XPRO,13.82,0.00%,0
XPEV,13.21,0.00%,0
XP,15.30,0.00%,0
XNDU,13.37,0.00%,0
XNCR,12.64,0.00%,0
XMAX,8.23,0.00%,0
XIFR,11.82,0.00%,0
XHR,20.02,0.00%,0
XERS,6.95,0.00%,0
XE,21.56,0.00%,0
WYFI,38.49,0.00%,0
WY,24.32,0.00%,0
WWW,17.60,0.00%,0
WVE,6.16,0.00%,0
WULF,28.98,0.00%,0
WU,7.12,0.00%,0
WTTR,17.70,0.00%,0
WTRG,36.70,0.00%,0
WTI,3.21,0.00%,0
WT,18.31,0.00%,0
WSR,18.95,0.00%,0
WSE,10.84,0.00%,0
WSC,28.84,0.00%,0
WSBC,36.29,0.00%,0
WRN,2.37,0.00%,0
WRD,6.35,0.00%,0
WRBY,25.96,0.00%,0
WPP,17.97,0.00%,0
WOOF,2.62,0.00%,0
WNC,11.36,0.00%,0
WMG,28.17,0.00%,0
WLTH,8.44,0.00%,0
WKC,31.12,0.00%,0
WK,47.37,0.00%,0
WIX,42.49,0.00%,0
WIT,2.39,0.00%,0
WHR,38.86,0.00%,0
WHK,27.37,0.00%,0
WGO,28.67,0.00%,0
WEST,9.03,0.00%,0
WES,42.96,0.00%,0
WERN,40.69,0.00%,0
WEN,6.80,0.00%,0
WEAV,5.20,0.00%,0
WDS,20.05,0.00%,0
WBI,33.19,0.00%,0
WBD,26.20,0.00%,0
WB,7.33,0.00%,0
WAY,18.47,0.00%,0
WAFD,36.48,0.00%,0
VZLA,3.55,0.00%,0
VZ,45.37,0.00%,0
VYX,7.49,0.00%,0
VVV,38.07,0.00%,0
VVR,2.98,0.00%,0
VTS,16.01,0.00%,0
VTRS,15.37,0.00%,0
VTEX,3.61,0.00%,0
VSTS,12.88,0.00%,0
VSTM,4.12,0.00%,0
VSNT,38.21,0.00%,0
VRRM,4.44,0.00%,0
VRNS,33.38,0.00%,0
VRDN,16.63,0.00%,0
VOYG,37.57,0.00%,0
VOR,14.49,0.00%,0
VOD,14.30,0.00%,0
VNT,29.91,0.00%,0
VNOM,43.21,0.00%,0
VNO,37.81,0.00%,0
VNET,8.75,0.00%,0
VNDA,5.80,0.00%,0
VLY,14.09,0.00%,0
VLRS,8.97,0.00%,0
VKTX,30.38,0.00%,0
VIV,12.59,0.00%,0
VITL,10.41,0.00%,0
VISN,12.66,0.00%,0
VIR,9.16,0.00%,0
VIPS,13.33,0.00%,0
VICI,26.28,0.00%,0
VIAV,47.17,0.00%,0
VIA,15.29,0.00%,0
VGZ,2.39,0.00%,0
VGNT,45.89,0.00%,0
VG,11.02,0.00%,0
VFS,3.04,0.00%,0
VFC,17.33,0.00%,0
VET,9.83,0.00%,0
VERX,11.12,0.00%,0
VERA,35.09,0.00%,0
VELO,29.86,0.00%,0
VCEL,40.10,0.00%,0
VALE,15.42,0.00%,0
UWMC,2.22,0.00%,0
UUUU,16.56,0.00%,0
UTZ,7.05,0.00%,0
UTI,40.35,0.00%,0
USAS,5.36,0.00%,0
USAR,24.64,0.00%,0
USA,5.80,0.00%,0
UROY,2.95,0.00%,0
URGN,33.57,0.00%,0
URG,1.50,0.00%,0
UPWK,8.05,0.00%,0
UPST,32.43,0.00%,0
UPBD,18.32,0.00%,0
UPB,6.25,0.00%,0
UNIT,11.64,0.00%,0
UMH,15.06,0.00%,0
UMC,24.08,0.00%,0
UMAC,24.98,0.00%,0
ULCC,7.22,0.00%,0
UGP,4.80,0.00%,0
UGI,33.81,0.00%,0
UEC,12.01,0.00%,0
UE,22.27,0.00%,0
UDR,37.56,0.00%,0
UCB,32.85,0.00%,0
UBSI,44.42,0.00%,0
UAMY,7.85,0.00%,0
UAA,6.06,0.00%,0
UA,5.87,0.00%,0
U,27.48,0.00%,0
TYRA,28.32,0.00%,0
TXG,34.76,0.00%,0
TWO,12.32,0.00%,0
TWI,7.57,0.00%,0
TV,2.99,0.00%,0
TUYA,1.87,0.00%,0
TU,11.54,0.00%,0
TTI,10.24,0.00%,0
TTEK,27.36,0.00%,0
TTD,18.51,0.00%,0
TSSI,13.56,0.00%,0
TSLX,16.61,0.00%,0
TSHA,6.42,0.00%,0
TSCO,30.24,0.00%,0
TRVI,17.21,0.00%,0
TRTX,8.60,0.00%,0
TRS,43.77,0.00%,0
TROX,7.40,0.00%,0
TRON,1.63,0.00%,0
TRN,34.47,0.00%,0
TRMD,29.41,0.00%,0
TRMB,49.16,0.00%,0
TRLV,10.10,0.00%,0
TRIP,12.97,0.00%,0
TRIN,16.83,0.00%,0
TREX,47.13,0.00%,0
TPG,42.05,0.00%,0
TOWN,34.71,0.00%,0
TOST,24.66,0.00%,0
TOI,5.26,0.00%,0
TNGX,27.97,0.00%,0
TNDM,15.30,0.00%,0
TMQ,3.79,0.00%,0
TME,8.73,0.00%,0
TMC,5.13,0.00%,0
TLS,4.52,0.00%,0
TLRY,4.73,0.00%,0
TLK,14.88,0.00%,0
TKC,6.11,0.00%,0
TK,11.91,0.00%,0
TILE,32.56,0.00%,0
TIGR,4.71,0.00%,0
TIC,8.42,0.00%,0
THM,2.21,0.00%,0
TH,20.16,0.00%,0
TGB,7.14,0.00%,0
TFSL,16.42,0.00%,0
TFPM,30.05,0.00%,0
TFC,48.33,0.00%,0
TEVA,31.48,0.00%,0
TENX,12.00,0.00%,0
TENB,26.87,0.00%,0
TE,9.35,0.00%,0
TDUP,6.01,0.00%,0
TDS,39.59,0.00%,0
TDOC,8.07,0.00%,0
TDC,30.88,0.00%,0
TDAY,7.88,0.00%,0
TCOM,45.10,0.00%,0
TBLA,4.70,0.00%,0
TBBB,42.10,0.00%,0
TASK,4.91,0.00%,0
TAP,39.40,0.00%,0
TALO,13.77,0.00%,0
TALK,5.21,0.00%,0
TAL,9.19,0.00%,0
TAK,15.63,0.00%,0
TAC,13.74,0.00%,0
T,22.01,0.00%,0
SYM,41.68,0.00%,0
SXC,8.64,0.00%,0
SWMR,41.79,0.00%,0
SWIM,5.82,0.00%,0
SWBI,16.08,0.00%,0
SW,44.20,0.00%,0
SVV,10.15,0.00%,0
SVRA,5.50,0.00%,0
SVM,11.32,0.00%,0
SVC,1.69,0.00%,0
SUZ,8.39,0.00%,0
SUPV,11.38,0.00%,0
SUPN,44.38,0.00%,0
STWD,16.70,0.00%,0
STVN,17.54,0.00%,0
STUB,11.68,0.00%,0
STTK,4.95,0.00%,0
STOK,31.00,0.00%,0
STNE,10.59,0.00%,0
STLA,6.34,0.00%,0
STGW,6.71,0.00%,0
STEP,45.20,0.00%,0
STAG,37.80,0.00%,0
STAA,29.12,0.00%,0
SSYS,8.92,0.00%,0
SSRM,30.95,0.00%,0
SSMR,13.69,0.00%,0
SSL,10.77,0.00%,0
SRTA,5.88,0.00%,0
SRRK,47.33,0.00%,0
SRPT,17.53,0.00%,0
SRAD,15.06,0.00%,0
SPT,6.55,0.00%,0
