ticker,price,change,volume
ZYME,24.10,3.61%,306,201
ZWS,48.89,-1.51%,178,976
ZVRA,12.86,1.70%,339,566
ZURA,4.32,2.21%,508,889
ZTO,21.99,-1.08%,480,436
ZLAB,18.66,0.95%,957,344
ZIM,25.61,1.35%,469,069
ZGN,13.33,-1.40%,356,302
ZG,30.67,0.71%,572,862
ZETA,19.81,7.26%,10,224,300
ZD,45.58,0.56%,167,573
ZBIO,20.65,-0.75%,155,919
Z,30.54,0.76%,1,038,327
YUMC,40.97,-1.34%,674,993
YSWY,21.27,2.41%,141,800
YSS,27.82,-3.94%,437,279
YPF,48.09,-2.79%,519,370
YMM,7.59,-3.74%,1,401,851
YEXT,3.97,0.72%,347,815
YETI,48.47,1.10%,411,670
YELP,22.58,0.49%,233,002
XXI,5.75,0.26%,653,243
XRX,3.21,4.90%,5,405,741
XRAY,10.19,0.41%,1,393,795
XPRO,13.78,-0.65%,173,836
XPOF,6.80,2.95%,177,971
XPEV,12.94,-3.11%,4,432,941
XP,15.78,-1.34%,1,680,436
XNDU,12.41,-1.04%,1,921,231
XNCR,14.35,2.46%,317,399
XMAX,8.40,2.69%,280,447
XIFR,11.56,-1.15%,177,128
XHR,20.19,0.47%,170,345
XERS,7.21,4.53%,952,625
XE,21.25,5.42%,2,030,947
WYFI,41.12,-8.14%,2,643,195
WY,24.28,0.11%,1,274,605
WWW,16.72,-3.45%,438,988
WVE,6.14,-0.57%,883,776
WULF,29.09,2.77%,12,773,087
WU,6.99,-1.48%,3,776,960
WTTR,18.51,0.18%,387,127
WTRG,37.08,1.09%,586,328
WTI,3.33,0.60%,1,430,151
WT,18.74,0.45%,825,417
WSR,18.94,-0.08%,106,031
WSE,10.95,1.01%,460,570
WSC,28.52,-1.74%,527,155
WSBC,37.09,1.05%,357,318
WRN,2.22,-4.51%,556,859
WRD,5.82,-3.48%,1,579,229
WRBY,26.43,-2.08%,818,974
WPP,17.28,-4.16%,1,248,618
WOOF,2.50,0.40%,782,655
WNC,12.44,3.15%,262,613
WMG,27.67,0.71%,418,940
WLTH,8.19,-0.43%,863,119
WKC,31.67,-0.02%,110,650
WK,46.49,1.11%,431,117
WIX,41.11,-1.79%,616,808
WIT,2.30,2.46%,5,795,911
WHR,37.28,1.94%,857,230
WHK,27.69,0.58%,45,326
WGO,28.38,0.19%,154,370
WEST,9.28,2.54%,141,345
WES,43.20,0.51%,323,311
WERN,40.94,0.21%,202,222
WEN,6.22,0.89%,3,328,633
WEAV,5.30,2.81%,419,153
WDS,19.85,-2.00%,297,638
WBI,28.66,-4.40%,1,325,525
WBD,26.75,-0.73%,6,516,772
WB,7.31,-0.61%,240,458
WAY,18.34,5.98%,1,199,770
WAFD,37.14,0.92%,118,450
VZLA,3.43,-2.56%,2,556,861
VZ,46.60,2.74%,6,982,815
VYX,7.00,-0.24%,546,046
VVV,38.13,1.57%,285,102
VVR,2.99,0.34%,151,548
VTS,16.08,0.58%,80,661
VTRS,15.77,2.57%,2,245,323
VTEX,3.52,-1.82%,1,557,873
VSTS,13.04,-0.53%,281,392
VSTM,4.29,0.85%,827,059
VSNT,37.69,-2.19%,571,609
VRRM,4.45,-0.56%,1,840,419
VRNS,36.41,11.31%,5,239,179
VRDN,17.61,-0.11%,641,421
VOYG,33.84,-2.11%,612,628
VOR,15.04,0.67%,444,140
VOD,14.06,-0.46%,2,139,928
VNT,30.68,0.71%,537,320
VNOM,43.79,0.53%,577,447
VNO,37.61,0.09%,222,420
VNET,8.43,-1.36%,1,578,357
VNDA,6.02,0.33%,259,465
VLY,14.31,0.48%,1,740,149
VLRS,9.19,1.16%,201,048
VKTX,35.26,8.93%,3,263,036
VIV,13.22,1.69%,408,904
VITL,10.74,6.51%,837,615
VISN,12.56,-2.45%,1,863,207
VIR,10.07,5.23%,869,428
VIPS,13.12,-0.87%,607,739
VICI,26.54,1.72%,3,917,952
VIA,14.93,-0.10%,232,921
VGZ,2.14,-6.74%,1,287,111
VGNT,43.53,-4.18%,467,794
VG,11.12,-1.29%,2,595,347
VFS,3.12,1.26%,146,852
VFC,16.75,-1.61%,1,795,299
VET,9.81,-0.66%,588,473
VERX,10.69,1.03%,286,664
VERA,37.79,-1.65%,545,653
VELO,21.52,-11.48%,2,481,958
VCEL,40.43,-0.10%,149,106
VALE,15.33,-2.45%,13,407,594
UWMC,2.04,-0.49%,5,832,948
UUUU,15.94,-1.12%,10,910,378
UTZ,7.04,2.77%,757,847
UTI,40.57,1.38%,154,347
USAS,5.07,-4.87%,2,075,620
USAR,23.62,-2.07%,6,685,605
USA,5.66,-1.14%,729,888
UROY,2.97,1.18%,1,000,481
URGN,35.00,0.02%,178,285
URG,1.43,0.35%,5,080,359
UPWK,7.99,1.85%,819,422
UPST,31.97,2.06%,1,529,748
UPBD,18.74,2.29%,221,184
UPB,6.37,1.11%,184,280
UNIT,11.41,1.88%,369,366
UMH,15.14,1.10%,131,798
UMC,26.48,-3.71%,10,302,725
UMAC,22.06,-2.26%,1,519,784
ULCC,7.43,4.09%,1,332,188
UGP,4.89,-0.10%,911,713
UGI,34.67,2.60%,555,689
UEC,11.66,1.63%,4,967,220
UE,22.78,1.92%,327,865
UDR,38.14,1.07%,677,218
UCB,33.83,1.36%,269,184
UBSI,45.20,0.56%,328,700
UAMY,7.50,-3.85%,1,947,123
UAA,5.84,-1.27%,1,730,258
UA,5.64,-1.57%,951,581
U,27.58,1.62%,2,705,085
TYRA,30.51,1.23%,311,890
TXG,32.29,-1.96%,1,307,973
TWO,12.32,0.82%,803,415
TWI,7.37,-2.49%,76,342
TV,2.68,-1.65%,585,219
TUYA,1.83,-0.82%,448,722
TU,11.52,1.63%,1,438,198
TTI,10.20,-1.35%,329,789
TTEK,27.83,2.50%,1,688,299
TTD,17.80,-1.25%,9,209,295
TSSI,13.09,-1.58%,305,807
TSLX,16.47,1.38%,332,761
TSHA,6.75,3.44%,670,148
TSCO,30.07,0.86%,4,343,119
TRVI,17.97,1.47%,805,237
TRTX,8.63,1.00%,146,011
TRS,44.31,-0.11%,73,848
TROX,7.09,-3.41%,661,113
TRON,1.51,-6.80%,368,771
TRN,35.07,-0.17%,119,165
TRMD,29.14,-3.75%,3,309,798
TRMB,48.84,-0.80%,618,409
TRLV,8.48,-6.96%,1,345,397
TRIP,12.58,1.82%,1,579,449
TRIN,16.95,0.44%,367,482
TREX,46.02,-0.81%,319,629
TPG,39.76,-3.48%,966,675
TOWN,35.47,1.33%,107,831
TOST,24.56,1.22%,2,526,517
TOI,4.94,-1.40%,455,816
TNGX,28.93,1.51%,1,939,854
TNDM,14.29,-0.35%,1,233,937
TMQ,3.63,-2.01%,738,259
TME,8.25,-1.08%,4,208,948
