ticker,price,change,volume
ZYME,23.88,2.67%,623,200
ZWS,48.26,-2.78%,855,751
ZVRA,13.00,2.77%,1,372,869
ZURA,4.30,1.77%,1,247,538
ZTO,21.98,-1.12%,1,345,233
ZLAB,18.49,0.05%,1,669,641
ZIM,25.43,0.63%,1,049,319
ZGN,13.12,-2.96%,1,056,961
ZG,30.56,0.33%,2,039,683
ZETA,19.51,5.63%,16,273,533
ZD,46.40,2.38%,854,205
ZBIO,20.20,-2.86%,513,366
Z,30.50,0.63%,3,410,054
YUMC,40.96,-1.37%,1,757,329
YSWY,21.62,4.09%,803,915
YSS,28.56,-1.38%,979,023
YPF,48.04,-2.89%,1,461,985
YMM,7.64,-3.17%,4,405,874
YEXT,3.93,-0.25%,1,552,305
YETI,47.97,0.06%,1,383,187
YELP,22.67,0.89%,986,235
XXI,5.72,-0.35%,1,362,827
XRX,3.14,2.61%,7,492,103
XRAY,10.20,0.49%,4,456,676
XPRO,13.40,-3.39%,866,401
XPOF,6.82,3.18%,694,004
XPEV,12.76,-4.42%,9,849,399
XP,15.72,-1.69%,4,065,486
XNDU,12.23,-2.47%,3,278,175
XNCR,14.08,0.50%,1,142,093
XMAX,8.60,5.13%,860,265
XIFR,11.54,-1.28%,886,770
XHR,20.03,-0.35%,856,006
XERS,7.20,4.35%,1,978,694
XE,21.09,4.64%,3,387,217
WYFI,44.76,-0.02%,4,549,685
WY,24.44,0.78%,5,111,710
WWW,16.76,-3.23%,1,447,092
WVE,6.04,-2.11%,2,362,874
WULF,28.78,1.66%,24,403,500
WU,7.03,-0.85%,9,869,856
WTTR,18.55,0.38%,1,527,263
WTRG,37.29,1.66%,1,626,444
WTI,3.33,0.60%,3,052,554
WT,18.33,-1.77%,3,118,595
WSR,18.94,-0.05%,285,626
WSE,11.15,2.86%,1,288,257
WSC,27.85,-4.06%,2,044,873
WSBC,37.28,1.58%,1,202,853
WRN,2.20,-5.58%,1,259,295
WRD,5.75,-4.64%,2,622,236
WRBY,25.64,-5.00%,3,145,509
WPP,16.94,-6.05%,2,586,861
WOOF,2.52,1.20%,2,208,961
WOLF,48.91,-7.66%,5,017,386
WNC,12.60,4.48%,1,194,533
WMG,27.54,0.25%,1,766,640
WLTH,8.21,-0.12%,2,034,589
WKC,31.94,0.82%,1,133,355
WK,46.98,2.17%,973,517
WIX,40.43,-3.42%,1,531,394
WIT,2.29,2.23%,15,555,329
WHR,36.19,-1.04%,2,466,531
WHK,27.65,0.44%,155,636
WGO,28.28,-0.14%,882,666
WEST,9.08,0.33%,731,519
WES,43.51,1.23%,848,917
WERN,41.03,0.42%,962,687
WEN,6.26,1.38%,7,571,805
WEAV,5.44,5.43%,990,337
WDS,19.76,-2.47%,1,161,457
WBI,28.59,-4.64%,2,712,194
WBD,26.88,-0.26%,21,612,500
WB,7.32,-0.54%,738,699
WAY,18.41,6.35%,3,583,458
WAFD,37.26,1.25%,499,307
VZLA,3.35,-4.83%,5,479,509
VZ,46.73,3.02%,23,019,146
VYX,7.00,-0.28%,1,962,127
VVV,38.32,2.08%,1,522,567
VVR,2.98,0.00%,295,651
VTS,16.14,0.94%,506,557
VTRS,15.75,2.41%,8,809,820
VTEX,3.50,-2.23%,3,719,605
VSTS,13.20,0.69%,1,384,409
VSTM,4.21,-0.94%,2,575,610
VSNT,37.88,-1.69%,2,127,138
VRRM,4.40,-1.57%,6,254,720
VRNS,35.03,7.09%,9,762,932
VRDN,17.28,-1.99%,1,665,034
VOYG,33.60,-2.81%,2,083,774
VOR,14.85,-0.60%,1,260,890
VOD,14.05,-0.50%,3,842,830
VNT,30.07,-1.28%,2,026,957
VNOM,43.68,0.28%,1,573,924
VNO,37.65,0.19%,1,165,220
VNET,8.36,-2.22%,3,160,123
VNDA,5.95,-0.83%,584,860
VLY,14.38,0.98%,5,545,447
VLRS,9.20,1.32%,722,499
VKTX,34.81,7.54%,6,217,282
VIV,13.22,1.69%,1,069,271
VITL,10.68,5.95%,2,276,617
VISN,12.50,-2.95%,5,131,595
VIR,10.16,6.17%,2,534,151
VIPS,13.17,-0.53%,2,007,086
VICI,26.62,2.03%,15,595,863
VIAV,49.97,-5.61%,4,716,946
VIA,15.04,0.67%,966,088
VGZ,2.08,-9.57%,2,451,551
VGNT,42.70,-6.01%,1,507,481
VG,11.21,-0.44%,10,738,692
VFS,3.16,2.60%,327,680
VFC,16.91,-0.70%,5,182,827
VET,9.84,-0.30%,1,560,883
VERX,10.92,3.21%,1,360,556
VERA,38.20,-0.60%,1,928,352
VELO,20.66,-15.01%,4,060,832
VCEL,40.39,-0.20%,430,145
VALE,15.31,-2.55%,28,252,996
UWMC,2.03,-0.98%,19,291,198
UUUU,15.47,-4.03%,16,662,164
UTZ,7.05,2.92%,2,087,156
UTI,39.75,-0.67%,604,148
USAS,4.90,-8.07%,3,896,022
USAR,22.89,-5.10%,11,504,617
USA,5.65,-1.22%,1,775,142
UROY,2.91,-1.02%,1,940,939
URGN,35.15,0.46%,465,339
URG,1.41,-1.40%,9,281,775
UPWK,8.21,4.72%,3,521,787
UPST,31.46,0.45%,3,324,979
UPBD,18.69,2.02%,942,879
UPB,6.32,0.32%,623,889
UNIT,11.51,2.77%,1,576,963
UMH,15.15,1.20%,506,041
