ticker,price,change,volume
ZYME,25.96,-4.11%,102,181
ZWS,47.51,1.57%,77,611
ZVRA,13.23,-5.09%,460,363
ZURA,5.03,-8.62%,229,038
ZTO,23.91,1.94%,195,108
ZNTL,4.39,-6.63%,364,054
ZLAB,20.05,0.35%,80,109
ZIP,3.92,0.00%,64,097
ZIM,24.22,0.33%,143,894
ZGN,13.82,1.84%,133,546
ZG,32.80,-1.23%,129,888
ZETA,21.44,-2.19%,1,521,720
ZBIO,27.66,-6.02%,63,145
Z,33.01,-1.27%,494,891
YUMC,43.46,2.71%,408,980
YSWY,20.42,0.04%,19,996
YSS,19.82,-3.68%,239,516
YPF,47.50,0.98%,191,622
YMM,8.68,1.17%,1,373,311
YEXT,5.10,0.79%,173,524
YETI,49.42,0.16%,66,133
YELP,25.94,1.54%,100,718
XXI,5.32,1.82%,283,886
XRX,2.74,-1.26%,468,613
XRAY,12.06,1.39%,524,986
XPRO,14.96,0.87%,112,596
XPOF,6.84,-0.36%,32,912
XPEV,13.23,1.96%,943,735
XP,17.08,4.05%,1,308,160
XNDU,11.16,-0.98%,267,961
XNCR,15.38,-4.56%,92,541
XMAX,8.80,-0.16%,105,807
XIFR,12.35,-0.43%,131,784
XHR,20.41,1.19%,113,918
XFOR,4.05,2.21%,149,231
XERS,8.36,-3.02%,419,437
XE,15.36,-7.44%,2,192,687
WYFI,36.96,-4.84%,1,702,320
WY,23.41,4.02%,1,714,760
WWW,17.64,1.58%,105,624
WVE,5.91,-6.27%,501,380
WULF,22.12,-4.66%,10,212,827
WU,7.85,0.38%,701,435
WTTR,18.86,-1.59%,261,038
WTRG,38.79,0.68%,209,094
WTI,3.30,-3.31%,1,117,450
WT,19.75,-0.55%,808,421
WSR,18.98,0.03%,141,206
WSE,12.85,0.59%,115,001
WSC,26.26,1.86%,287,760
WSBC,39.07,0.51%,126,892
WRN,2.22,0.91%,404,468
WRD,5.70,2.79%,939,995
WRBY,28.93,-1.34%,338,625
WPP,18.15,4.66%,187,160
WOOF,2.58,1.14%,262,351
WOLF,34.95,-6.17%,730,067
WNC,12.78,3.40%,67,196
WMG,28.94,-0.67%,126,892
WLTH,9.40,0.91%,325,461
WKC,34.97,1.66%,131,485
WIX,49.86,1.26%,286,442
WIT,1.85,0.00%,1,183,318
WHR,38.21,0.92%,253,067
WGO,29.70,2.18%,53,505
WEST,7.30,1.96%,85,370
WES,44.70,-0.38%,169,948
WERN,44.58,-0.44%,70,615
WEN,7.68,1.25%,2,450,083
WEAV,6.84,1.03%,143,672
WDS,20.08,0.40%,85,326
WBI,33.76,-2.26%,67,522
WBD,26.66,0.09%,3,002,482
WB,7.72,-0.06%,112,451
WAY,22.78,-1.73%,277,789
WAFD,38.11,0.90%,65,262
VZLA,3.17,0.32%,1,195,746
VZ,42.21,-0.08%,7,351,239
VYX,8.22,2.85%,242,173
VVV,38.73,1.97%,141,915
VVR,3.00,0.33%,300,679
VTS,15.49,0.46%,37,649
VTRS,16.19,-0.89%,1,585,940
VTEX,4.08,3.31%,136,797
VSTS,14.32,-0.21%,139,778
VSTM,5.26,-2.69%,590,988
VSNT,35.67,-0.39%,140,252
VSH,43.89,-0.34%,530,359
VRRM,4.16,-1.30%,620,760
VRNS,44.83,-2.13%,131,738
VRDN,19.67,-2.60%,301,043
VOYG,31.27,-4.20%,273,635
VOR,18.42,-6.71%,456,542
VOD,14.79,13.09%,7,519,369
VNT,29.37,1.56%,150,615
VNOM,41.60,-0.18%,211,239
VNO,38.20,0.29%,178,742
VNET,8.05,-0.06%,617,951
VNDA,6.28,-1.61%,101,294
VLY,14.72,0.43%,580,665
VLRS,8.49,0.12%,130,727
VKTX,38.89,-5.48%,710,172
VIV,13.91,3.46%,126,686
VITL,13.00,0.31%,246,306
VISN,12.53,-0.54%,516,014
VIR,9.82,-5.04%,681,777
VIPS,14.05,1.44%,298,703
VICI,25.95,0.10%,937,206
VIAV,42.53,-0.82%,636,455
VIA,18.15,-0.89%,102,251
VGNT,41.90,2.90%,80,141
VG,12.10,-3.47%,3,300,204
VFS,3.09,1.98%,166,499
VFC,16.83,1.85%,632,954
VET,9.35,-1.28%,201,765
VERX,12.62,-1.44%,247,078
VERA,39.20,-7.66%,591,791
VELO,13.24,-9.50%,439,194
VCEL,46.76,-3.20%,82,477
VALE,14.51,2.00%,4,917,499
UWMC,2.09,0.48%,3,785,221
UUUU,13.63,1.04%,2,856,595
UTZ,7.73,0.21%,255,515
UTI,47.57,-2.38%,79,576
USAS,4.43,-0.56%,852,723
USAR,18.62,-1.34%,2,201,658
USA,5.91,0.94%,552,731
UROY,2.72,2.64%,579,286
URGN,38.71,-3.77%,231,421
URG,1.33,-0.34%,1,051,141
UPWK,8.82,1.61%,553,699
UPST,32.94,-0.87%,876,817
UPBD,21.59,6.25%,240,592
UPB,7.56,-3.22%,80,320
UNIT,11.02,-0.78%,183,612
UNFI,48.89,1.98%,45,349
UMH,15.25,-0.21%,42,372
UMC,24.12,-2.98%,2,050,563
UMAC,19.17,-7.53%,1,005,430
ULCC,6.86,-10.84%,2,305,914
UIS,4.26,4.29%,533,943
UGP,5.99,3.10%,1,334,685
UGI,35.94,-0.36%,192,008
UEC,10.50,3.34%,1,914,771
UE,22.68,-0.18%,61,306
UDR,39.77,0.20%,281,630
UCB,35.45,0.53%,98,173
UBSI,46.32,0.85%,199,909
UAMY,6.50,-1.83%,1,033,997
UAA,6.75,2.43%,1,142,937
UA,6.59,2.25%,509,434
U,31.52,2.57%,6,229,065
TYRA,31.76,-3.79%,211,619
TXG,42.96,-0.33%,601,340
TWO,12.09,0.12%,253,526
TWI,7.32,2.13%,47,098
TV,2.76,1.66%,150,187
TUYA,1.83,0.27%,77,557
TU,10.50,0.86%,890,170
TTI,9.31,-1.22%,94,251
TTEK,30.92,-0.07%,249,685
TTD,19.92,0.84%,3,184,846
TSSI,11.59,1.40%,138,835
TSLX,17.28,3.66%,125,001
TSHA,6.09,-7.38%,756,759
TSCO,30.31,0.62%,757,903
TRVI,17.82,-3.18%,211,668
TRTX,8.44,0.32%,82,976
TROX,6.09,-0.33%,180,220
TRON,1.41,-4.39%,134,510
TRN,35.15,0.93%,36,897
TRMD,28.91,3.02%,145,058
TRLV,8.63,-2.38%,325,385
TRIP,13.82,3.71%,415,271
TRIN,17.54,0.57%,307,738
