ticker,price,change,volume
ZYME,23.19,0.22%,73,413
ZWS,49.71,-0.54%,62,067
ZVRA,12.67,-1.78%,302,231
ZURA,4.04,7.73%,204,383
ZTO,22.21,0.97%,226,137
ZLAB,18.20,0.11%,259,191
ZIM,24.90,2.30%,444,915
ZGN,13.58,-2.11%,110,802
ZG,31.52,-3.00%,158,328
ZETA,18.58,-1.67%,2,231,445
ZD,45.40,-1.37%,66,158
ZBIO,20.82,5.23%,122,401
Z,31.19,-2.87%,795,957
YUMC,42.04,-2.07%,702,010
YSWY,20.72,1.34%,53,302
YSS,28.65,-6.98%,593,990
YPF,49.46,-1.96%,232,464
YMM,7.86,0.83%,1,240,698
YICCU,10.06,-0.20%,13,541
YEXT,3.88,1.97%,254,397
YETI,48.28,-1.41%,65,303
YELP,22.69,-0.83%,102,388
XXI,5.85,5.97%,403,536
XRX,3.07,1.66%,836,030
XRAY,10.27,-0.58%,1,421,385
XPRO,13.68,-1.04%,106,078
XPEV,13.46,1.90%,2,340,875
XP,15.89,3.82%,1,169,018
XNDU,12.79,-4.34%,1,154,817
XNCR,13.66,8.07%,131,161
XMAX,8.18,-0.61%,559,843
XIFR,11.75,-0.58%,180,286
XHR,20.32,1.49%,78,475
XERS,6.94,-0.14%,300,902
XE,20.10,-6.77%,1,106,036
WYFI,42.94,11.56%,1,913,252
WY,24.48,0.64%,871,051
WWW,17.20,-2.25%,71,207
WVE,6.26,1.58%,490,608
WULF,28.92,-0.21%,6,738,572
WU,7.12,-0.02%,1,082,576
WTTR,17.86,0.88%,150,778
WTRG,37.03,0.90%,271,136
WTI,3.27,1.87%,950,541
WT,18.59,1.53%,593,087
WSR,18.92,-0.13%,1,409,761
WSE,10.97,1.16%,472,671
WSC,28.95,0.38%,180,435
WSBC,36.70,1.13%,208,977
WRN,2.28,-3.80%,340,397
WRD,6.18,-2.60%,1,216,921
WRBY,26.20,0.94%,637,641
WPP,18.22,1.36%,127,467
WOOF,2.57,-1.91%,649,480
WNC,11.88,4.53%,145,389
WMG,27.38,-2.80%,160,639
WLTH,8.45,0.12%,204,805
WKC,31.59,1.51%,142,886
WK,46.54,-1.75%,114,126
WIX,42.56,0.18%,227,716
WIT,2.21,-7.49%,2,009,475
WHR,38.71,-0.40%,424,676
WHK,27.46,0.32%,7,247
WGO,28.04,-2.19%,71,804
WEST,8.80,-2.55%,119,101
WES,42.77,-0.44%,152,708
WERN,40.88,0.47%,66,486
WEN,6.48,-4.71%,3,019,075
WEAV,5.16,-0.82%,181,917
WDS,20.25,0.97%,221,922
WBI,29.41,-11.40%,1,419,453
WBD,26.53,1.28%,3,761,357
WB,7.41,1.02%,540,631
WAY,18.09,-2.06%,171,041
WAFD,36.85,1.01%,45,604
VZLA,3.52,-0.97%,972,216
VZ,45.57,0.44%,3,335,901
VYX,7.18,-4.07%,390,349
VVV,37.70,-0.97%,127,469
VVR,2.99,0.34%,108,819
VTS,16.01,0.00%,75,846
VTRS,15.14,-1.49%,1,431,821
VTEX,3.63,0.69%,294,733
VSTS,12.93,0.39%,192,511
