ticker,price,change,volume
ZYME,24.11,3.65%,297,283
ZWS,48.88,-1.53%,172,354
ZVRA,12.89,1.86%,336,342
ZURA,4.33,2.39%,504,714
ZTO,21.99,-1.09%,472,887
ZLAB,18.71,1.24%,952,682
ZIM,25.61,1.36%,466,359
ZGN,13.33,-1.41%,351,080
ZG,30.58,0.39%,553,784
ZETA,19.88,7.63%,10,134,151
ZD,45.51,0.42%,165,850
ZBIO,20.61,-0.91%,151,849
Z,30.44,0.45%,1,021,517
YUMC,41.00,-1.28%,651,495
YSWY,21.27,2.41%,140,790
YSS,28.16,-2.78%,430,685
YPF,48.02,-2.93%,470,735
YMM,7.59,-3.74%,1,383,379
YEXT,3.96,0.63%,339,744
YETI,48.38,0.92%,395,729
YELP,22.53,0.29%,227,102
XXI,5.77,0.52%,645,828
XRX,3.24,5.88%,5,350,381
XRAY,10.21,0.60%,1,367,962
XPRO,13.78,-0.65%,172,597
XPOF,6.80,2.87%,177,629
XPEV,12.94,-3.07%,4,344,195
XP,15.77,-1.41%,1,646,956
XNDU,12.42,-0.96%,1,899,199
XNCR,14.38,2.66%,314,394
XMAX,8.42,2.94%,273,090
XIFR,11.56,-1.11%,167,390
XHR,20.21,0.54%,168,207
XERS,7.22,4.71%,941,244
XE,21.42,6.28%,1,999,224
WYFI,41.25,-7.86%,2,605,054
WY,24.28,0.11%,1,228,376
WWW,16.72,-3.45%,435,827
WVE,6.16,-0.24%,862,831
WULF,29.13,2.89%,12,588,525
WU,6.99,-1.41%,3,731,826
WTTR,18.50,0.11%,373,758
WTRG,37.11,1.18%,577,679
WTI,3.35,1.06%,1,414,777
WT,18.77,0.59%,802,505
WSR,18.93,-0.08%,105,476
WSE,10.95,1.01%,454,078
WSC,28.60,-1.48%,519,000
WSBC,37.08,1.02%,352,485
WRN,2.22,-4.51%,550,585
WRD,5.81,-3.58%,1,534,007
WRBY,26.49,-1.85%,802,473
WPP,17.26,-4.27%,1,225,640
WOOF,2.49,0.00%,754,023
WNC,12.45,3.28%,256,797
WMG,27.66,0.68%,410,955
WLTH,8.20,-0.18%,852,449
WKC,31.66,-0.06%,108,736
WK,46.47,1.07%,422,330
WIX,41.02,-2.01%,613,542
WIT,2.30,2.46%,5,752,135
WHR,37.29,1.97%,846,847
WHK,27.58,0.16%,43,780
WGO,28.41,0.30%,152,495
WEST,9.26,2.27%,139,676
WES,43.26,0.66%,290,462
WERN,41.00,0.34%,198,114
WEN,6.22,0.73%,3,276,231
WEAV,5.28,2.42%,412,018
WDS,19.85,-2.03%,291,777
WBI,28.75,-4.09%,1,313,304
WBD,26.75,-0.72%,6,343,723
WB,7.30,-0.75%,235,766
WAY,18.32,5.83%,1,161,323
WAFD,37.14,0.92%,116,712
VZLA,3.43,-2.43%,2,471,198
VZ,46.55,2.62%,6,866,121
VYX,7.01,-0.18%,541,911
VVV,38.12,1.55%,279,303
VVR,2.99,0.34%,151,354
VTS,16.06,0.46%,79,344
VTRS,15.77,2.54%,2,194,001
VTEX,3.53,-1.40%,1,546,694
VSTS,13.05,-0.46%,273,943
VSTM,4.30,1.15%,808,519
VSNT,37.63,-2.35%,548,144
VRRM,4.44,-0.74%,1,814,840
VRNS,37.62,15.01%,4,845,505
VRDN,17.58,-0.26%,633,358
VOYG,34.03,-1.58%,601,258
VOR,15.19,1.64%,439,637
VOD,14.05,-0.50%,2,125,722
VNT,30.68,0.72%,516,239
VNOM,43.79,0.52%,572,857
VNO,37.67,0.25%,211,992
VNET,8.44,-1.34%,1,561,591
VNDA,6.04,0.67%,257,848
VLY,14.31,0.50%,1,680,402
VLRS,9.19,1.16%,197,145
VKTX,35.49,9.65%,3,227,101
VIV,13.22,1.70%,397,853
VITL,10.74,6.53%,830,925
VISN,12.57,-2.37%,1,841,539
VIR,10.08,5.31%,861,653
VIPS,13.12,-0.91%,596,976
VICI,26.56,1.78%,3,880,481
VIA,14.98,0.30%,229,856
VGZ,2.14,-6.74%,1,268,727
VGNT,43.58,-4.07%,460,884
VG,11.10,-1.38%,2,546,722
VFS,3.12,1.14%,146,561
VFC,16.77,-1.51%,1,774,704
VET,9.76,-1.17%,473,987
VERX,10.67,0.88%,284,718
VERA,37.94,-1.28%,542,805
VELO,21.74,-10.57%,2,426,186
VCEL,40.58,0.27%,147,867
VALE,15.32,-2.47%,13,215,936
UWMC,2.04,-0.49%,5,755,366
UUUU,16.01,-0.65%,10,840,465
UTZ,7.03,2.55%,751,511
UTI,40.61,1.48%,151,390
USAS,5.08,-4.73%,2,060,339
USAR,23.85,-1.12%,6,635,056
USA,5.68,-0.70%,568,284
UROY,2.98,1.36%,991,298
URGN,35.03,0.11%,175,944
URG,1.45,1.40%,4,983,509
UPWK,7.99,1.85%,812,586
UPST,32.03,2.27%,1,507,083
UPBD,18.83,2.77%,219,614
UPB,6.37,1.11%,181,887
UNIT,11.43,2.07%,346,087
UMH,15.14,1.10%,129,396
UMC,26.63,-3.16%,10,113,658
UMAC,22.16,-1.82%,1,492,725
ULCC,7.44,4.19%,1,323,226
UGP,4.89,-0.10%,908,302
UGI,34.62,2.46%,523,614
UEC,11.70,2.01%,4,921,894
UE,22.77,1.88%,323,602
UDR,38.18,1.16%,661,703
UCB,33.86,1.44%,264,761
UBSI,45.22,0.60%,323,111
UAMY,7.55,-3.23%,1,925,469
UAA,5.84,-1.27%,1,713,265
UA,5.64,-1.48%,944,977
U,27.67,1.95%,2,681,737
TYRA,30.50,1.19%,294,473
TXG,32.45,-1.47%,1,287,367
TWO,12.30,0.65%,789,675
TWI,7.37,-2.49%,75,987
TV,2.69,-1.28%,577,879
TUYA,1.82,-1.06%,447,369
TU,11.52,1.63%,1,430,303
TTI,10.22,-1.21%,325,684
TTEK,27.83,2.50%,1,669,920
TTD,17.82,-1.13%,9,129,864
TSSI,13.18,-0.94%,304,486
TSLX,16.48,1.38%,329,446
TSHA,6.76,3.54%,663,214
TSCO,30.08,0.92%,4,296,048
TRVI,18.01,1.71%,800,148
TRTX,8.63,1.03%,144,614
TRS,44.31,-0.11%,73,255
TROX,7.15,-2.63%,651,835
TRON,1.52,-5.95%,354,272
TRN,34.98,-0.43%,110,463
TRMD,29.02,-4.11%,3,291,635
TRMB,48.88,-0.72%,602,228
TRLV,8.43,-7.55%,1,315,479
TRIP,12.58,1.76%,1,573,778
TRIN,16.96,0.46%,364,242
TREX,46.13,-0.58%,312,735
TPG,39.91,-3.11%,956,704
TOWN,35.47,1.33%,106,368
TOST,24.55,1.20%,2,495,446
TOI,4.99,-0.50%,432,789
TNGX,28.89,1.35%,1,913,765
TNDM,14.26,-0.56%,1,213,705
TMQ,3.62,-2.03%,729,752
TME,8.25,-1.05%,4,129,293
TMC,4.93,-0.33%,1,728,750
TLS,4.31,0.45%,257,506
TLRY,4.66,1.42%,1,480,478
TLK,14.43,2.22%,407,987
TKC,6.05,-0.33%,328,277
TK,12.40,0.69%,163,859
TILE,32.65,0.91%,73,260
TIGR,4.68,-1.37%,1,743,138
TIC,8.12,0.68%,388,225
THM,2.08,-6.53%,308,844
TH,20.60,2.28%,393,334
TGB,6.77,-2.73%,1,999,376
TFSL,16.71,0.60%,165,585
TFPM,29.06,-2.67%,310,167
TFC,49.11,0.72%,2,528,467
TEVA,33.25,3.26%,1,402,725
TENX,12.79,4.40%,291,766
TENB,27.55,4.59%,457,070
TEM,49.68,3.82%,2,248,885
TE,9.86,-5.19%,16,457,838
TDUP,6.09,3.13%,271,765
TDS,39.04,0.27%,148,082
TDOC,7.72,1.91%,1,522,713
TDC,31.08,4.75%,852,352
TDAY,7.95,2.40%,321,515
TCOM,44.80,-3.49%,1,633,633
TBLA,4.51,1.46%,801,802
TBBB,42.17,1.15%,140,523
TASK,4.86,-2.51%,321,914
TAP,39.76,0.30%,710,623
TALO,14.03,-0.18%,412,692
TALK,5.19,-0.38%,2,338,963
TAL,9.35,-1.30%,1,046,943
TAK,15.78,2.01%,1,015,635
TAC,13.60,-1.81%,224,065
T,22.83,3.28%,28,078,705
SYM,38.90,-3.23%,1,391,122
SXC,8.40,0.41%,326,779
SWMR,41.89,-7.20%,149,844
SWIM,5.87,1.90%,181,755
SWBI,16.62,1.04%,514,196
SW,45.18,-0.46%,1,415,718
SVV,9.69,0.53%,180,940
SVRA,5.80,1.85%,695,319
SVM,10.85,-2.91%,1,208,821
