ticker,price,change,volume
ZYME,23.88,0.00%,0
ZWS,48.26,0.00%,0
ZVRA,13.00,0.00%,0
ZURA,4.30,0.00%,0
ZTO,21.98,0.00%,0
ZLAB,18.49,0.00%,0
ZIM,25.43,0.00%,0
ZGN,13.12,0.00%,0
ZG,30.56,0.00%,0
ZETA,19.51,0.00%,0
ZD,46.40,0.00%,0
ZBIO,20.20,0.00%,0
Z,30.50,0.00%,0
YUMC,40.96,0.00%,0
YSWY,21.62,0.00%,0
YSS,28.56,0.00%,0
YPF,48.04,0.00%,0
YMM,7.64,0.00%,0
YEXT,3.93,0.00%,0
YETI,47.97,0.00%,0
YELP,22.67,0.00%,0
XXI,5.72,0.00%,0
XRX,3.14,0.00%,0
XRAY,10.20,0.00%,0
XPRO,13.40,0.00%,0
XPOF,6.82,0.00%,0
XPEV,12.76,0.00%,0
XP,15.72,0.00%,0
XNDU,12.23,0.00%,0
XNCR,14.08,0.00%,0
XMAX,8.60,0.00%,0
XIFR,11.54,0.00%,0
XHR,20.03,0.00%,0
XERS,7.20,0.00%,0
XE,21.09,0.00%,0
WYFI,44.76,0.00%,0
WY,24.44,0.00%,0
WWW,16.76,0.00%,0
WVE,6.04,0.00%,0
WULF,28.78,0.00%,0
WU,7.03,0.00%,0
WTTR,18.55,0.00%,0
WTRG,37.29,0.00%,0
WTI,3.33,0.00%,0
WT,18.33,0.00%,0
WSR,18.94,0.00%,0
WSE,11.15,0.00%,0
WSC,27.85,0.00%,0
WSBC,37.28,0.00%,0
WRN,2.20,0.00%,0
WRD,5.75,0.00%,0
WRBY,25.64,0.00%,0
WPP,16.94,0.00%,0
WOOF,2.52,0.00%,0
WOLF,48.91,0.00%,0
WNC,12.60,0.00%,0
WMG,27.54,0.00%,0
WLTH,8.21,0.00%,0
WKC,31.94,0.00%,0
WK,46.98,0.00%,0
WIX,40.43,0.00%,0
WIT,2.29,0.00%,0
WHR,36.19,0.00%,0
WHK,27.65,0.00%,0
WGO,28.28,0.00%,0
WEST,9.08,0.00%,0
WES,43.51,0.00%,0
WERN,41.03,0.00%,0
WEN,6.26,0.00%,0
WEAV,5.44,0.00%,0
WDS,19.76,0.00%,0
WBI,28.59,0.00%,0
WBD,26.88,0.00%,0
WB,7.32,0.00%,0
WAY,18.41,0.00%,0
WAFD,37.26,0.00%,0
VZLA,3.35,0.00%,0
VZ,46.73,0.00%,0
VYX,7.00,0.00%,0
VVV,38.32,0.00%,0
VVR,2.98,0.00%,0
VTS,16.14,0.00%,0
VTRS,15.75,0.00%,0
VTEX,3.50,0.00%,0
VSTS,13.20,0.00%,0
VSTM,4.21,0.00%,0
VSNT,37.88,0.00%,0
VRRM,4.40,0.00%,0
VRNS,35.03,0.00%,0
VRDN,17.28,0.00%,0
VOYG,33.60,0.00%,0
VOR,14.85,0.00%,0
VOD,14.05,0.00%,0
VNT,30.07,0.00%,0
VNOM,43.68,0.00%,0
VNO,37.65,0.00%,0
VNET,8.36,0.00%,0
VNDA,5.95,0.00%,0
VLY,14.38,0.00%,0
VLRS,9.20,0.00%,0
VKTX,34.81,0.00%,0
VIV,13.22,0.00%,0
VITL,10.68,0.00%,0
VISN,12.50,0.00%,0
VIR,10.16,0.00%,0
VIPS,13.17,0.00%,0
VICI,26.62,0.00%,0
VIAV,49.97,0.00%,0
VIA,15.04,0.00%,0
VGZ,2.08,0.00%,0
VGNT,42.70,0.00%,0
VG,11.21,0.00%,0
VFS,3.16,0.00%,0
VFC,16.91,0.00%,0
VET,9.84,0.00%,0
VERX,10.92,0.00%,0
VERA,38.20,0.00%,0
VELO,20.66,0.00%,0
VCEL,40.39,0.00%,0
VALE,15.31,0.00%,0
UWMC,2.03,0.00%,0
UUUU,15.47,0.00%,0
UTZ,7.05,0.00%,0
UTI,39.75,0.00%,0
USAS,4.90,0.00%,0
USAR,22.89,0.00%,0
USA,5.65,0.00%,0
UROY,2.91,0.00%,0
URGN,35.15,0.00%,0
URG,1.41,0.00%,0
UPWK,8.21,0.00%,0
UPST,31.46,0.00%,0
UPBD,18.69,0.00%,0
UPB,6.32,0.00%,0
UNIT,11.51,0.00%,0
UMH,15.15,0.00%,0
UMC,26.20,0.00%,0
UMAC,21.51,0.00%,0
ULCC,7.25,0.00%,0
UGP,4.94,0.00%,0
UGI,34.72,0.00%,0
UEC,11.34,0.00%,0
UE,22.92,0.00%,0
UDR,38.28,0.00%,0
UCB,34.04,0.00%,0
UBSI,45.29,0.00%,0
UAMY,7.01,0.00%,0
