ticker,price,change,volume
TTTD,18.59,-2.77%,13,651,571
TTSLX,17.44,-1.52%,440,729
TTSHA,5.96,-0.17%,2,849,252
TTSCO,30.51,-1.61%,9,728,953
TTRVI,19.07,9.85%,8,312,192
TTRTX,8.75,-0.23%,794,354
TTROX,5.84,1.21%,2,740,880
TTRON,1.42,1.43%,322,658
TTRN,36.47,-1.78%,666,535
TTRMD,28.45,-3.23%,483,395
TTRLV,8.79,4.52%,582,881
TTRIP,14.58,-2.08%,2,512,624
TTRIN,17.78,-0.67%,833,634
TTREX,45.13,-1.48%,1,642,667
TTPG,43.74,-0.95%,1,254,751
TTOWN,36.56,-1.15%,815,822
TTOST,30.08,-0.82%,7,860,941
TTOI,5.35,1.71%,1,484,196
TTNGX,28.56,3.33%,2,289,891
TTNDM,17.08,4.85%,2,100,446
TTMQ,2.98,0.34%,1,815,761
TTME,9.12,-1.30%,5,544,858
TTMC,3.74,-0.53%,3,425,813
TTLS,4.73,0.00%,394,621
TTLRY,4.30,-1.15%,2,396,861
TTLK,14.62,2.45%,954,270
TTKC,5.72,-4.19%,1,962,613
TTK,10.64,-2.74%,410,495
TTILE,33.06,-2.74%,448,153
TTIGR,4.61,-0.43%,1,962,043
TTIC,6.85,-1.01%,1,802,115
TTHM,2.01,1.01%,548,403
TTH,16.36,-3.02%,702,999
TTGB,6.78,-1.88%,4,895,247
TTFSL,18.28,-0.87%,746,536
TTFPM,27.36,0.74%,381,724
TTEVA,32.03,-0.59%,3,612,360
TTEO,13.12,-1.43%,140,055
TTENX,15.85,5.11%,808,315
TTENB,39.88,0.28%,2,810,367
TTE,5.84,-1.68%,40,229,366
TTDUP,6.60,-2.08%,1,160,891
TTDS,34.32,-0.09%,821,078
TTDOC,9.43,-0.42%,3,613,651
TTDC,30.52,-1.33%,2,561,556
TTDAY,8.50,-2.07%,1,032,334
TTCOM,42.45,-2.97%,3,965,240
TTBPH,16.93,-0.24%,449,525
TTBLA,5.28,-2.40%,2,101,493
TTBBB,40.74,1.39%,541,516
TTASK,5.83,-2.35%,345,581
TTAP,40.93,-2.03%,3,128,676
TTALO,14.92,5.67%,1,973,189
TTALK,5.21,-0.19%,1,109,588
TTAL,10.24,0.20%,4,711,554
TTAK,17.15,2.51%,4,689,211
TTAC,13.26,0.15%,1,274,007
TT,21.81,-0.77%,79,330,426
SSYM,41.25,-1.74%,1,639,701
SSXC,8.37,-0.95%,947,615
SSWMR,36.54,2.18%,227,831
SSWIM,5.89,-2.81%,787,357
SSWBI,14.86,-2.56%,402,424
SSW,44.30,-1.05%,4,809,968
SSVV,9.94,-0.50%,543,690
SSVRA,5.52,0.00%,1,010,598
SSVM,8.92,1.13%,3,789,157
SSVC,8.60,-1.15%,1,574,551
SSUZ,8.21,0.12%,2,039,025
SSUPV,9.71,0.52%,311,514
SSUPN,48.04,-0.35%,439,397
SSTWD,17.00,-0.53%,4,705,064
SSTUB,9.25,-3.95%,6,356,805
SSTTK,7.53,6.51%,2,968,972
SSTOK,29.05,-0.21%,413,964
SSTNE,11.15,-0.45%,3,498,924
SSTLA,5.79,-2.85%,13,947,580
SSTGW,7.51,-1.83%,632,738
SSTEP,43.55,0.55%,1,125,933
SSTDN,10.40,-15.45%,2,988,106
SSTAG,41.68,-0.86%,1,461,801
SSTAA,26.44,-8.76%,1,908,848
SST,45.05,1.35%,1,902,306
SSSYS,8.14,-0.61%,320,430
SSSRM,25.57,-1.24%,3,746,806
SSSL,11.37,4.31%,1,055,568
SSRTA,5.15,-1.53%,729,388
SSRPT,17.22,-0.06%,5,399,159
SSRAD,14.38,-3.10%,2,895,238
SSPT,8.62,0.00%,885,762
SSPRY,7.00,-6.17%,2,127,867
SSPNT,24.90,0.36%,672,880
SSPIR,12.14,-0.08%,894,363
SSOUN,6.27,-0.63%,44,427,159
