ticker,price,change,volume
ZYME,24.07,3.50%,313,952
ZWS,48.83,-1.63%,181,495
ZVRA,12.87,1.74%,340,798
ZURA,4.32,2.17%,512,735
ZTO,21.99,-1.10%,486,421
ZLAB,18.65,0.91%,958,551
ZIM,25.61,1.35%,470,601
ZGN,13.34,-1.33%,357,156
ZG,30.74,0.90%,579,338
ZETA,19.79,7.15%,10,260,098
ZD,45.52,0.44%,171,468
ZBIO,20.58,-1.06%,156,038
Z,30.59,0.94%,1,048,259
YUMC,40.99,-1.29%,683,891
YSWY,21.31,2.60%,145,280
YSS,27.88,-3.73%,443,402
YPF,48.04,-2.88%,528,092
YMM,7.61,-3.49%,1,418,190
YEXT,3.98,1.02%,349,356
YETI,48.46,1.08%,414,723
YELP,22.60,0.60%,236,802
XXI,5.74,0.00%,661,356
XRX,3.18,3.92%,5,414,981
XRAY,10.19,0.34%,1,405,382
XPRO,13.76,-0.79%,176,857
XPOF,6.80,2.87%,179,625
XPEV,12.95,-2.96%,4,472,825
XP,15.78,-1.31%,1,683,014
XNDU,12.39,-1.20%,1,933,550
XNCR,14.35,2.39%,317,714
XMAX,8.41,2.78%,281,543
XIFR,11.54,-1.26%,178,788
XHR,20.18,0.40%,171,687
XERS,7.21,4.53%,953,907
XE,21.22,5.26%,2,054,798
WYFI,40.81,-8.84%,2,662,404
WY,24.25,0.02%,1,296,081
WWW,16.74,-3.35%,442,635
WVE,6.14,-0.49%,887,814
WULF,29.05,2.60%,12,849,758
WU,6.99,-1.48%,3,788,844
WTTR,18.48,0.00%,393,728
WTRG,37.08,1.09%,589,693
WTI,3.34,0.91%,1,434,399
WT,18.73,0.39%,831,466
WSR,18.94,-0.08%,106,262
WSE,10.93,0.83%,464,021
WSC,28.48,-1.89%,530,338
WSBC,37.07,1.01%,366,603
WRN,2.22,-4.51%,560,107
WRD,5.82,-3.57%,1,613,410
WRBY,26.32,-2.48%,830,244
WPP,17.28,-4.16%,1,258,540
WOOF,2.51,0.60%,784,587
WNC,12.39,2.74%,264,992
WMG,27.67,0.73%,422,859
WLTH,8.19,-0.38%,866,517
WKC,31.67,-0.03%,112,856
WK,46.51,1.16%,433,957
WIX,41.14,-1.72%,617,812
WIT,2.30,2.46%,5,830,502
WHR,37.24,1.83%,865,988
WHK,27.74,0.77%,47,570
WGO,28.29,-0.11%,154,757
WEST,9.28,2.54%,165,848
WES,43.17,0.44%,326,852
WERN,40.92,0.13%,203,619
WEN,6.22,0.89%,3,334,785
WEAV,5.32,3.20%,425,123
WDS,19.86,-1.97%,299,349
WBI,28.60,-4.60%,1,332,305
WBD,26.75,-0.74%,6,554,789
WB,7.32,-0.54%,241,423
WAY,18.35,6.01%,1,299,577
WAFD,37.14,0.92%,119,494
VZLA,3.43,-2.41%,2,586,856
VZ,46.64,2.83%,7,048,891
VYX,7.00,-0.23%,547,495
VVV,38.13,1.57%,285,790
VVR,2.99,0.34%,151,680
VTS,16.08,0.53%,80,838
VTRS,15.77,2.50%,2,258,440
VTEX,3.50,-2.23%,1,570,434
VSTS,13.04,-0.53%,282,022
VSTM,4.26,0.18%,828,416
VSNT,37.71,-2.13%,580,080
VRRM,4.45,-0.45%,1,857,979
VRNS,36.41,11.31%,5,295,800
VRDN,17.61,-0.11%,644,639
VOYG,33.79,-2.26%,618,422
VOR,15.07,0.87%,445,312
VOD,14.05,-0.47%,2,140,870
VNT,30.63,0.56%,544,680
VNOM,43.83,0.63%,583,295
VNO,37.58,0.01%,224,272
VNET,8.45,-1.17%,1,600,939
VNDA,6.02,0.34%,260,945
VLY,14.31,0.46%,1,762,286
VLRS,9.17,0.99%,204,596
VKTX,35.20,8.74%,3,267,198
VIV,13.22,1.71%,416,345
VITL,10.74,6.57%,842,159
VISN,12.55,-2.60%,1,866,915
VIR,10.07,5.26%,877,442
VIPS,13.15,-0.72%,614,695
VICI,26.55,1.74%,3,926,702
VIA,15.00,0.40%,236,595
VGZ,2.15,-6.52%,1,287,533
VGNT,43.56,-4.11%,471,002
VG,11.10,-1.38%,2,623,529
VFS,3.12,1.14%,147,022
VFC,16.77,-1.52%,1,808,287
VET,9.80,-0.76%,594,142
VERX,10.73,1.42%,289,601
VERA,37.81,-1.62%,546,194
VELO,21.49,-11.62%,2,501,747
VCEL,40.52,0.12%,149,140
VALE,15.35,-2.32%,13,488,676
UWMC,2.04,-0.49%,5,860,373
UUUU,15.91,-1.30%,10,941,010
UTZ,7.04,2.70%,758,187
UTI,40.57,1.38%,158,541
USAS,5.08,-4.69%,2,094,694
USAR,23.65,-1.95%,6,736,620
USA,5.66,-1.14%,731,188
UROY,2.97,1.02%,1,014,776
URGN,35.00,0.03%,178,848
URG,1.43,0.00%,5,103,187
UPWK,7.98,1.82%,828,182
UPST,31.95,2.02%,1,538,938
UPBD,18.71,2.13%,223,089
UPB,6.37,1.11%,186,453
UNIT,11.41,1.85%,371,287
UMH,15.14,1.10%,132,488
UMC,26.39,-4.05%,10,382,868
UMAC,22.07,-2.20%,1,527,778
ULCC,7.39,3.47%,1,337,560
UGP,4.89,0.00%,934,202
UGI,34.62,2.44%,559,605
UEC,11.64,1.48%,4,980,393
UE,22.77,1.90%,329,141
UDR,38.15,1.08%,681,185
UCB,33.82,1.32%,274,185
UBSI,45.18,0.51%,330,761
UAMY,7.51,-3.65%,1,953,967
UAA,5.82,-1.52%,1,739,838
UA,5.64,-1.66%,955,495
U,27.64,1.82%,2,716,905
TYRA,30.52,1.27%,312,472
TXG,32.31,-1.90%,1,313,330
TWO,12.31,0.74%,805,321
TWI,7.36,-2.65%,76,785
TV,2.69,-1.28%,600,974
TUYA,1.83,-0.82%,448,811
TU,11.54,1.76%,1,456,830
TTI,10.16,-1.69%,333,221
TTEK,27.86,2.60%,1,695,638
TTD,17.80,-1.20%,9,231,234
TSSI,13.08,-1.65%,309,900
TSLX,16.46,1.29%,340,976
TSHA,6.76,3.52%,673,386
TSCO,30.07,0.87%,4,356,412
TRVI,17.96,1.43%,866,872
TRTX,8.62,0.94%,148,209
TRS,44.24,-0.28%,77,405
TROX,7.09,-3.47%,665,520
TRON,1.50,-7.10%,371,419
TRN,35.07,-0.17%,119,965
TRMD,29.15,-3.72%,3,316,870
TRMB,48.90,-0.66%,626,151
TRLV,8.47,-7.13%,1,351,228
TRIP,12.58,1.81%,1,580,848
TRIN,16.95,0.41%,369,084
TREX,45.95,-0.97%,321,725
TPG,39.74,-3.51%,976,874
TOWN,35.46,1.30%,108,727
TOST,24.60,1.40%,2,552,992
TOI,4.93,-1.50%,465,280
TNGX,28.93,1.49%,1,944,741
TNDM,14.30,-0.28%,1,236,913
TMQ,3.62,-2.16%,742,758
TME,8.25,-1.03%,4,232,654
TMC,4.91,-0.88%,1,765,470
TLS,4.30,0.35%,262,244
TLRY,4.64,1.20%,1,499,601
TLK,14.43,2.20%,417,185
TKC,6.05,-0.41%,332,357
TK,12.40,0.65%,183,438
TILE,32.60,0.76%,74,866
TIGR,4.69,-1.26%,1,798,787
TIC,8.09,0.25%,396,329
THM,2.07,-6.98%,317,190
TH,20.57,2.11%,398,563
TGB,6.78,-2.51%,2,028,844
TFSL,16.70,0.54%,170,927
TFPM,29.17,-2.31%,313,300
TFC,49.06,0.61%,2,602,043
