ticker,price,change,volume
ZYME,24.33,1.86%,231,955
ZVRA,13.03,0.23%,649,459
ZURA,4.22,-2.06%,675,770
ZTO,21.89,-0.43%,902,114
ZLAB,18.33,-0.89%,667,279
ZIM,25.14,-1.14%,632,018
ZGN,13.21,0.67%,731,151
ZG,30.91,1.13%,1,206,457
ZETA,18.58,-4.77%,7,326,149
ZD,48.13,3.73%,503,996
ZBIO,21.58,6.83%,581,658
Z,31.01,1.67%,2,563,162
YUMC,41.06,0.24%,1,115,842
YSWY,20.78,-3.87%,200,076
YSS,25.17,-11.87%,1,106,837
YPF,45.64,-5.00%,1,713,936
YMM,7.82,2.34%,4,722,129
YEXT,4.14,5.22%,734,530
YETI,49.57,3.33%,529,577
YELP,23.35,3.00%,500,458
XXI,5.39,-5.82%,956,636
XRX,3.11,-1.00%,1,683,898
XRAY,10.39,1.81%,2,592,293
XPRO,13.05,-2.58%,1,114,680
XPOF,6.80,-0.24%,411,829
XPEV,12.47,-2.31%,3,526,537
XP,15.65,-0.45%,2,535,148
XNDU,11.72,-4.19%,1,500,003
XNCR,14.43,2.49%,484,525
XMAX,8.25,-4.03%,823,409
XIFR,11.54,0.02%,480,660
XHR,20.08,0.27%,453,168
XERS,7.43,3.14%,1,090,469
XE,18.92,-10.31%,3,367,887
WYFI,36.79,-17.79%,3,588,932
WY,25.55,4.52%,4,115,358
WWW,17.33,3.39%,410,285
WVE,6.01,-0.50%,2,479,495
WULF,26.19,-8.98%,23,836,966
WU,7.22,2.63%,4,609,765
WTTR,18.17,-2.05%,924,277
WTRG,37.94,1.76%,1,190,874
WTI,3.09,-7.32%,2,598,375
WT,17.86,-2.56%,2,618,620
WSR,18.95,0.05%,250,939
WSE,10.91,-2.15%,1,270,450
WSC,28.43,2.08%,820,572
WSBC,38.03,2.01%,799,344
WRN,2.05,-6.82%,2,530,527
WRD,5.57,-3.13%,1,679,353
WRBY,26.75,4.33%,2,040,941
WPP,16.58,-2.14%,803,582
WOOF,2.61,3.57%,1,378,881
WOLF,44.03,-9.98%,3,823,607
WNC,13.06,3.65%,1,039,292
WMG,27.02,-1.89%,1,095,134
WLTH,8.08,-1.64%,745,417
WKC,31.88,-0.19%,344,680
WK,48.19,2.56%,424,434
WIX,42.21,4.41%,916,443
WIT,2.22,-3.06%,7,683,125
WHR,37.86,4.63%,1,462,390
WHK,26.93,-2.60%,183,627
WGO,27.23,-3.72%,1,591,965
WEST,9.69,6.72%,553,846
WES,42.68,-1.91%,699,234
WERN,40.96,-0.17%,527,551
WEN,7.88,26.03%,188,836,125
WEAV,5.46,0.38%,640,877
WDS,19.08,-3.44%,835,851
WBI,28.36,-0.82%,1,239,222
WBD,27.22,1.25%,27,914,617
WB,7.30,-0.34%,502,727
WAY,19.07,3.59%,1,397,725
WAFD,37.67,1.10%,321,435
VZLA,3.06,-8.81%,5,214,568
VZ,45.88,-1.82%,15,027,034
VYX,7.55,7.93%,1,593,817
VVV,39.56,3.24%,1,155,751
VVR,3.00,0.67%,313,159
VTS,15.61,-3.28%,330,575
VTRS,15.88,0.83%,4,694,366
VTEX,3.56,1.85%,2,642,401
VSTS,13.41,1.56%,693,755
VSTM,3.91,-7.12%,1,971,557
VSNT,37.97,0.25%,784,299
VRRM,4.45,1.14%,3,578,795
VRNS,36.66,4.64%,2,585,136
VRDN,17.37,0.50%,702,725
VOYG,30.49,-9.27%,1,703,114
VOR,14.48,-2.49%,505,418
VOD,13.82,-1.60%,1,983,241
VNT,30.02,-0.17%,829,121
VNOM,43.28,-0.92%,916,601
VNO,37.96,0.82%,916,591
VNET,8.11,-2.93%,1,460,468
VNDA,5.91,-0.59%,536,257
VLY,14.56,1.29%,3,416,316
VLRS,9.14,-0.65%,571,379
VKTX,37.33,7.24%,4,404,133
VIV,13.17,-0.38%,727,442
VITL,11.06,3.60%,1,275,486
VISN,12.52,0.20%,2,228,599
VIR,10.04,-1.13%,1,672,636
VIPS,13.41,1.86%,1,514,288
VICI,27.02,1.52%,15,916,456
VIAV,48.55,-2.83%,5,063,799
VIA,14.97,-0.45%,573,227
VGNT,41.59,-2.61%,1,053,972
VG,10.46,-6.69%,9,168,070
VFS,3.12,-1.11%,353,179
VFC,17.31,2.34%,4,347,668
VET,9.38,-4.73%,1,067,208
VERX,11.23,2.88%,645,869
VERA,39.80,4.19%,1,329,118
VELO,17.99,-12.92%,2,854,004
VCEL,41.85,3.61%,412,737
VALE,14.82,-3.20%,19,714,947
UWMC,2.03,0.00%,20,452,960
UUUU,14.69,-5.06%,8,864,473
UTZ,7.31,3.63%,1,194,706
UTI,39.33,-1.06%,274,098
USAS,4.48,-8.48%,3,756,154
USAR,21.16,-7.58%,10,330,081
USA,5.65,0.00%,1,317,148
UROY,2.74,-5.84%,1,238,559
URGN,34.90,-0.71%,324,292
URG,1.33,-5.67%,7,713,892
UPWK,8.33,1.48%,1,434,912
UPST,32.62,3.68%,3,629,217
UPBD,19.10,2.19%,744,646
UPB,6.36,0.63%,384,871
UNIT,11.36,-1.33%,889,266
UMH,15.44,1.95%,263,607
UMC,27.48,4.89%,18,549,040
UMAC,19.32,-10.18%,3,032,189
ULCC,7.37,1.69%,2,618,717
UGP,4.89,-1.01%,1,502,702
UGI,34.92,0.58%,1,057,382
UEC,10.80,-4.75%,5,089,230
UE,23.46,2.36%,1,084,857
UDR,38.37,0.22%,3,182,320
UCB,34.47,1.26%,502,214
UBSI,45.72,0.95%,757,121
UBS,49.33,-1.92%,1,461,406
UAMY,6.43,-8.35%,6,899,581
UAA,6.07,4.96%,6,123,795
UA,5.87,4.56%,2,256,123
U,27.18,-1.56%,3,573,144
TYRA,30.65,1.95%,310,766
TXG,34.41,7.96%,1,716,165
TWO,12.35,0.28%,428,729
TWI,7.42,1.92%,157,908
TV,2.74,1.29%,462,089
TUYA,1.78,-2.99%,652,575
TU,11.33,-1.40%,3,585,875
TTI,9.91,-2.22%,745,527
TTEK,28.38,1.22%,2,879,824
TTD,17.92,-0.04%,9,252,796
TSSI,11.90,-6.49%,508,121
TSLX,16.70,1.27%,498,816
TSHA,6.87,0.15%,923,391
TSCO,30.11,1.44%,5,847,432
TRVI,17.50,0.72%,1,387,667
TRTX,8.58,-0.81%,285,553
TRS,43.35,0.57%,199,197
TROX,6.71,0.51%,2,200,865
TRON,1.43,-6.11%,549,578
TRN,35.18,0.33%,208,172
TRMD,28.69,-1.54%,1,252,709
TRLV,8.40,-1.52%,2,136,665
TRIP,12.85,3.71%,2,322,815
TRIN,16.85,-0.23%,679,828
TREX,49.01,8.08%,1,316,248
TPG,38.79,-2.00%,2,783,996
TOWN,36.07,1.49%,233,440
TOST,26.17,6.79%,10,605,830
TOI,5.12,1.89%,1,030,326
TNGX,29.26,3.06%,3,355,175
TNDM,15.14,5.07%,1,350,127
TMQ,3.29,-7.72%,1,573,950
TME,8.19,-0.15%,3,447,908
TMC,4.49,-6.74%,4,478,576
TLS,4.36,0.41%,298,379
TLRY,4.59,-0.54%,1,743,427
TLK,14.18,-1.77%,660,241
TKC,6.01,-0.42%,2,853,296
TK,12.09,-2.88%,218,527
TILE,34.04,5.03%,188,661
TIGR,4.70,0.97%,1,492,344
TIC,8.13,-0.48%,545,439
THM,1.84,-10.49%,1,530,476
TH,20.02,-2.45%,923,404
TGB,6.28,-6.20%,3,367,503
TFSL,17.00,0.74%,617,059
TFPM,27.73,-3.73%,319,865
TEVA,33.99,2.35%,4,912,977
TEO,12.74,-2.21%,500,893
TENX,12.98,-4.88%,490,186
TENB,27.96,2.58%,815,951
TE,8.34,-9.76%,20,045,917
TDUP,6.53,5.23%,971,343
TDS,37.72,-3.46%,394,244
TDOC,7.78,1.17%,2,213,849
TDC,31.49,1.04%,1,049,144
TDAY,7.99,-0.44%,592,256
TCOM,46.32,1.80%,1,800,677
TBLA,4.61,-1.39%,1,310,467
TBBB,42.42,0.80%,233,239
TASK,4.89,4.16%,498,246
TAP,40.89,2.97%,1,652,653
TALO,13.61,-2.47%,784,162
TALK,5.20,0.00%,2,591,776
TAL,9.26,-1.88%,1,442,143
TAK,15.84,0.00%,1,870,302
TAC,13.62,-0.54%,649,262
T,22.51,-1.29%,34,151,959
SYM,38.89,0.83%,1,386,927
SXC,8.05,-3.78%,810,441
SWMR,37.72,-9.00%,286,033
SWIM,6.07,3.24%,518,959
SWBI,16.41,-1.59%,586,732
SW,46.44,4.69%,3,759,686
SVV,10.29,5.97%,386,892
SVRA,5.81,0.44%,1,015,502
SVM,10.22,-3.41%,2,440,780
SVC,1.75,2.34%,9,511,005
SUZ,8.07,0.37%,1,743,125
SUPV,9.36,-7.51%,825,777
SUPN,45.22,1.67%,464,901
STWD,16.72,-0.12%,2,651,726
STVN,17.04,1.03%,268,004
STUB,11.13,-5.93%,4,762,980
STTK,6.09,13.00%,906,712
STOK,30.94,-0.55%,405,886
STNE,10.87,1.44%,2,642,896
STLA,5.85,-1.93%,16,726,192
STGW,7.05,0.18%,813,359
STEP,41.36,-3.66%,829,753
STAG,39.17,0.75%,1,043,893
STAA,28.61,0.88%,278,866
ST,47.82,-2.03%,825,246
SSYS,8.27,-0.60%,464,455
SSRM,27.90,-4.63%,1,921,140
SSL,10.47,-5.76%,1,588,678
SRTA,5.49,-1.35%,719,862
SRPT,16.94,-1.83%,1,293,973
SRAD,14.76,0.41%,1,095,708
SPT,6.76,3.21%,703,809
SPRY,10.61,3.22%,976,678
