ticker,price,change,volume
ZYME,24.45,2.39%,73,498
ZWS,49.98,3.56%,82,730
ZVRA,13.17,1.28%,220,305
ZURA,4.20,-2.34%,198,142
ZTO,21.93,-0.20%,291,880
ZLAB,18.34,-0.81%,286,380
ZIM,25.47,0.17%,168,540
ZGN,13.10,-0.15%,303,207
ZG,31.25,2.27%,484,417
ZETA,19.47,-0.19%,3,369,777
ZD,47.94,3.33%,160,008
ZBIO,20.83,3.07%,46,374
Z,31.28,2.56%,977,901
YUMC,41.10,0.34%,491,549
YSWY,20.58,-4.83%,64,553
YSS,26.24,-8.12%,381,703
YPF,46.01,-4.24%,444,086
YMM,7.79,2.01%,1,200,171
YEXT,4.18,6.30%,230,676
YETI,49.65,3.50%,105,558
YELP,23.36,3.04%,199,403
XXI,5.49,-3.93%,277,870
XRX,3.15,0.48%,667,703
XRAY,10.53,3.28%,1,167,995
XPRO,12.83,-4.23%,342,509
XPOF,7.06,3.50%,267,003
XPEV,12.61,-1.14%,1,191,756
XP,15.64,-0.49%,706,788
XNDU,11.87,-2.94%,740,684
XNCR,14.93,6.00%,133,980
XMAX,8.50,-1.11%,378,651
XIFR,11.55,0.06%,144,640
XHR,20.13,0.50%,116,626
XERS,7.49,4.03%,396,562
XE,19.52,-7.44%,1,488,472
WYFI,41.55,-7.17%,1,626,599
WY,25.53,4.48%,1,255,778
WWW,17.23,2.80%,142,115
WVE,6.11,1.08%,1,145,078
WULF,27.61,-4.08%,6,426,242
WU,7.22,2.77%,1,603,643
WTTR,18.10,-2.40%,261,578
WTRG,37.32,0.08%,416,168
WTI,3.16,-5.00%,1,108,535
WT,17.81,-2.84%,360,344
WSR,18.95,0.05%,88,573
WSE,11.06,-0.85%,244,387
WSC,28.74,3.20%,207,495
WSBC,37.76,1.29%,175,437
WRN,2.07,-5.91%,529,276
WRD,5.67,-1.39%,740,816
WRBY,26.39,2.93%,646,896
WPP,16.67,-1.56%,165,859
WOOF,2.55,1.19%,606,777
WOLF,46.39,-5.15%,1,748,203
WNC,13.36,6.07%,368,209
WMG,27.28,-0.96%,330,489
WLTH,8.07,-1.71%,269,922
WKC,31.93,-0.04%,45,726
WK,48.49,3.20%,136,190
WIX,41.74,3.23%,259,524
WIT,2.30,0.22%,2,145,426
WHR,37.92,4.78%,472,196
WHK,27.50,-0.56%,14,138
WGO,29.82,5.43%,143,526
WEST,9.57,5.45%,149,311
WES,42.91,-1.38%,145,459
WERN,41.42,0.94%,129,400
WEN,8.09,29.26%,112,393,400
WEAV,5.49,0.83%,144,835
WDS,19.06,-3.57%,247,156
WBI,28.38,-0.73%,372,815
WBD,27.25,1.36%,8,886,929
WB,7.34,0.30%,235,731
WAY,18.93,2.81%,431,889
WAFD,37.55,0.78%,73,751
VZLA,3.19,-4.78%,2,053,555
VZ,45.76,-2.09%,6,287,078
VYX,7.49,6.93%,351,251
VVV,39.42,2.87%,330,488
VVR,2.98,0.17%,81,577
VTS,15.69,-2.79%,102,085
VTRS,15.97,1.37%,1,418,707
VTEX,3.65,4.43%,823,016
VSTS,13.41,1.57%,200,042
VSTM,4.37,3.80%,757,919
VSNT,38.50,1.63%,197,283
VRRM,4.40,0.00%,761,623
VRNS,36.09,3.03%,850,537
VRDN,17.44,0.93%,266,278
VOYG,31.33,-6.76%,751,533
VOR,14.81,-0.24%,124,967
VOD,13.90,-1.03%,747,130
VNT,30.52,1.50%,127,537
VNOM,43.33,-0.79%,260,247
VNO,37.52,-0.35%,217,171
VNET,8.23,-1.61%,554,979
VNDA,6.01,0.92%,168,558
VLY,14.55,1.15%,948,185
VLRS,9.32,1.30%,117,982
VKTX,37.19,6.83%,1,249,658
VIV,13.14,-0.61%,222,661
VITL,10.86,1.69%,409,299
VISN,12.69,1.48%,645,573
VIR,10.32,1.57%,510,197
VIPS,13.26,0.70%,436,173
VICI,26.74,0.44%,11,608,185
VIA,15.25,1.38%,95,945
VGNT,42.16,-1.26%,296,628
VG,10.84,-3.35%,2,093,672
VFS,3.12,-1.11%,171,128
VFC,17.25,1.98%,1,962,818
VET,9.43,-4.17%,624,450
VERX,11.14,2.01%,193,644
VERA,39.67,3.85%,528,798
VELO,19.22,-6.97%,1,241,453
VCEL,41.97,3.92%,180,541
VALE,14.90,-2.69%,5,564,593
UWMC,2.12,4.43%,7,055,490
UUUU,14.92,-3.56%,3,866,255
UTZ,7.34,4.18%,378,297
UTI,39.88,0.32%,94,444
USAS,4.61,-5.92%,1,614,699
USAR,21.90,-4.33%,5,439,513
USA,5.70,0.80%,408,480
UROY,2.81,-3.61%,466,934
URGN,35.77,1.76%,72,113
URG,1.38,-1.77%,2,730,217
UPWK,8.40,2.31%,439,542
UPST,33.30,5.85%,1,456,171
UPBD,18.94,1.35%,272,528
UPB,6.55,3.72%,108,167
UNIT,11.43,-0.70%,214,276
UMH,15.35,1.34%,101,194
UMC,28.02,6.95%,7,760,132
UMAC,20.49,-4.74%,1,398,204
ULCC,7.42,2.34%,1,086,885
UGP,4.84,-2.00%,573,729
UGI,34.88,0.47%,313,755
UEC,11.11,-2.05%,2,166,959
UE,23.12,0.87%,304,096
UDR,38.31,0.08%,586,806
UCB,34.40,1.06%,172,649
UBSI,45.51,0.49%,229,966
UBS,49.53,-1.52%,470,912
UAMY,6.76,-3.50%,2,585,274
UAA,5.94,2.77%,1,761,190
UA,5.74,2.41%,537,960
U,27.96,1.27%,1,191,813
TYRA,31.09,3.44%,60,542
TXG,34.42,7.99%,521,930
TWO,12.35,0.28%,95,718
TWI,7.45,2.34%,60,326
TV,2.69,-0.55%,104,942
TUYA,1.79,-2.83%,320,023
TU,11.26,-2.04%,1,535,782
TTI,9.93,-1.97%,210,006
TTEK,28.22,0.64%,721,790
TTD,18.05,0.64%,2,674,588
TSSI,12.42,-2.37%,173,984
TSLX,16.47,-0.14%,149,781
TSHA,6.99,1.82%,213,071
TSCO,30.00,1.06%,2,086,372
TRVI,17.84,2.68%,295,797
TRTX,8.65,-0.06%,80,625
TRS,43.94,1.96%,35,189
TROX,6.70,0.37%,527,911
TRON,1.47,-3.29%,198,395
TRN,35.78,2.01%,77,220
TRMD,29.52,1.30%,561,849
TRLV,8.07,-5.39%,1,094,760
TRIP,12.89,4.00%,837,720
TRIN,16.83,-0.33%,209,071
TREX,48.82,7.67%,422,694
TPG,39.01,-1.43%,979,846
TOWN,35.82,0.79%,75,463
TOST,26.05,6.26%,4,677,674
TOI,5.24,4.27%,475,285
TNGX,29.06,2.36%,987,657
TNDM,15.02,4.20%,452,710
TMQ,3.42,-3.79%,607,426
TME,8.26,0.72%,1,628,765
TMCI,4.67,4.01%,291,314
TMC,4.62,-4.05%,1,406,337
TLS,4.42,1.73%,120,037
TLRY,4.64,0.54%,684,432
TLK,14.20,-1.63%,172,022
TKC,5.99,-0.83%,1,313,776
TK,12.44,-0.11%,56,122
TILE,33.89,4.57%,57,578
TIGR,4.69,0.83%,657,561
TIC,8.20,0.34%,144,584
THM,1.95,-5.12%,306,117
TH,20.01,-2.50%,195,093
TGB,6.55,-2.02%,1,142,903
TFSL,16.92,0.21%,183,700
TFPM,28.12,-2.36%,106,750
TEVA,33.55,1.02%,1,365,326
TEO,12.93,-0.80%,136,584
TENX,13.58,-0.44%,163,977
TENB,27.67,1.51%,232,942
TE,8.73,-5.57%,9,538,873
TDUP,6.52,4.99%,294,730
TDS,38.53,-1.39%,127,410
TDOC,7.76,0.91%,984,076
TDC,32.00,2.68%,246,659
TDAY,8.02,-0.06%,209,514
TCOM,46.19,1.52%,665,393
TBLA,4.59,-1.71%,390,683
TBBB,42.25,0.38%,103,520
TASK,4.84,3.09%,195,193
TAP,40.78,2.71%,527,542
TALO,13.59,-2.65%,318,866
TALK,5.19,-0.19%,574,127
TAL,9.37,-0.74%,507,869
TAK,15.76,-0.51%,547,193
TAC,13.80,0.80%,150,860
T,22.50,-1.34%,12,453,486
SYM,39.21,1.66%,434,345
SXC,8.28,-1.02%,208,453
SWMR,39.25,-5.30%,155,491
SWIM,6.16,4.77%,268,956
SWBI,16.76,0.52%,192,094
SW,46.04,3.79%,1,283,112
SVV,10.18,4.80%,93,839
SVRA,5.82,0.78%,323,359
SVM,10.30,-2.65%,966,903
SVC,1.73,1.17%,3,015,151
SUZ,7.99,-0.56%,828,861
SUPV,9.54,-5.73%,313,307
SUPN,45.00,1.17%,82,763
STWD,16.82,0.48%,602,741
STVN,17.02,0.89%,90,079
STUB,11.69,-1.18%,1,382,479
STTK,5.65,4.85%,130,345
STOK,31.46,1.12%,110,819
STNE,10.88,1.49%,983,844
STLA,5.89,-1.26%,6,505,023
STGW,7.09,0.69%,379,445
STEP,41.81,-2.61%,362,727
STAG,38.71,-0.44%,300,389
STAA,28.55,0.67%,66,913
ST,48.67,-0.30%,174,318
SSYS,8.39,0.78%,201,946
SSRM,28.69,-1.95%,629,966
SSL,10.48,-5.67%,849,169
SRTA,5.59,0.45%,211,829
SRPT,17.33,0.38%,424,188
SRAD,14.90,1.36%,284,973
SPT,6.77,3.36%,224,138
