ticker,price,change,volume
ZYME,24.10,3.59%,286,522
ZWS,48.88,-1.54%,171,754
ZVRA,12.88,1.82%,335,045
ZURA,4.30,1.76%,502,712
ZTO,22.00,-1.06%,470,293
ZLAB,18.69,1.14%,952,392
ZIM,25.57,1.20%,459,682
ZGN,13.34,-1.36%,350,095
ZG,30.61,0.49%,548,724
ZETA,19.89,7.66%,10,105,654
ZD,45.56,0.53%,165,069
ZBIO,20.55,-1.20%,151,281
Z,30.45,0.48%,1,015,411
YUMC,41.03,-1.20%,646,901
YSWY,21.28,2.44%,140,687
YSS,28.22,-2.57%,429,267
YPF,48.03,-2.92%,469,229
YMM,7.59,-3.74%,1,380,083
YEXT,3.97,0.89%,321,357
YETI,48.42,0.99%,392,797
YELP,22.58,0.51%,225,086
XXI,5.78,0.61%,636,455
XRX,3.23,5.56%,5,329,662
XRAY,10.22,0.64%,1,362,263
XPRO,13.78,-0.65%,171,930
XPOF,6.82,3.25%,172,778
XPEV,12.94,-3.07%,4,322,397
XP,15.78,-1.28%,1,639,884
XNDU,12.40,-1.12%,1,894,661
XNCR,14.38,2.65%,313,557
XMAX,8.43,3.04%,272,211
XIFR,11.55,-1.23%,162,212
XHR,20.21,0.55%,166,873
XERS,7.22,4.57%,927,000
XE,21.43,6.33%,1,983,866
WYFI,41.38,-7.56%,2,569,976
WY,24.28,0.14%,1,209,008
WWW,16.75,-3.29%,431,921
WVE,6.14,-0.41%,858,707
WULF,29.16,2.98%,12,518,556
WU,7.02,-0.99%,3,707,228
WTTR,18.52,0.24%,362,469
WTRG,37.13,1.23%,574,468
WTI,3.36,1.36%,1,400,576
WT,18.69,0.18%,795,126
WSR,18.94,-0.08%,105,242
WSE,10.93,0.83%,451,418
WSC,28.61,-1.44%,516,750
WSBC,37.10,1.09%,347,141
WRN,2.23,-4.30%,549,490
WRD,5.82,-3.57%,1,516,003
WRBY,26.50,-1.83%,799,432
WPP,17.22,-4.47%,1,216,366
WOOF,2.51,0.80%,749,046
WNC,12.43,3.09%,255,457
WMG,27.69,0.78%,409,213
WLTH,8.21,-0.16%,845,515
WKC,31.67,-0.03%,107,284
WK,46.61,1.37%,421,014
WIX,41.29,-1.35%,607,892
WIT,2.30,2.58%,5,731,029
WHR,37.39,2.24%,832,928
WHK,27.66,0.47%,41,731
WGO,28.44,0.43%,148,814
WEST,9.25,2.21%,139,123
WES,43.34,0.84%,263,388
WERN,41.04,0.44%,195,001
WEN,6.22,0.73%,3,240,586
WEAV,5.32,3.00%,405,579
WDS,19.85,-2.02%,290,757
WBI,28.79,-3.97%,1,303,441
WBD,26.74,-0.77%,6,297,444
WB,7.30,-0.75%,233,084
WAY,18.32,5.83%,1,143,631
WAFD,37.16,0.98%,112,551
VZLA,3.43,-2.41%,2,454,777
VZ,46.56,2.66%,6,772,785
VYX,7.03,0.07%,511,128
VVV,38.13,1.56%,275,565
VVR,2.99,0.34%,149,528
VTS,16.08,0.54%,78,184
VTRS,15.77,2.50%,2,151,012
VTEX,3.54,-1.12%,1,535,496
VSTS,13.07,-0.31%,272,614
VSTM,4.30,1.06%,804,050
VSNT,37.64,-2.31%,537,407
VRRM,4.45,-0.34%,1,726,328
VRNS,37.72,15.30%,4,723,236
VRDN,17.59,-0.23%,630,937
VOYG,34.05,-1.50%,597,673
VOR,15.14,1.34%,438,685
VOD,14.06,-0.46%,2,105,810
VNT,30.67,0.69%,512,779
VNOM,43.79,0.53%,569,360
VNO,37.69,0.28%,210,258
VNET,8.44,-1.29%,1,555,922
VNDA,6.03,0.50%,256,035
VLY,14.31,0.53%,1,654,222
VLRS,9.19,1.27%,193,044
VKTX,35.65,10.13%,3,178,462
VIV,13.23,1.77%,394,855
VITL,10.74,6.55%,820,418
VISN,12.57,-2.41%,1,813,417
VIR,10.07,5.21%,825,360
VIPS,13.12,-0.91%,591,451
VICI,26.57,1.82%,3,871,536
VIA,14.98,0.23%,228,254
VGZ,2.15,-6.52%,1,265,157
VGNT,43.49,-4.26%,453,795
VG,11.15,-1.00%,2,522,215
VFS,3.12,1.30%,146,220
VFC,16.78,-1.44%,1,757,091
VET,9.76,-1.17%,472,323
VERX,10.68,0.90%,279,438
VERA,37.88,-1.42%,529,959
VELO,21.73,-10.61%,2,407,695
VCEL,40.60,0.32%,147,047
VALE,15.33,-2.42%,13,078,942
UWMC,2.04,-0.49%,5,694,690
UUUU,16.10,-0.13%,10,805,236
UTZ,7.05,2.94%,747,841
UTI,40.65,1.59%,150,251
USAS,5.06,-5.04%,2,044,428
USAR,23.91,-0.87%,6,579,592
USA,5.67,-0.87%,563,430
UROY,2.99,1.72%,937,941
URGN,35.03,0.11%,174,671
URG,1.45,1.05%,4,976,093
UPWK,7.98,1.79%,805,858
UPST,32.06,2.35%,1,492,714
UPBD,18.82,2.73%,217,850
UPB,6.36,0.95%,175,849
UNIT,11.44,2.10%,328,582
UMH,15.15,1.17%,128,264
UMC,26.47,-3.73%,9,992,301
