ticker,price,change,volume
ZYME,27.07,1.56%,183,034
ZWS,47.38,1.23%,145,701
ZVRA,14.16,-4.00%,512,473
ZURA,5.25,-4.30%,394,983
ZTO,23.58,1.57%,314,005
ZNTL,4.63,-4.78%,299,681
ZLAB,20.00,1.27%,375,154
ZIP,3.99,2.63%,116,877
ZIM,24.29,-1.26%,426,862
ZGN,13.59,1.72%,221,698
ZG,32.75,1.93%,201,983
ZETA,22.14,2.19%,3,513,898
ZBIO,29.57,2.79%,199,473
Z,32.92,2.01%,889,289
YUMC,42.36,-0.84%,756,677
YSWY,20.16,-0.40%,74,924
YSS,20.57,-2.07%,450,513
YPF,46.54,-2.84%,636,065
YMM,8.58,-0.01%,1,817,731
YEXT,5.07,2.94%,374,241
YETI,49.53,3.75%,143,496
YELP,25.39,-0.54%,200,830
XXI,5.23,-0.26%,310,490
XRX,2.77,3.56%,1,714,202
XRAY,11.84,0.47%,1,272,665
XPRO,14.84,0.75%,271,652
XPOF,6.75,-0.42%,154,514
XPEV,13.00,-2.01%,3,090,300
XP,16.48,6.70%,4,248,750
XNDU,11.26,0.46%,675,038
XNCR,16.10,-2.16%,195,611
XMAX,8.76,1.49%,303,733
XIFR,12.24,-1.94%,288,471
XHR,20.15,1.87%,90,826
XFOR,3.93,-0.63%,119,243
XERS,8.55,-1.40%,614,663
XE,16.78,-1.06%,1,554,140
WYFI,39.14,6.53%,2,337,644
WY,22.58,0.55%,1,008,220
WWW,17.30,3.30%,197,208
WVE,6.17,-1.13%,671,099
WULF,23.98,5.02%,24,139,150
WU,7.78,0.72%,2,019,172
WTTR,19.24,0.40%,355,145
WTRG,38.52,-0.62%,463,265
WTI,3.42,-4.85%,2,108,777
WT,19.44,3.98%,1,071,005
WSR,18.98,-0.13%,333,815
WSE,12.72,-1.32%,458,311
WSC,25.69,2.22%,562,750
WSBC,39.06,1.65%,159,990
WRN,2.22,3.97%,768,334
WRD,5.47,1.62%,956,581
WRBY,28.49,2.98%,395,316
WPP,17.30,0.93%,119,650
WOOF,2.54,-1.93%,803,328
WOLF,38.16,6.41%,1,871,074
WNC,12.43,1.34%,136,460
WMG,29.11,0.76%,811,646
WLTH,9.45,5.07%,378,729
WKC,34.42,1.88%,229,598
WIX,48.87,2.32%,436,564
WIT,1.85,1.09%,2,404,178
WHR,37.97,0.80%,583,496
WGO,29.47,2.21%,255,498
WEST,7.05,-1.54%,144,938
WES,45.11,-0.40%,200,494
WERN,44.74,3.66%,565,456
WEN,7.43,-0.24%,3,965,158
WEAV,6.66,-1.32%,259,072
WDS,20.01,-1.31%,250,743
WBI,34.39,0.95%,124,472
WBD,26.26,0.41%,4,072,393
